#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Czech_Frontend.bin
#	File created on: 2025-05-10 15:18:26
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*VINYLOVÁ PROMĚNA*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Vyřazení
0	AUTO	MENU_CREW_LOGO	LOGO POSÁDKY
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Mezi tyto bonusy patří peněžité bonusy, propustky z vězení a konfiskační bonusy.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ umožňuje vytvářet vlastní díly a doplňky pro vaše auto.^Můžete upravovat kity, kola, karosérie, spojlery i křídla přesně podle své potřeby.^Tím ovšem možnosti nastavení nekončí. Pomocí vinylů, potisků, vlastních laků nebo různých součástek pro zvýšení výkonu, si můžete vybudovat vlastní image jako Tuner, Muscle nebo Exotic.
0	AUTO	CHAL_COMPLETED	Dokončeno
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Chcete vytvořit nový profil? Pokud nevytvoříte nový profil, můžete přijít o všechny dosavadní změny.
0	AUTO	CHAL_SELECT_CREW_MODE	Vyberte režim kooperativní soutěže
0	AUTO	CUST_PARTS_WHEELS_TITLE	*KOLA*
0	AUTO	MARKER_NAME_TRANSMISSION	Vzácné vylepšení převodovky
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*VINYLOVÝ LAK*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Na vybrané díly nemáte dostatek peněz. Odeberte některé produkty z nákupního košíku.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finsky
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Vzácné vylepšení přístrojové desky pro jedno z vašich aut.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Vzácné nitro pro jedno z vašich aut.
0	AUTO	STAT_PERC_AS_POLICE	%% jako policista
0	AUTO	HELP_RACE	Závod
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Musíte vyhrát pět závodů v Kariéře
0	AUTO	CHAL_SOLO_CHALLENGE	Sólo výzva
0	AUTO	MENU_MAIN_TITLE_CAREER	*KARIÉRA*
0	AUTO	STAT_NUM_TIMES_BUSTED	Kolikrát chycen
0	AUTO	CUST_PARTS_WHEELS	KOLA
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Najatí parťáci
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Extra %$d v hotovosti.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	Vzácná kapota pro jedno z vašich aut.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	Vzácná kola pro jedno z vašich aut.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	Vzácné pneumatiky pro jedno z vašich aut.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Vytvořit
0	AUTO	CUST_RIDE_HEIGHT_DROP	Snížení podvozku
0	AUTO	HELP_CAREER_CONTROLS	Ovládání Kariéry
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	STYL PARTY
0	AUTO	POST_RACE_PURSUIT_STATS	Statistika honičky
0	AUTO	MC_DELETE	Smazat
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Skóre (stín)
0	AUTO	CUST_VINYL_GRADIENT_0_0	PŘECHOD 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	PŘECHOD 1
0	AUTO	RC_NAME_104	10 policajtů
0	AUTO	LANG_SWEDISH	Švédsky
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Vzácné laky
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	Všichni vaši parťáci šli bručet a vy ani nemáte peníze na kauci, abyste je dostali ven.
0	AUTO	CUST_VINYL_INNER_GLOW_0	VNITŘNÍ ZÁŘ
0	AUTO	MARKER_NAME_BRAKES	Vzácná vylepšení brzd
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	KAMUFLÁŽ
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	Kdo:
0	AUTO	CUST_PERF_MENU_TIRES	PNEUMATIKY
0	AUTO	CUST_PERF_MENU_TURBO	TURBO
0	AUTO	CUST_PERF_MENU_TRANSMISSION	PŘEVODOVKA
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	MARKER_NAME_CHASSI	Vzácné vylepšení podvozku
0	AUTO	STAT_INFRACTIONS_TOTAL	Přestupky (celkem)
0	AUTO	MARKER_NAME_DESCRIPTION_PINKSLIP	Získali jste papíry k autu bosse konkurenční party! Až se příště mrknete do garáže, bude tam na vás čekat.
0	AUTO	CAR_SELECT_BUY_CAR	Koupit auto
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	Vaše garáž je plná. Budete muset prodat nějaká auta, abyste měli místo pro nová.
0	AUTO	CHAL_CREW_CHALLENGE	Kooperativní soutěž
0	AUTO	MARKER_NAME_DECALS	Vzácné potisky
0	AUTO	MENU_CAREER_SAVE_LOAD	ULOŽIT
0	AUTO	CARNAME_BMW_M3_GTRE46	BMW M3 GTR
