#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Czech_Global.bin
#	File created on: 2025-05-10 15:18:36
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Aktivovat parťáka
0	AUTO	PART_PERF_NITROUS_1	NOS - suché provedení
0	AUTO	PART_PERF_NITROUS_2	Nitro čistící zařízení
0	AUTO	PART_PERF_NITROUS_3	10 lb N2O nádoba
0	AUTO	PART_PERF_NITROUS_4	NOS - mokré provedení
0	AUTO	PART_PERF_NITROUS_5	Zahřívač N2O lahve
0	AUTO	PART_PERF_NITROUS_6	15 lb N2O nádoba
0	AUTO	PART_PERF_NITROUS_7	NOS - Přímé vstřikování Direct Port
0	AUTO	PART_PERF_NITROUS_8	NOS regulátor tlaku
0	AUTO	PART_PERF_NITROUS_9	20 lb N2O nádoba
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Pekelný vinyl
0	AUTO	RCO_REWARD_003	Vinyl Rotor4
0	AUTO	RCO_REWARD_004	Kola BBS RX
0	AUTO	RCO_REWARD_005	Vinyl Los Colibris
0	AUTO	RCO_REWARD_006	Kola BBS CH
0	AUTO	RCO_REWARD_007	Kola BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Vinyl Bůůů!
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	HONIČKY
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	ZOOM
0	AUTO	STAT_NUM_TIMES_RACED	Počet hraní
0	AUTO	TIP_CREWS_HEADER	SPRÁVA POSÁDKY^
0	AUTO	PART_SPOILER_0	STANDARD
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Skrýš
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Nekonečné Zpomalení času!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Rozmazání pohybu^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	KDYŽ JE NĚKDE DUSNO
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	ŠTÍT
0	AUTO	VINYL_PART_LOGO_CUP	TROFEJ
0	AUTO	VINYL_PART_LOGO_RAM	BERAN
0	AUTO	VINYL_PART_LOGO_WMD	RAKETA
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Dosáhli jste úrovně zkušenosti on-line %d! Získali jste přístup k: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FÉNIX
0	AUTO	CUST_ROTATECAMERA	Otočit kamerou
0	AUTO	VINYL_PART_NF_HUNGARY	MAĎARSKO
0	AUTO	SUBTITLES_DEMO_MOVIE_1	Nečekal jsem, že ten tvůj ksicht ještě jednou uvidím.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Víš, věci se tady trochu změnily. Teď je tu válka.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Tuneři...
0	AUTO	SUBTITLES_DEMO_MOVIE_4	...týpci v silnejch vozech...
0	AUTO	SUBTITLES_DEMO_MOVIE_5	...a exotickejch kárách.
0	AUTO	SUBTITLES_DEMO_MOVIE_6	Party ve městech bojujou o území.
0	AUTO	SUBTITLES_DEMO_MOVIE_7	A všechny souboje vyvrcholí v kaňonu.
0	AUTO	SUBTITLES_DEMO_MOVIE_8	Ale to ty nikdy nemůžeš přežít.
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Jo. Slyšel jsem, že ses vrátil do města. Teď chci slyšet, že jsi zmizel.
0	AUTO	UNLOCKABLE_RHINO	Odemknutý Rhino pro rychlý závod!
0	AUTO	WM_LEGEND_EVENT	Závod
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Policejní oddělení města Palmont vás zatklo a vaše auto dostalo konfiskační nálepku. Můžete buď zaplatit pokutu, nebo použít propustku z vězení.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*HONIČKA*
0	AUTO	ON_LOGIN_RETRIEVEPASS	ZTRACENÉ HESLO
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*DOBYTO*
0	AUTO	TIP_PURSUITS_HEADER	HONIČKY^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	OBRANNÉ ZÁVODY
0	AUTO	HUD_FINISH_SIXTEEN	SKONČILI JSTE NA ŠESTNÁCTÉM MÍSTĚ
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Černá série 1
0	AUTO	PART_COLLECTORS_EDITION_02	Černá série 2
0	AUTO	PART_COLLECTORS_EDITION_03	Černá série 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	Funkce automatického ukládání nemůže ukládat vaši herní pozici, protože záznamové zařízení, které jste zvolili, bylo vyjmuto nebo nahrazeno jiným. Přejete si pokračovat se zapnutou funkcí automatického ukládání?
0	AUTO	COMMON_ABBREV_FT	ST
0	AUTO	COMMON_ABBREV_KG	KG
0	AUTO	TIP_ON_ONLINEXP_DESC	Zvyšováním své úrovně zkušenosti on-line si vysloužíte přístup k luxusním autům a vizuálním vylepšením! Kdykoli hrajete v kterémkoli režimu on-line, získáte body zkušenosti, které vás posunují na vyšší úroveň. Čím lepší umístění získáte ve hrách on-line, tím více bodů zkušenosti získáte. Když dosáhnete úrovně 50, získáte přístup k vlastnímu vozu Lotus Europa S!
0	AUTO	VINYL_PART_2T_997GT3RS	DVOJTÓN
0	AUTO	CTRL_360_GUIDE	Nápověda - Xbox
0	AUTO	VINYL_SPA_PART_VIRUS_CARBON_PLAGUE	CARBONO PLAGUE
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Carbon
