#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Czech_InGame.bin
#	File created on: 2025-05-10 15:18:41
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	PRŮM. DÉLKA
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*ČTVRŤ ZABRÁNA*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Přejete si začít Kariéru s tímto autem?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	NÁRAZ %$d B.
0	AUTO	POSTRACE_CREW_INVITE	Pozvání do posádky
0	AUTO	HUD_YOUR_TIME	VÁŠ ČAS:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	UKONČIT A PŘEJÍT DO MĚSTA
0	AUTO	HUD_SHIFT_PERFECT	SKVĚLÉ ŘAZENÍ!
0	AUTO	HUD_DRIFT_KEEP_MOVING	POHYB!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	PŘEKROČEN MILNÍK
0	AUTO	HUD_WRNONG_WAY	ŠPATNÝ SMĚR!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	KONEC DRIFTU
0	AUTO	QR_GHOST_UPLOAD	Blahopřejeme, podařilo se vám vytvořit 3 nejlepší výsledky na této trati! Stín vašeho výkonu se nahrává do tabulky vedoucích hráčů na NeedforSpeed.com, aby jej ostatní mohli pokořit.
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	ETAPA 1 ZE 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	SKVĚLÝ ZAČÁTEK!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	RADARY
0	AUTO	SMS_FROM	Od:
0	AUTO	SMS_TEXT	Text
0	AUTO	HUD_DRIFT_POINTS_EARNED	B. NAPOČÍTÁNO:
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s VÍTĚZÍ*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	PROTIVNÍK NABOURAL!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	PROHRÁL JSI
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Opravdu chcete přejít do prodejny aut?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Čekám na další soupeře:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Překonal jsi dosavadní rekord v počtu bodů na této trati!
0	AUTO	OL_NEW_GHOST	NOVÝ STÍN
