#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Danish_Global.bin
#	File created on: 2025-05-10 15:19:04
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Aktivér makker
0	AUTO	PART_PERF_NITROUS_1	Tør indsprøjtning af nitro
0	AUTO	PART_PERF_NITROUS_2	Nitroudrensning
0	AUTO	PART_PERF_NITROUS_3	10 lb-nitroflaske
0	AUTO	PART_PERF_NITROUS_4	Våd indsprøjtning af nitro
0	AUTO	PART_PERF_NITROUS_5	Nitro-flaskeopvarmer
0	AUTO	PART_PERF_NITROUS_6	15 lb-nitroflaske
0	AUTO	PART_PERF_NITROUS_7	Direkte indsprøjtning af nitro
0	AUTO	PART_PERF_NITROUS_8	Nitro-trykstyring
0	AUTO	PART_PERF_NITROUS_9	20 lb-nitroflaske
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno-vinyl
0	AUTO	RCO_REWARD_003	Rotor4-vinyl
0	AUTO	RCO_REWARD_004	BBS RX-fælge
0	AUTO	RCO_REWARD_005	Los Colibris-vinyl
0	AUTO	RCO_REWARD_006	BBS CH-fælge
0	AUTO	RCO_REWARD_007	BBS LM-fælge
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Mooo!-vinyl
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	POLITIJAGT
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Antal gange spillet
0	AUTO	TIP_CREWS_HEADER	STYR DIT SLÆNG^
0	AUTO	PART_SPOILER_0	STANDARD
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Skjulested
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Uendelig fartknuser!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Fartforvrængning^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	POLITIAKTIVITET
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SKJOLD
0	AUTO	VINYL_PART_LOGO_CUP	TROFÆ
0	AUTO	VINYL_PART_LOGO_RAM	VÆDDER
0	AUTO	VINYL_PART_LOGO_WMD	RAKET
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Dit online-erfaringsniveau er nu på %d! Du har låst op for: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FØNIKS
0	AUTO	CUST_ROTATECAMERA	Rotér kamera
0	AUTO	VINYL_PART_NF_HUNGARY	UNGARN
0	AUTO	SUBTITLES_DEMO_MOVIE_1	Jeg regnede ikke med at se dit fjæs igen.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Det er nye tider her - stedet er en sand slagmark nu.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Tunerbiler
0	AUTO	SUBTITLES_DEMO_MOVIE_4	Muskelbiler
0	AUTO	SUBTITLES_DEMO_MOVIE_5	Eksotiske biler
0	AUTO	SUBTITLES_DEMO_MOVIE_6	Forskellige slæng kæmper om byens områder.
0	AUTO	SUBTITLES_DEMO_MOVIE_7	Og det hele bliver afgjort i kløften.
0	AUTO	SUBTITLES_DEMO_MOVIE_8	Men du ville aldrig overleve.
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Ja, jeg hørte godt, du var tilbage i byen. Nu vil jeg høre, at du er skredet.
0	AUTO	UNLOCKABLE_RHINO	Firhjulstrækker tilgængelig til lynløb!
0	AUTO	WM_LEGEND_EVENT	Løb
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Du blev arresteret af Palmont City-politiet og har opbrugt et af din bils beslaglæggelsesklip. Du kan enten betale din bøde med penge eller bruge et løsladelseskort.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*JAGT*
0	AUTO	ON_LOGIN_RETRIEVEPASS	GLEMT KODEORD
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*EROBRET*
0	AUTO	TIP_PURSUITS_HEADER	POLITIJAGT
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	DEFENSIVE LØB
0	AUTO	HUD_FINISH_SIXTEEN	DU SLUTTEDE SOM NR. 16
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Black Edition 1
0	AUTO	PART_COLLECTORS_EDITION_02	Black Edition 2
0	AUTO	PART_COLLECTORS_EDITION_03	Black Edition 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
