#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Danish_InGame.bin
#	File created on: 2025-05-10 15:19:09
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	GNS.-LÆNGDE
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*OMRÅDE EROBRET*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Vil du bruge denne bil i din karriere?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	SAMMENSTØD: %$d POINT
0	AUTO	POSTRACE_CREW_INVITE	Invitation til slæng
0	AUTO	HUD_YOUR_TIME	DIN TID:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	AFSLUT TIL FRI KØRSEL
0	AUTO	HUD_SHIFT_PERFECT	PERFEKT SKIFTE!
0	AUTO	HUD_DRIFT_KEEP_MOVING	FART PÅ!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	MILEPÆL OPNÅET
0	AUTO	HUD_WRNONG_WAY	FORKERT VEJ!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT AFSLUTTET
0	AUTO	QR_GHOST_UPLOAD	Tillykke - du er i top 3 på denne bane! Din præstations skyggebil bliver uploadet til ranglisten på NeedforSpeed.com, så andre kan prøve kræfter med den!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	RUNDE 1 UD AF 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFEKT START!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	FARTFÆLDER
0	AUTO	SMS_FROM	Fra:
0	AUTO	SMS_TEXT	Tekst
0	AUTO	HUD_DRIFT_POINTS_EARNED	POINT TJENT
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s VINDER*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	MODSTANDER SMADRET!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	DU TABTE
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Er du sikker på, du vil besøge bilforretningen?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Venter på andre modstandere:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Du har slået denne banes highscore!
0	AUTO	OL_NEW_GHOST	NY SKYGGEBIL
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Vend tilbage til Fri kørsel? Alle fremskridt i løbet vil gå tabt.
0	AUTO	HUD_COPDESTROYED_COPSUVL	LET FIRHJULSTRÆKKER^DUSØR: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Direkte
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Se checkpoints
0	AUTO	HUD_CANYON_RATING_0	SKYND DIG!
0	AUTO	HUD_CANYON_RATING_1	LANGSOM
0	AUTO	HUD_CANYON_RATING_2	GENNEMSNITLIG
0	AUTO	HUD_CANYON_RATING_3	GOD!
0	AUTO	HUD_CANYON_RATING_4	FANTASTISK!
0	AUTO	HUD_CANYON_RATING_5	UTROLIG!
0	AUTO	HUD_SHIFT_EARLY	TIDLIGT SKIFTE!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*ETAPER*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	TRAFIKSAMMENSTØD
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Se omgange
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	UDE AF SCORINGSZONE!
0	AUTO	MENU_POSTRACE_REP_REWARD	Belønning for respekt
0	AUTO	HUD_SHIFT_GOOD	GODT SKIFTE!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	LÆKKER DRIFT
0	AUTO	MENU_POSTRACE_CASH_REWARD	Pengebelønning:
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*UDFORDRET AF ET SLÆNG*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	Venter på endelige resultater
0	AUTO	HUD_DRIFT_NICE_DRIFT	GOD DRIFT
0	AUTO	OL_SAVE_GHOST	SKYGGEBIL
0	AUTO	MENU_PAUSE_WORLD_MAP	BYKORT
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS-FORBINDELSE TABT^GENOPRETTER FORBINDELSE...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Slå din modstanders score
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	MODSTANDER OVERHALET!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	TESTKØRSEL GENNEMFØRT
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	BELØNNINGSKORT LÅST OP
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Se oversigt
0	AUTO	HUD_CHECKPOINT	CHECKPOINT
0	AUTO	HUD_BOUNTY	DUSØR
0	AUTO	MENU_POSTRACE_WIN	*DIT SLÆNG VANDT*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	GODT GÅET!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	AKTIVÉR NU^Tryk på Aktivér makker-knappen
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*CHECKPOINT*
0	AUTO	HUD_DRIFT_RACE_OVER	LØB FORBI!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Er du sikker på, at du vil genstarte løbet? Alle fremskridt i løbet vil gå tabt.
0	AUTO	HUD_SPEEDTRAP	FARTFÆLDE
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	Du er blevet udfordret til et løb af et rivaliserende slæng! Vælg løbets mål fra kortet. Vinderen er den, der først når derhen.
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	FORTSÆT FRI KØRSEL
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*GENNEMFØRT*
0	AUTO	MENU_PAUSE_TITLE	*PAUSE*
0	AUTO	HUD_IMMUNE	IMMUN
0	AUTO	MENU_POSTRACE_POSITION	PLACERING
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	FORBUNDSPOLITIETS CIVILPATRULJE^DUSØR: %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	FORBUNDSPOLITIETS JAGTPATRULJE^DUSØR: %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	Du slap ikke væk fra Cross.
0	AUTO	SMS_CONFIRM_DELETE	Er du sikker på, du vil slette denne SMS-besked?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Går tilbage til spilrum om:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	FOR LANGSOMT!
0	AUTO	HUD_COMPLETE	AFSLUTTET
0	AUTO	HUD_PASSED	OVERHALET!
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	Belønningskort vundet:
0	AUTO	COP_ESCAPE_DONE	DU SLAP VÆK!
0	AUTO	HUD_GO	KØR!
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	OVERHALET!
0	AUTO	HUD_SPLIT_SCORE	POINTFORSKEL:
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	STATSPOLITIETS CIVILPATRULJE^DUSØR: %$d
