#	Labrune - D:\Games\NFS Carbon\LANGUAGES\German_Frontend.bin
#	File created on: 2025-05-10 15:27:05
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*VINYL-UMFORMUNG*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	K.O.s
0	AUTO	MENU_CREW_LOGO	CREW-LOGO
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Zu diesen Symbolen zählen Geldboni, Knast-^Entlassungsscheine, Verwarnungsgutscheine und der Fahrzeugschein des gegnerischen Wagens, den du gerade geschlagen hast.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Mit Autosculpt™ kannst du eigene Teile herstellen^und damit deinen Wagen individuell gestalten.^Modifiziere Karosserie-Kits, Felgen, Motorhauben, Spoiler^und Dachspoiler nach deinen Vorstellungen.^Aber das ist noch nicht alles.^Individuelle Lackierungen, Vinyls, Decals und Leistungstuningteile geben deiner Tuner-, Muscle Car- oder Exoten-Crew eine einzigartige Identität.
0	AUTO	CHAL_COMPLETED	Abgeschlossen
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Neues Profil erstellen? Wenn kein neues Profil erstellt wird, gehen alle ungespeicherten Änderungen möglicherweise verloren.
0	AUTO	CHAL_SELECT_CREW_MODE	Modus der Team-Herausforderung auswählen
0	AUTO	CUST_PARTS_WHEELS_TITLE	*FELGEN*
0	AUTO	MARKER_NAME_TRANSMISSION	Einzigartige Getriebe-Upgrades
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*VINYL-FARBE*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Du hast nicht genug Geld für all diese Teile. Bitte entferne einige Teile aus dem Warenkorb.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finnisch
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Einzigartiges Spezial-Armaturen-Upgrade für einen deiner Wagen.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Einzigartiges Nitro-Upgrade für einen deiner Wagen.
0	AUTO	STAT_PERC_AS_POLICE	%% als Cop
0	AUTO	HELP_RACE	Rennen
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Du musst fünf Karriererennen gewinnen
0	AUTO	CHAL_SOLO_CHALLENGE	Solo-Herausforderung
0	AUTO	MENU_MAIN_TITLE_CAREER	*KARRIERE*
