#	Labrune - D:\Games\NFS Carbon\LANGUAGES\German_Global.bin
#	File created on: 2025-05-10 15:27:12
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Crewmitglied aktivieren
0	AUTO	PART_PERF_NITROUS_1	Nitro-^Trockeneinspritzung
0	AUTO	PART_PERF_NITROUS_2	Nitro-^Entlüftungs-Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb-Nitroflasche
0	AUTO	PART_PERF_NITROUS_4	Nitro-^Nasseinspritzung
0	AUTO	PART_PERF_NITROUS_5	Nitro-^Flaschenheizung
0	AUTO	PART_PERF_NITROUS_6	15 lb-Nitroflasche
0	AUTO	PART_PERF_NITROUS_7	Nitro-^Direkteinspritzung
0	AUTO	PART_PERF_NITROUS_8	Nitro-Druckregler
0	AUTO	PART_PERF_NITROUS_9	20 lb-Nitroflasche
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno-Vinyl
0	AUTO	RCO_REWARD_003	Rotor4-Vinyl
0	AUTO	RCO_REWARD_004	BBS RX-Felgen
0	AUTO	RCO_REWARD_005	Los Colibris-Vinyl
0	AUTO	RCO_REWARD_006	BBS CH-Felgen
0	AUTO	RCO_REWARD_007	BBS LM-Felgen
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Muuuh!-Vinyl
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	VERFOLGUNGEN
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Anzahl Spiele
0	AUTO	TIP_CREWS_HEADER	CREWS VERWALTEN^
0	AUTO	PART_SPOILER_0	SERIE
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Versteck
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Unendlicher Speedbreaker!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Motion Blur^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	ZONEN-FAHNDUNGSSTATUS
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SCHILD
0	AUTO	VINYL_PART_LOGO_CUP	TROPHÄE
0	AUTO	VINYL_PART_LOGO_RAM	BOCK
0	AUTO	VINYL_PART_LOGO_WMD	RAKETE
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Online-Erfahrungsstufe %d erreicht! Freigeschaltet: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	PHOENIX
0	AUTO	CUST_ROTATECAMERA	Kamera drehen
0	AUTO	VINYL_PART_NF_HUNGARY	UNGARN
0	AUTO	SUBTITLES_DEMO_MOVIE_1	
0	AUTO	SUBTITLES_DEMO_MOVIE_2	
0	AUTO	SUBTITLES_DEMO_MOVIE_3	
0	AUTO	SUBTITLES_DEMO_MOVIE_4	
0	AUTO	SUBTITLES_DEMO_MOVIE_5	
0	AUTO	SUBTITLES_DEMO_MOVIE_6	
0	AUTO	SUBTITLES_DEMO_MOVIE_7	
0	AUTO	SUBTITLES_DEMO_MOVIE_8	
0	AUTO	SUBTITLES_DEMO_MOVIE_9	
0	AUTO	UNLOCKABLE_RHINO	Rhino für Quickrace freigeschaltet!
0	AUTO	WM_LEGEND_EVENT	Event
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Du wurdest vom Police Department von Palmont City verhaftet und hast eine Verwarnung bekommen. Du kannst dein Bußgeld entweder mit Geld oder mit einer Knast-Entlassungskarte bezahlen.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*VERFOLGUNG*
0	AUTO	ON_LOGIN_RETRIEVEPASS	PASSWORT VERLOREN
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*EROBERT*
0	AUTO	TIP_PURSUITS_HEADER	VERFOLGUNGEN^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	VERTEIDIGUNGS-RENNEN
0	AUTO	HUD_FINISH_SIXTEEN	DU WURDEST SECHZEHNTER
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Black Edition 1
0	AUTO	PART_COLLECTORS_EDITION_02	Black Edition 2
0	AUTO	PART_COLLECTORS_EDITION_03	Black Edition 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	Das Feature Automatisch Speichern kann deinen Fortschritt nicht speichern, da die ausgewählte Speichereinheit ausgetauscht oder entfernt wurde. Soll automatisch gespeichert werden?
0	AUTO	COMMON_ABBREV_FT	FT
0	AUTO	COMMON_ABBREV_KG	KG
0	AUTO	TIP_ON_ONLINEXP_DESC	Erhöhe deine Online-Erfahrungsstufe, um exklusive Wagen und Optik-Upgrades freizuschalten! Immer, wenn du online spielst, erhältst du Online-Erfahrungspunkte, bis du wieder eine Stufe aufsteigst. Je besser du dich in einem Spiel platzierst, desto mehr Online-Erfahrungspunkte erhältst du. Erreichst du Level 50, schaltest du den exklusiven Lotus Europa S frei!
0	AUTO	VINYL_PART_2T_997GT3RS	ZWEIFARBIG
0	AUTO	CTRL_360_GUIDE	Xbox Guide
0	AUTO	VINYL_SPA_PART_VIRUS_CARBON_PLAGUE	CARBONO PLAGUE
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Carbon
0	AUTO	PERFORMANCE_TUNE_HELP_NITROUS	Durch die Anpassung des Verhältnisses Geschwindigkeit/Dauer kannst du den Nitro-Verbrauch beeinflussen. Stelle das Verhältnis in Richtung Geschwindigkeit, um einen kürzeren, aber stärkeren Nitroschub zu erhalten, oder in Richtung Dauer für einen längeren, aber schwächeren Nitroschub.
0	AUTO	TIP_ON_CANYON_BASIC_DESC	In diesem zweiteiligen Rennen gewinnst du Punkte, indem du den vorausfahrenden Raser verfolgst.^Ein Spieler, der die Böschung hinunterstürzt, hat sofort verloren.^Die Kollisionsabfrage ist beim Online-Canyon-Duell aktiviert, um dein Fahrkönnen auf die äußerste Probe zu stellen!
0	AUTO	VINYL_PART_AFTERMARKET_NOLOGY	NOLOGY
0	AUTO	VINYL_PART_LOGO_STEERING_WHEEL	LENKRAD
0	AUTO	VINYL_PART_MANUFACTURER_MCLAREN	MCLAREN
0	AUTO	TIP_GAME_OVER_HEADER	SPIEL ZU ENDE^
0	AUTO	TIP_WORLDMAP_DESC	Du kannst an jeden Ort springen, der auf deiner Weltkarte markiert ist. Auf diese Weise kannst du zu Autohändlern, deinem Unterschlupf und natürlich allen Strecken gelangen, auf denen du fahren willst. Solange die Cops dich nicht verfolgen, ist dies sogar während der Freien Fahrt möglich.^
0	AUTO	AREA_NAME_001	San Juan
0	AUTO	AREA_NAME_002	Kempton
0	AUTO	AREA_NAME_003	Downtown
0	AUTO	AREA_NAME_004	Fortuna
0	AUTO	AREA_NAME_005	Silverton
0	AUTO	AREA_NAME_006	Canyon
0	AUTO	SMS_MESSAGE_062_SUBJECT	WAGEN-STUFEN
0	AUTO	CART_ITEM_DESC_WINDOW_TINT	SCHEIBENFOLIEN
0	AUTO	CARLIST_PRESET	SPEZIAL
0	AUTO	HEADER_REWARD_CARD_GAINED	GEWONNENE PRÄMIENKARTE(N)
0	AUTO	KB_BTN_DONE	Fertig
0	AUTO	PART_ROOF_18_CF_DUAL	TYPHOON CF DUAL
0	AUTO	VINYL_PART_2T_LANCEREVO9	ZWEIFARBIG
0	AUTO	TIP_DYNAMIC_PURSUIT_BREAKERS_HEADER	DYNAMISCHE VERFOLGUNGSSTOPPER^
0	AUTO	TIP_GEOGRAPHIC_HEAT_DESC	Auf deiner Karte kannst du sehen, wie intensiv die Aktivitäten der Cops in jeder Zone sind. Je mehr Rennen du in einer bestimmten Zone fährst, desto wahrscheinlicher wirst du während eines Rennens dort verfolgt. Außerdem fahren die Cops dort verstärkt Streife. Um den Fahndungsstatus zu senken, solltest du eine Zeit lang in dieser Zone keine Rennen fahren.^
0	AUTO	VINYL_PART_MANUFACTURER_PORSCHE	PORSCHE
0	AUTO	PURSUIT_STAT_INFRACTIONS	Anzahl Verstöße
0	AUTO	PART_ROOF_10_DUAL	BLASTBACK DUAL
0	AUTO	SMS_MESSAGE_010_SUBJECT	Brauchst du einen neuen Partner?
0	AUTO	VINYL_PART_AFTERMARKET_BILSTEIN	BILSTEIN
0	AUTO	RC_NAME_001	Aller Anfang ist schwer
0	AUTO	RC_NAME_002	Streetracer
0	AUTO	RC_NAME_003	Weg zum Erfolg
0	AUTO	RC_NAME_004	Geld verdienen
0	AUTO	RC_NAME_005	Vorrat
0	AUTO	RC_NAME_006	Geschwindigkeitsjunkie
0	AUTO	RC_NAME_007	Kanonenkugel
0	AUTO	RC_NAME_008	Gute Geschäfte
0	AUTO	RC_NAME_009	Tempofreak
0	AUTO	RC_NAME_010	Aufmerksamkeit
0	AUTO	RC_NAME_011	Flucht
0	AUTO	RC_NAME_012	Entfesselungskünstler
0	AUTO	RC_NAME_013	Verkehrsrowdy
0	AUTO	RC_NAME_014	Schneller Abgang
0	AUTO	RC_NAME_015	Acht Minuten Stress
0	AUTO	RC_NAME_016	Zwölf Minuten Stress
0	AUTO	RC_NAME_017	Ein neuer Herausforderer
0	AUTO	RC_NAME_018	Herausforderungsneuling
0	AUTO	RC_NAME_019	Herausforderungsroutinier
0	AUTO	RC_NAME_020	Herausforderungschampion
0	AUTO	RC_NAME_021	Viertelmeile
0	AUTO	RC_NAME_022	Eisenmauer
0	AUTO	RC_NAME_023	Stadtkampf
0	AUTO	RC_NAME_024	Kleiner Autohändler
0	AUTO	RC_NAME_025	Arcade-Stufe 1
0	AUTO	RC_NAME_026	Arcade-Stufe 2
0	AUTO	RC_NAME_027	Arcade-Stufe 3
0	AUTO	RC_NAME_028	Arcade-Stufe 4
0	AUTO	RC_NAME_029	Rivalen
0	AUTO	RC_NAME_030	Lockvogel
0	AUTO	RC_NAME_031	Karosseriebauer
0	AUTO	RC_NAME_032	Steinreifen
0	AUTO	RC_NAME_033	Zeitverschiebung
0	AUTO	RC_NAME_034	Rechnung über 20 Mille
0	AUTO	RC_NAME_035	Driftneuling
0	AUTO	RC_NAME_036	Abrissbirne
0	AUTO	RC_NAME_037	Riesenkohle
0	AUTO	RC_NAME_038	Alle Basen in der Hand
0	AUTO	RC_NAME_039	Canyon-Eroberer
0	AUTO	RC_NAME_040	Trostpreis
0	AUTO	RC_NAME_041	Verteidiger
0	AUTO	RC_NAME_042	Karriere-Mogul
0	AUTO	RC_NAME_043	Leitplankenbieger
0	AUTO	RC_NAME_044	Keine Gnade
0	AUTO	RC_NAME_045	Ich bremse für niemanden
0	AUTO	RC_NAME_046	Staatsfeind Nr. 1
0	AUTO	RC_NAME_047	50 Strecken
0	AUTO	RC_NAME_048	85 Strecken
0	AUTO	RC_NAME_049	Der 'Need for Speed'
0	AUTO	RC_NAME_050	Unblockierbar
0	AUTO	RC_NAME_051	Straßenlegende
0	AUTO	RC_NAME_052	Unantastbar
0	AUTO	RC_NAME_053	Houdini
0	AUTO	RC_NAME_054	Blockadebrecher
0	AUTO	RC_NAME_055	Eisenreifen
0	AUTO	RC_NAME_056	Dampframme
0	AUTO	RC_NAME_057	Drifter
0	AUTO	RC_NAME_058	Drei Wagen
0	AUTO	RC_NAME_059	20.000 Kopfgeld
0	AUTO	RC_NAME_060	50.000 Kopfgeld
0	AUTO	RC_NAME_061	Großwildjäger
0	AUTO	RC_NAME_062	Bronzemedaille
0	AUTO	RC_NAME_063	Silbermedaille
0	AUTO	RC_NAME_064	Goldmedaille
0	AUTO	RC_NAME_065	Spritztour
0	AUTO	RC_NAME_066	Diamantreifen
0	AUTO	RC_NAME_067	Verbranntes Gummi
0	AUTO	RC_NAME_068	Fünf Wagen
0	AUTO	RC_NAME_069	Full House
0	AUTO	RC_NAME_070	Muscle Car-Süchtiger
0	AUTO	RC_NAME_071	Tuner-Fanatiker
0	AUTO	RC_NAME_072	Exoten-Enthusiast
0	AUTO	RC_NAME_073	Spielverderber
0	AUTO	RC_NAME_074	Dickes Geschäft
0	AUTO	RC_NAME_075	Stahlreifen
0	AUTO	RC_NAME_076	Drift-Profi
0	AUTO	RC_NAME_077	Autogroßhandel
0	AUTO	RC_NAME_078	Acht Wagen
0	AUTO	RC_NAME_079	Herausforderungsmeister
0	AUTO	RC_NAME_080	Verbrechertour
0	AUTO	RC_NAME_081	Dringend gesucht
0	AUTO	RC_NAME_082	Wandelnde Katastrophe
0	AUTO	RC_NAME_083	Hölle auf Rädern
0	AUTO	RC_NAME_084	Downtown-Revier
0	AUTO	RC_NAME_085	Nummer 1
0	AUTO	RC_NAME_086	Eroberer
0	AUTO	RC_NAME_087	König der Straße
0	AUTO	RC_NAME_088	Titanreifen
0	AUTO	RC_NAME_089	Stadtkampf
0	AUTO	RC_NAME_090	Stadtkrieg
0	AUTO	RC_NAME_091	Unaufhaltsam
0	AUTO	RC_NAME_092	Die Walze
0	AUTO	RC_NAME_093	Canyon-Rennen
0	AUTO	RC_NAME_094	Rächer der Straße
0	AUTO	RC_NAME_095	Anführer der Meute
0	AUTO	RC_NAME_096	Sammler
0	AUTO	RC_NAME_097	Das erste Mal
0	AUTO	RC_NAME_098	100 Riesen
0	AUTO	RC_NAME_099	Verdammt hart
0	AUTO	RC_NAME_100	Drift-König
0	AUTO	RC_NAME_101	Kopf-an-Kopf
0	AUTO	RC_NAME_102	Sprinter
0	AUTO	RC_NAME_103	Downhill-Dynamiker
0	AUTO	VINYL_PART_LOGO_SCORPION	SKORPION
0	AUTO	GAME_ACTION_SHIFTFOURTH	Vierter
