#	Labrune - D:\Games\NFS Carbon\LANGUAGES\German_InGame.bin
#	File created on: 2025-05-10 15:27:17
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DURCHSCHN. LÄNGE
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*GEBIET EROBERT*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Möchtest du deine Karriere mit diesem Wagen starten?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLLISION %$d PKTE.
0	AUTO	POSTRACE_CREW_INVITE	Crew-Einladung
0	AUTO	HUD_YOUR_TIME	DEINE ZEIT:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	ZURÜCK ZUR FREIEN FAHRT
0	AUTO	HUD_SHIFT_PERFECT	PERFEKT GESCHALTET!
0	AUTO	HUD_DRIFT_KEEP_MOVING	GIB GAS!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	MEILENSTEIN ERREICHT
0	AUTO	HUD_WRNONG_WAY	FALSCHE RICHTUNG!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT BEENDET
0	AUTO	QR_GHOST_UPLOAD	Glückwunsch, du hast einen neuen Top 3-Highscore für diese Strecke aufgestellt! Ein Shadow deiner Fahrt wird in die Rangliste auf NeedforSpeed.de hochgeladen, damit andere Spieler eine Herausforderung haben!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	RENNEN 1 VON 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFEKT ANGEFANGEN!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	RADARFALLEN
0	AUTO	SMS_FROM	Von:
0	AUTO	SMS_TEXT	Text
0	AUTO	HUD_DRIFT_POINTS_EARNED	GEWONNENE PUNKTE
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s: GEWONNEN*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	GEGNER IST GECRASHT!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	VERLOREN
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Möchtest du den Shop betreten?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Wartet auf andere Gegner:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Du hast den Highscore für diese Strecke geschlagen!
0	AUTO	OL_NEW_GHOST	NEUER SHADOW
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Möchtest du zurück zur Freien Fahrt?^Alle Rennfortschritte gehen verloren.
0	AUTO	HUD_COPDESTROYED_COPSUVL	COMBO-KOPFGELD FÜR^LEICHTEN SUV: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Zum Unterschlupf springen
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Kontrollpunkte ansehen
0	AUTO	HUD_CANYON_RATING_0	BEEIL DICH!
0	AUTO	HUD_CANYON_RATING_1	LANGSAM
0	AUTO	HUD_CANYON_RATING_2	DURCHSCHNITT
0	AUTO	HUD_CANYON_RATING_3	GUT!
0	AUTO	HUD_CANYON_RATING_4	SUPER!
0	AUTO	HUD_CANYON_RATING_5	WAHNSINN!
0	AUTO	HUD_SHIFT_EARLY	ZU FRÜH GESCHALTET!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*ABSCHNITTE*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	VERKEHRSUNFÄLLE
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Runden ansehen
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	PUNKTEZONE BEGINNT!
0	AUTO	MENU_POSTRACE_REP_REWARD	Rufbonus
0	AUTO	HUD_SHIFT_GOOD	GUT GESCHALTET!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	TOLLER DRIFT
0	AUTO	MENU_POSTRACE_CASH_REWARD	Geldprämie
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*CREW-HERAUSFORDERUNG*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	Wartet auf Endergebnis
0	AUTO	HUD_DRIFT_NICE_DRIFT	KLASSE DRIFT
0	AUTO	OL_SAVE_GHOST	SHADOW-WAGEN
0	AUTO	MENU_PAUSE_WORLD_MAP	WELTKARTE
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS-VERBINDUNG ABGEBROCHEN^WIRD NEU AUFGEBAUT ...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Schlage das Ergebnis deiner Gegner
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	GEGNER ÜBERHOLT!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	PROBEFAHRT BEENDET
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	PRÄMIENKARTE FREIGESCHALTET!
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Zusammenfassung
0	AUTO	HUD_CHECKPOINT	KONTROLLPUNKT
0	AUTO	HUD_BOUNTY	KOPFGELD
0	AUTO	MENU_POSTRACE_WIN	*DEINE CREW HAT GEWONNEN*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	GUT GEMACHT!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	JETZT AKTIVIEREN^Drücke die Crewmitglied-Aktivierungstaste.
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*KONTROLLPUNKTE*
0	AUTO	HUD_DRIFT_RACE_OVER	RENNEN ZU ENDE!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Möchtest du das Rennen neu starten?^Alle Rennfortschritte gehen verloren.
0	AUTO	HUD_SPEEDTRAP	RADARFALLE
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	Du wurdest von einer gegnerischen Crew zu einem Rennen herausgefordert! Lege die Ziellinie fest. Wer sie als Erster erreicht, gewinnt.
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	FREIE FAHRT FORTSETZEN
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*BEENDET*
0	AUTO	MENU_PAUSE_TITLE	*PAUSE*
0	AUTO	HUD_IMMUNE	IMMUN
0	AUTO	MENU_POSTRACE_POSITION	POSITION
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	COMBO-KOPFGELD FÜR^BUNDES-ZIVILFAHRZEUG: %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	COMBO-KOPFGELD FÜR^BUNDES-EINSATZFAHRZEUG: %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	Du bist Cross nicht entkommen.
0	AUTO	SMS_CONFIRM_DELETE	Möchtest du diese SMS-Nachricht löschen?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Rückkehr zum Raum in:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	ZU LANGSAM!
0	AUTO	HUD_COMPLETE	BEENDET
0	AUTO	HUD_PASSED	ÜBERHOLT!
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	Gewonnene Prämienkarten:
0	AUTO	COP_ESCAPE_DONE	VERFOLGUNG ENTKOMMEN!
0	AUTO	HUD_GO	LOS!
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	ÜBERHOLT!
0	AUTO	HUD_SPLIT_SCORE	ZWISCHENSTAND:
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	COMBO-KOPFGELD FÜR^STAATS-ZIVILFAHRZEUG: %$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	Möchtest du per GPS zum Unterschlupf geführt werden?
0	AUTO	POST_RACE_RACER_PROFILE	RENNENDE - FAHRERPROFIL
0	AUTO	HUD_NEXT_CHECKPOINT	NÄCHSTER KONTROLLPUNKT:
0	AUTO	MENU_POSTRACE_SPEEDTRAPS_TITLE	*RADARFALLEN*
0	AUTO	TITLE_DEFENCE_RACE	*VERTEIDIGUNGSRENNEN*
0	AUTO	SMS_SUBJECT	Betreff:
0	AUTO	MENU_POSTRACE_BEST_SPEEDTRAP_SPEED	HÖCHSTES RADARFALLENTEMPO
0	AUTO	HUD_DRIFT_SPUN_OUT	KONTROLLE VERLOREN!
0	AUTO	SMS_MAILBOX	*MAILBOX*
0	AUTO	HUD_DRIFT_AMAZING_DRIFT	FANTASTISCHER DRIFT!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_ONE	GEGNER ÜBERHOLT!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_TWO	VORSPRUNG WÄCHST!
0	AUTO	MENU_POSTRACE_STILL_RACING	Fährt noch
0	AUTO	MENU_POSTRACE_LEG_ONE_TIME	ZEIT RENNEN 1
0	AUTO	EATRAX_TICKER_SCORED	Für Need for Speed™ Carbon komponierte Musik
0	AUTO	MENU_POSTRACE_AVERAGE_SPEEDTRAP_SPEED	RADARFALLENSCHNITT
0	AUTO	MENU_POSTRACE_TIME_BEHIND	ZEIT-RÜCKSTAND
