#	Labrune - D:\Games\NFS Carbon\LANGUAGES\English_Frontend.bin
#	File created on: 2025-05-10 15:19:43
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*VINYL TRANSFORM*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Knockouts
0	AUTO	MENU_CREW_LOGO	CREW LOGO
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	These markers include cash bonuses, getting out of jail passes, extra Impound strike markers, and the pink slip for the Boss car you just beat.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ allows you to customize your ride by fabricating your own parts.^You can modify body kits, wheels, hoods, spoilers, and roof scoops to create exactly the parts you want.^Customization doesn't stop there. Spray on custom paint, add customizable vinyls, decals, and install performance parts to create your own unique Tuner, Muscle, or Exotic Crew identity.
0	AUTO	CHAL_COMPLETED	Completed
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Create a new alias? If you do not create a new alias, changes may be lost.
0	AUTO	CHAL_SELECT_CREW_MODE	Select Co-op Challenge Mode
0	AUTO	CUST_PARTS_WHEELS_TITLE	*WHEELS*
0	AUTO	MARKER_NAME_TRANSMISSION	Unique Transmission Upgrades
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*VINYL PAINT*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	You do not have enough cash to buy all of these parts. Please remove some items from the shopping cart.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finnish
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	A unique custom gauge upgrade on any of your cars.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	A unique nitrous upgrade on any of your cars.
0	AUTO	STAT_PERC_AS_POLICE	%% As Police
0	AUTO	HELP_RACE	Race
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Need to win 5 Career Races
0	AUTO	CHAL_SOLO_CHALLENGE	Solo Challenge
0	AUTO	MENU_MAIN_TITLE_CAREER	*CAREER*
0	AUTO	STAT_NUM_TIMES_BUSTED	Number of Times Busted
0	AUTO	CUST_PARTS_WHEELS	WHEELS
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Crew Members Hired
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	You just scored an extra %$d in cash.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	A unique hood upgrade on any of your cars.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	A unique wheel upgrade on any of your cars.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	A unique tire upgrade on any of your cars.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Create
0	AUTO	CUST_RIDE_HEIGHT_DROP	Ride Height Drop
0	AUTO	HELP_CAREER_CONTROLS	Career Controls
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	CREW STYLE
0	AUTO	POST_RACE_PURSUIT_STATS	Pursuit Statistics
0	AUTO	MC_DELETE	Delete
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Shadow Score
0	AUTO	CUST_VINYL_GRADIENT_0_0	GRADIENT 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	GRADIENT 1
0	AUTO	RC_NAME_104	10 Cops
0	AUTO	LANG_SWEDISH	Swedish
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Unique Paint Upgrades
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	All of your Crew members have been busted and you do not have enough money to bail any of them out.
0	AUTO	CUST_VINYL_INNER_GLOW_0	INNER GLOW
0	AUTO	MARKER_NAME_BRAKES	Unique Brake Upgrades
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	CAMOUFLAGE
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
