#	Labrune - D:\Games\NFS Carbon\LANGUAGES\English_Global.bin
#	File created on: 2025-05-10 15:19:53
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Activate Crew Member
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno Vinyl
0	AUTO	RCO_REWARD_003	Rotor4 Vinyl
0	AUTO	RCO_REWARD_004	BBS RX Wheels
0	AUTO	RCO_REWARD_005	Los Colibris Vinyl
0	AUTO	RCO_REWARD_006	BBS CH Wheels
0	AUTO	RCO_REWARD_007	BBS LM Wheels
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Mooo! Vinyl
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	PURSUITS
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Times Played
0	AUTO	TIP_CREWS_HEADER	MANAGING CREWS^
0	AUTO	PART_SPOILER_0	STOCK
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Hiding Spot
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Infinite Speedbreaker!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Motion Blur^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	ZONE HEAT
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SHIELD
0	AUTO	VINYL_PART_LOGO_CUP	TROPHY
0	AUTO	VINYL_PART_LOGO_RAM	RAM
0	AUTO	VINYL_PART_LOGO_WMD	ROCKET
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Reached Online XP Level %d! You have unlocked: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	PHOENIX
0	AUTO	CUST_ROTATECAMERA	Rotate Camera
0	AUTO	VINYL_PART_NF_HUNGARY	HUNGARY
0	AUTO	SUBTITLES_DEMO_MOVIE_1	I didn't expect you to show your face again.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Things have changed around here. This place is a battleground now.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Tuners
0	AUTO	SUBTITLES_DEMO_MOVIE_4	Muscles
0	AUTO	SUBTITLES_DEMO_MOVIE_5	Exotics
0	AUTO	SUBTITLES_DEMO_MOVIE_6	Crews fightin' for territory in the city.
0	AUTO	SUBTITLES_DEMO_MOVIE_7	And it all gets settled in the canyon.
0	AUTO	SUBTITLES_DEMO_MOVIE_8	But you'd never survive it.
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Yeah. I heard you were back in town. Now I want to hear you're gone.
0	AUTO	UNLOCKABLE_RHINO	Rhino Unlocked For Quick Race!
0	AUTO	WM_LEGEND_EVENT	Event
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	You have been arrested by the Palmont City Police Department, and your car has been given an Impound Strike marker. You can either pay your fines with money or with a Get out of Jail Free card.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*PURSUIT*
0	AUTO	ON_LOGIN_RETRIEVEPASS	LOST PASSWORD
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*CONQUERED*
0	AUTO	TIP_PURSUITS_HEADER	PURSUITS^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	DEFENSIVE RACES
0	AUTO	HUD_FINISH_SIXTEEN	YOU FINISHED SIXTEENTH
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Black Edition 1
0	AUTO	PART_COLLECTORS_EDITION_02	Black Edition 2
0	AUTO	PART_COLLECTORS_EDITION_03	Black Edition 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	The Autosave feature can not save your progress because the storage device you selected has been replaced or removed. Do you wish to continue with Autosave on?
0	AUTO	COMMON_ABBREV_FT	FT
0	AUTO	COMMON_ABBREV_KG	KG
0	AUTO	TIP_ON_ONLINEXP_DESC	Increase your Online XP level to unlock exclusive Cars and visual upgrades! Anytime you play Online you'll get OXP points towards your next level-up. The higher you place in a game, the more OXP you'll get. Reach level 50 to unlock the custom Lotus Europa S!
0	AUTO	VINYL_PART_2T_997GT3RS	TWO TONE
0	AUTO	CTRL_360_GUIDE	Xbox Guide
0	AUTO	VINYL_SPA_PART_VIRUS_CARBON_PLAGUE	CARBONO PLAGUE
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Carbon
0	AUTO	PERFORMANCE_TUNE_HELP_NITROUS	Tuning nitrous components for Velocity versus duration allows you to control the volume usage of nitrous.  Tune for velocity to get a shorter burst but larger impact out of your nitrous or tune for duration to get a longer burst with less impact.
0	AUTO	TIP_ON_CANYON_BASIC_DESC	In this 2-stage race, earn points by chasing the Lead Racer.^A player who drives off the cliff will lose the race immediately.^Collision Detection is turned off in Online Canyon Duel to make it a pure test of driving skill!
0	AUTO	VINYL_PART_AFTERMARKET_NOLOGY	NOLOGY
0	AUTO	VINYL_PART_LOGO_STEERING_WHEEL	STEERING WHEEL
0	AUTO	VINYL_PART_MANUFACTURER_MCLAREN	MCLAREN
0	AUTO	TIP_GAME_OVER_HEADER	GAME OVER^
0	AUTO	TIP_WORLDMAP_DESC	You can jump into any location marked on your world map. This way you can visit Car Dealerships, Safe Houses you have conquered from other Crews, and of course access any track you want to race. You can even do this in middle of Free Roam as long as cops are not chasing you.^
0	AUTO	AREA_NAME_001	San Juan
0	AUTO	AREA_NAME_002	Kempton
0	AUTO	AREA_NAME_003	Downtown
0	AUTO	AREA_NAME_004	Fortuna
0	AUTO	AREA_NAME_005	Silverton
0	AUTO	AREA_NAME_006	Canyon
0	AUTO	SMS_MESSAGE_062_SUBJECT	CAR TIERS
0	AUTO	CART_ITEM_DESC_WINDOW_TINT	WINDOW TINT
0	AUTO	CARLIST_PRESET	CUSTOM
0	AUTO	HEADER_REWARD_CARD_GAINED	REWARD CARDS GAINED
0	AUTO	KB_BTN_DONE	Done
0	AUTO	PART_ROOF_18_CF_DUAL	TYPHOON CF DUAL
0	AUTO	VINYL_PART_2T_LANCEREVO9	TWO TONE
0	AUTO	TIP_DYNAMIC_PURSUIT_BREAKERS_HEADER	DYNAMIC PURSUIT BREAKERS^
0	AUTO	TIP_GEOGRAPHIC_HEAT_DESC	Check your map to see how much cop activity each zone has. The more you race in any given area, the more likely it is that you will be chased in the middle of the race there. The more you race in any given zone, the more cops will start patrolling there. To let the Heat cool down, avoid racing in that zone for a while.
0	AUTO	VINYL_PART_MANUFACTURER_PORSCHE	PORSCHE
0	AUTO	PURSUIT_STAT_INFRACTIONS	Number of Infractions
0	AUTO	PART_ROOF_10_DUAL	BLASTBACK DUAL
0	AUTO	SMS_MESSAGE_010_SUBJECT	Need some new crew?
0	AUTO	VINYL_PART_AFTERMARKET_BILSTEIN	BILSTEIN
0	AUTO	RC_NAME_001	Making Your Name
0	AUTO	RC_NAME_002	Street Racer
0	AUTO	RC_NAME_003	Road to Victory
0	AUTO	RC_NAME_004	Makin' Money
0	AUTO	RC_NAME_005	Stash
0	AUTO	RC_NAME_006	Speed Freak
0	AUTO	RC_NAME_007	Cannonball
0	AUTO	RC_NAME_008	Cuttin' Deals
0	AUTO	RC_NAME_009	Speed Demon
0	AUTO	RC_NAME_010	Getting Noticed
0	AUTO	RC_NAME_011	Getaway
0	AUTO	RC_NAME_012	Escape Artist
0	AUTO	RC_NAME_013	Vandal
0	AUTO	RC_NAME_014	Quick Exit
0	AUTO	RC_NAME_015	8 Minute Exit
0	AUTO	RC_NAME_016	12 Minute Exit
0	AUTO	RC_NAME_017	A New Challenger
0	AUTO	RC_NAME_018	Challenge Novice
0	AUTO	RC_NAME_019	Challenge Journeyman
0	AUTO	RC_NAME_020	Challenge Champion
0	AUTO	RC_NAME_021	1/4 Mile
0	AUTO	RC_NAME_022	Iron Wall
0	AUTO	RC_NAME_023	Urban Battle
0	AUTO	RC_NAME_024	Small Car Lot
0	AUTO	RC_NAME_025	Arcade Level 1
0	AUTO	RC_NAME_026	Arcade Level 2
0	AUTO	RC_NAME_027	Arcade Level 3
0	AUTO	RC_NAME_028	Arcade Level 4
0	AUTO	RC_NAME_029	Rivals
0	AUTO	RC_NAME_030	Baiter
0	AUTO	RC_NAME_031	Fabricator
0	AUTO	RC_NAME_032	Stone Wheels
0	AUTO	RC_NAME_033	Time Shift
0	AUTO	RC_NAME_034	20K Bill
0	AUTO	RC_NAME_035	Drift Novice
0	AUTO	RC_NAME_036	Wrecking Ball
0	AUTO	RC_NAME_037	Big Bucks
0	AUTO	RC_NAME_038	All Your Base
0	AUTO	RC_NAME_039	Canyon Conqueror
0	AUTO	RC_NAME_040	Consolation Award
0	AUTO	RC_NAME_041	Defender
0	AUTO	RC_NAME_042	Career Mogul
0	AUTO	RC_NAME_043	Fender Bender
0	AUTO	RC_NAME_044	Reckless
0	AUTO	RC_NAME_045	Brake For No One
0	AUTO	RC_NAME_046	Public Enemy No. 1
0	AUTO	RC_NAME_047	50 Tracks
0	AUTO	RC_NAME_048	85 Tracks
0	AUTO	RC_NAME_049	Need for Speed
0	AUTO	RC_NAME_050	Unblockable
0	AUTO	RC_NAME_051	Street Legend
0	AUTO	RC_NAME_052	Untouchable
0	AUTO	RC_NAME_053	Houdini
0	AUTO	RC_NAME_054	Block Breaker
0	AUTO	RC_NAME_055	Iron Tires
0	AUTO	RC_NAME_056	Battering Ram
0	AUTO	RC_NAME_057	Drifter
0	AUTO	RC_NAME_058	3 Rides
0	AUTO	RC_NAME_059	20K Bounty
0	AUTO	RC_NAME_060	50K Bounty
0	AUTO	RC_NAME_061	Big Game Hunter
0	AUTO	RC_NAME_062	Bronze Medal
0	AUTO	RC_NAME_063	Silver Medal
0	AUTO	RC_NAME_064	Gold Medal
0	AUTO	RC_NAME_065	Free Ride
0	AUTO	RC_NAME_066	Diamond Tires
0	AUTO	RC_NAME_067	Burnt Rubber
0	AUTO	RC_NAME_068	5 Rides
0	AUTO	RC_NAME_069	Full House
0	AUTO	RC_NAME_070	Muscle Head
0	AUTO	RC_NAME_071	Tuner Addict
0	AUTO	RC_NAME_072	Exotic Aficionado
0	AUTO	RC_NAME_073	Troublemaker
0	AUTO	RC_NAME_074	Big Biz
0	AUTO	RC_NAME_075	Wheels of Steel
0	AUTO	RC_NAME_076	Drift Pro
0	AUTO	RC_NAME_077	Large Car Lot
0	AUTO	RC_NAME_078	8 Rides
0	AUTO	RC_NAME_079	Challenge Master
0	AUTO	RC_NAME_080	Crime Spree
0	AUTO	RC_NAME_081	Most Wanted
0	AUTO	RC_NAME_082	Moving Disaster
0	AUTO	RC_NAME_083	Fast Wheels
0	AUTO	RC_NAME_084	Downtown Turf
0	AUTO	RC_NAME_085	Number 1
0	AUTO	RC_NAME_086	Conqueror
0	AUTO	RC_NAME_087	Street King
0	AUTO	RC_NAME_088	Titanium Tires
0	AUTO	RC_NAME_089	Urban Combat
0	AUTO	RC_NAME_090	Urban Warfare
0	AUTO	RC_NAME_091	Unstoppable
0	AUTO	RC_NAME_092	Crusher
0	AUTO	RC_NAME_093	Canyon Run
0	AUTO	RC_NAME_094	Wolfshead
0	AUTO	RC_NAME_095	Leader of the Pack
0	AUTO	RC_NAME_096	Collector
0	AUTO	RC_NAME_097	First Blood
0	AUTO	RC_NAME_098	100K
0	AUTO	RC_NAME_099	Hard Time
0	AUTO	RC_NAME_100	Drift King
0	AUTO	RC_NAME_101	Head-to-head
0	AUTO	RC_NAME_102	Sprinter
0	AUTO	RC_NAME_103	Downhill Dynamo
