#	Labrune - D:\Games\NFS Carbon\LANGUAGES\English_InGame.bin
#	File created on: 2025-05-10 15:20:01
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	AVG LENGTH
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*AREA CONQUERED*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Would you like to use this car to start your Career?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLLISION %$d PTS
0	AUTO	POSTRACE_CREW_INVITE	Crew Invite
0	AUTO	HUD_YOUR_TIME	YOUR TIME:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	QUIT TO FREE ROAM
0	AUTO	HUD_SHIFT_PERFECT	PERFECT SHIFT!
0	AUTO	HUD_DRIFT_KEEP_MOVING	KEEP MOVING!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	MILESTONE ACHIEVED
0	AUTO	HUD_WRNONG_WAY	WRONG WAY!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT ENDED
0	AUTO	QR_GHOST_UPLOAD	Congratulations you've set a new top 3 high score for this track! A Shadow of your performance is uploading to the NeedforSpeed.com Leaderboard for others to challenge!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	STAGE 1 OF 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFECT ENTRY!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	SPEEDTRAPS
0	AUTO	SMS_FROM	FROM:
0	AUTO	SMS_TEXT	Text
0	AUTO	HUD_DRIFT_POINTS_EARNED	PTS EARNED
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s WINS*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	OPPONENT CRASHED!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	YOU LOST
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Are you sure you want to enter the Car Lot?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Waiting for other opponents:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	You beat the high score for this track!
0	AUTO	OL_NEW_GHOST	NEW SHADOW
