#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Spanish_Frontend.bin
#	File created on: 2025-05-10 15:29:00
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*TRANSFORMAR VINILO*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Eliminación
0	AUTO	MENU_CREW_LOGO	LOGOTIPO DE EQUIPO
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Aquí encontrarás dinero, pases para salir de la cárcel, órdenes de embargo adicionales, retiradas de vehículo embargado o la tarjeta rosa del coche del rival al que has derrotado.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ te permite fabricar tus propias piezas para personalizar tu buga.^Ahora puedes modificar los kits de carrocería, las ruedas, capós, alerones y tomas de aire para crear exactamente las piezas que quieras.^La personalización no termina aquí. Puedes hacer graffitis en la carrocería, añadir vinilos y pegatinas personalizadas e instalar piezas de rendimiento para crear tu propia y exclusiva identidad de equipo tuner, muscle o exótico.
0	AUTO	CHAL_COMPLETED	Completado
0	AUTO	MC_CONFIRM_CREATE_PROFILE	¿Crear un usuario nuevo? Si no lo haces, los cambios pueden perderse.
0	AUTO	CHAL_SELECT_CREW_MODE	Seleccionar modo Desafío cooperativo
0	AUTO	CUST_PARTS_WHEELS_TITLE	*RUEDAS*
0	AUTO	MARKER_NAME_TRANSMISSION	Mejoras de transmisión únicas
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*PINTURA DE VINILO*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	No tienes suficiente dinero para comprar todas estas piezas. Elimina algunos artículos de tu carrito de la compra.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finlandés
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Una mejora única de indicadores personalizados en cualquiera de tus coches.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Una mejora única de nitroso en cualquiera de tus coches.
0	AUTO	STAT_PERC_AS_POLICE	Policía (%%)
0	AUTO	HELP_RACE	Correr
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Necesitas ganar cinco carreras en el modo Carrera
0	AUTO	CHAL_SOLO_CHALLENGE	Desafío individual
0	AUTO	MENU_MAIN_TITLE_CAREER	*CARRERA*
0	AUTO	STAT_NUM_TIMES_BUSTED	Número de veces arrestado
0	AUTO	CUST_PARTS_WHEELS	RUEDAS
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Socios contratados
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Has conseguido %$d de dinero adicional.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	Una mejora única de capó en cualquiera de tus coches.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	Una mejora única de ruedas en cualquiera de tus coches.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	Una mejora única de neumáticos en cualquiera de tus coches.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Crear
0	AUTO	CUST_RIDE_HEIGHT_DROP	Altura
0	AUTO	HELP_CAREER_CONTROLS	Controles de Carrera
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	ESTILO DE EQUIPO
0	AUTO	POST_RACE_PURSUIT_STATS	Estadísticas de persecución
0	AUTO	MC_DELETE	Borrar
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Resultado de fantasma:
0	AUTO	CUST_VINYL_GRADIENT_0_0	DEGRADADO 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	DEGRADADO 1
0	AUTO	RC_NAME_104	10 polis
0	AUTO	LANG_SWEDISH	Sueco
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Mejoras de pintura únicas
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	Han arrestado a todos tus socios y no tienes dinero para sacarlos de la cárcel.
0	AUTO	CUST_VINYL_INNER_GLOW_0	BRILLO INTERNO
0	AUTO	MARKER_NAME_BRAKES	Mejoras únicas de frenos
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	CAMUFLAJE
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	Victorias:
