#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Spanish_Global.bin
#	File created on: 2025-05-10 15:29:04
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Activar socio
0	AUTO	PART_PERF_NITROUS_1	Inyección seca de nitroso
0	AUTO	PART_PERF_NITROUS_2	Kit de depuración de nitroso
0	AUTO	PART_PERF_NITROUS_3	Botella de nitroso de cinco kg.
0	AUTO	PART_PERF_NITROUS_4	Inyección húmeda de nitroso
0	AUTO	PART_PERF_NITROUS_5	Calentador de botella de nitroso
0	AUTO	PART_PERF_NITROUS_6	Botella de nitroso de siete kg.
0	AUTO	PART_PERF_NITROUS_7	Kit de puerto directo de nitroso
0	AUTO	PART_PERF_NITROUS_8	Controlador de presión de nitroso
0	AUTO	PART_PERF_NITROUS_9	Botella de nitroso de diez kg.
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Vinilo Inferno
0	AUTO	RCO_REWARD_003	Vinilo Rotor4
0	AUTO	RCO_REWARD_004	Ruedas BBS RX
0	AUTO	RCO_REWARD_005	Vinilo Los Colibries
0	AUTO	RCO_REWARD_006	Ruedas BBS CH
0	AUTO	RCO_REWARD_007	Ruedas BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	¡Guau! Vinilo
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	PERSECUCIONES
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Número de carreras
0	AUTO	TIP_CREWS_HEADER	GESTIONAR EQUIPO^
0	AUTO	PART_SPOILER_0	DE SERIE
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Escondrijo
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	¡Ralentización del tiempo infinita!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Motion Blur^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	PRESIÓN EN LA ZONA
