#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Spanish_InGame.bin
#	File created on: 2025-05-10 15:29:08
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	LONGITUD MEDIA
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*ZONA CONQUISTADA*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	¿Quieres utilizar este coche para iniciar tu Carrera?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLISIÓN %$d PTS
0	AUTO	POSTRACE_CREW_INVITE	Invitación de equipo
0	AUTO	HUD_YOUR_TIME	TU TIEMPO:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	SALIR A CIRCUL. LIBRE
0	AUTO	HUD_SHIFT_PERFECT	¡CAMBIO PERFECTO!
0	AUTO	HUD_DRIFT_KEEP_MOVING	¡SIGUE ADELANTE!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	HITO CONSEGUIDO
0	AUTO	HUD_WRNONG_WAY	¡SENTIDO CONTRARIO!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DERRAPE TERMINADO
0	AUTO	QR_GHOST_UPLOAD	¡Enhorabuena! Tu resultado está entre los tres mejores de esta pista. El fantasma de tu actuación se va a cargar a la tabla de clasificaciones de NeedforSpeed.com para que otros te desafíen.
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	FASE 1 DE 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	¡ENTRADA PERFECTA!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	RADAR
0	AUTO	SMS_FROM	De:
0	AUTO	SMS_TEXT	Texto
0	AUTO	HUD_DRIFT_POINTS_EARNED	PUNTOS CONSEGUIDOS
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s HA GANADO*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	¡EL RIVAL HA CHOCADO!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	HAS PERDIDO
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	¿Seguro que quieres entrar en el concesionario?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Esperando rivales:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	¡Has batido la puntuación más alta de esta pista!
0	AUTO	OL_NEW_GHOST	NUEVO FANTASMA
