#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Finnish_Global.bin
#	File created on: 2025-05-10 15:25:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	Teräväpiirto
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Valitse jengin jäsen
0	AUTO	PART_PERF_NITROUS_1	Kuiva boosti
0	AUTO	PART_PERF_NITROUS_2	Ilokaasujärjestelmän puhdistin
0	AUTO	PART_PERF_NITROUS_3	10 paunan ilokaasusäiliö
0	AUTO	PART_PERF_NITROUS_4	Märkä ilokaasusarja
0	AUTO	PART_PERF_NITROUS_5	Ilokaasusäiliön lämmitin
0	AUTO	PART_PERF_NITROUS_6	15 paunan ilokaasutankki
0	AUTO	PART_PERF_NITROUS_7	Ilokaasun suorasyöttö
0	AUTO	PART_PERF_NITROUS_8	Ilokaasun paineensäädin
0	AUTO	PART_PERF_NITROUS_9	20 paunan ilokaasusäiliö
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno-tarra
0	AUTO	RCO_REWARD_003	Rotor4-tarra
0	AUTO	RCO_REWARD_004	BBS RX -vanteet
0	AUTO	RCO_REWARD_005	Los Colibris -tarra
0	AUTO	RCO_REWARD_006	BBS CH -vanteet
0	AUTO	RCO_REWARD_007	BBS LM -vanteet
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Am-muu! -tarra
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	TAKAA-AJOT
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoomaus
0	AUTO	STAT_NUM_TIMES_RACED	Pelikertoja
0	AUTO	TIP_CREWS_HEADER	JENGIN JÄSENET^
0	AUTO	PART_SPOILER_0	PERUSMALLI
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Piilopaikka
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Lopputtomat hidastukset!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	ALUEEN TAKAA-AJOTASO
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	KILPI
0	AUTO	VINYL_PART_LOGO_CUP	POKAALI
0	AUTO	VINYL_PART_LOGO_RAM	OINAS
0	AUTO	VINYL_PART_LOGO_WMD	RAKETTI
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Saavutit verkkokokemuksen tason %d! Avattu: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FEENIX
0	AUTO	CUST_ROTATECAMERA	Käännä kuvakulmaa
0	AUTO	VINYL_PART_NF_HUNGARY	UNKARI
0	AUTO	SUBTITLES_DEMO_MOVIE_1	En uskonut sinun palaavan.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Ajat ovat muuttuneet.^Kadut ovat kuin taistelutanner.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Tuunauskärryjä
0	AUTO	SUBTITLES_DEMO_MOVIE_4	Kiihdytyskärryjä
0	AUTO	SUBTITLES_DEMO_MOVIE_5	Tuontikärryjä
0	AUTO	SUBTITLES_DEMO_MOVIE_6	Jengien kamppailu alueista on kovaa.
0	AUTO	SUBTITLES_DEMO_MOVIE_7	Välit ratkaistaan kanjoniteillä, -
0	AUTO	SUBTITLES_DEMO_MOVIE_8	mutta meno siellä on sulle liian rankkaa.
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Kuulinkin, että palasit.^Nyt saat luvan luikkii takas mutsis helmoihin.
0	AUTO	UNLOCKABLE_RHINO	Voit nyt ajaa katumaasturia pikakisoissa!
0	AUTO	WM_LEGEND_EVENT	Kisa
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Palmontin poliisilaitos on pidättänyt sinut ja antanut lunastusvaroituksen autostasi. Voit maksaa sakkosi rahalla tai käyttää vapautuskortin.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	POMO
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*TAKAA-AJO*
0	AUTO	ON_LOGIN_RETRIEVEPASS	KADONNUT SALASANA
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*VALLOITETTU*
0	AUTO	TIP_PURSUITS_HEADER	TAKAA-AJOT^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	PUOLUSTUSKISAT
0	AUTO	HUD_FINISH_SIXTEEN	OLIT KUUDESTOISTA
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Black Edition 1
0	AUTO	PART_COLLECTORS_EDITION_02	Black Edition 2
0	AUTO	PART_COLLECTORS_EDITION_03	Black Edition 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
