#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Finnish_InGame.bin
#	File created on: 2025-05-10 15:26:06
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DRIFTIN KESKIPITUUS
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*VALLOITETTU ALUE*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Haluatko aloittaa urasi tällä autolla?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLARIPISTEET %$d
0	AUTO	POSTRACE_CREW_INVITE	Jengikutsu
0	AUTO	HUD_YOUR_TIME	AIKA:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	POISTU VAPAASEEN AJOON
0	AUTO	HUD_SHIFT_PERFECT	TÄYDELLINEN VAIHTO!
0	AUTO	HUD_DRIFT_KEEP_MOVING	PYSY LIIKKEELLÄ!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	VIRSTANPYLVÄS SAAVUTETTU
0	AUTO	HUD_WRNONG_WAY	VÄÄRÄ SUUNTA!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFTI PÄÄTTYI
0	AUTO	QR_GHOST_UPLOAD	Onneksi olkoon! Pääsit radan tilastoissa kolmen parhaan joukkoon. Suorituksesi varjo ladataan NeedforSpeed.comin johtotaululle, josta muut voivat päihittää sen.
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	OSA 1/2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	TÄYDELLINEN ALOITUS!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	TUTKAT
0	AUTO	SMS_FROM	Lähettäjä:
0	AUTO	SMS_TEXT	Teksti
0	AUTO	HUD_DRIFT_POINTS_EARNED	PISTETTÄ ANSAITTU
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s VOITTI*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	VASTUSTAJA RYSÄHTI!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	HÄVISIT
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Haluatko varmasti siirtyä autokauppaan?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Odotetaan muita vastustajia:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Teit radan piste-ennätyksen!
0	AUTO	OL_NEW_GHOST	UUSI VARJO
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Haluatko varmasti palata vapaaseen ajoon?^Menetät edistymisesi pelissä.
0	AUTO	HUD_COPDESTROYED_COPSUVL	KEVYET KATUMAASTURIT^YHDISTELMÄPALKKIO: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Siirry turvataloon
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Tarkastuspisteet
0	AUTO	HUD_CANYON_RATING_0	VAUHTIA!
0	AUTO	HUD_CANYON_RATING_1	HIDASTA
0	AUTO	HUD_CANYON_RATING_2	KESKIVERTO
0	AUTO	HUD_CANYON_RATING_3	HYVÄ!
0	AUTO	HUD_CANYON_RATING_4	HIENOA!
0	AUTO	HUD_CANYON_RATING_5	MAHTAVAA!
0	AUTO	HUD_SHIFT_EARLY	VARHAINEN VAIHTO
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*OSIOT*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	KOLAREITA
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Tarkastele kierroksia
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	PISTEVYÖHYKE ALKAA!
0	AUTO	MENU_POSTRACE_REP_REWARD	Katumainepalkinto
0	AUTO	HUD_SHIFT_GOOD	HYVÄ AJOITUS!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	HIENO DRIFTI
0	AUTO	MENU_POSTRACE_CASH_REWARD	Käteispalkinto
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*JENGIHAASTE*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	Odotetaan lopullisia tuloksia
0	AUTO	HUD_DRIFT_NICE_DRIFT	MUKAVA DRIFTI
0	AUTO	OL_SAVE_GHOST	VARJOAUTO
0	AUTO	MENU_PAUSE_WORLD_MAP	KARTTA
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS-YHTEYS KATKESI^MUODOSTETAAN YHTEYTTÄ...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Päihitä vastustajasi tulos
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	NUJERSIT VASTUSTAJAN!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	KOEAJO TEHTY
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	PALKKIOKORTTI AVATTU
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Katso yhteenvetoa
0	AUTO	HUD_CHECKPOINT	TARKASTUSPISTE
0	AUTO	HUD_BOUNTY	PALKKIO
0	AUTO	MENU_POSTRACE_WIN	*JENGISI VOITTI*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	HYVÄÄ TYÖTÄ!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	AKTIVOI NYT^Paina Aktivoi jengin jäsen -näppäintä
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*TARKASTUSPISTE*
0	AUTO	HUD_DRIFT_RACE_OVER	KISA OHI!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Haluatko varmasti aloittaa kisan alusta? Tällöin menetät kaikki kisasaavutuksesi.
0	AUTO	HUD_SPEEDTRAP	TUTKA
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	Toinen jengi esitti sinulle haasteen! Valitse pyrähdyskisalle maali. Ensimmäisenä maalille ehtinyt voittaa.
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	JATKA VAPAATA AJOA
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*YHTEENSÄ*
0	AUTO	MENU_PAUSE_TITLE	*PYSÄYTETTY*
0	AUTO	HUD_IMMUNE	IMMUUNI
0	AUTO	MENU_POSTRACE_POSITION	SIJOITUS
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	LIITTOVALTION SIVIILIPOLIISI^YHDISTELMÄPALKKIO: %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	LIITTOVALTION PARTIOAUTO^YHDISTELMÄPALKKIO: %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	Cross nappasi sinut.
0	AUTO	SMS_CONFIRM_DELETE	Haluatko varmasti poistaa tämän tekstiviestin?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Palataan pelihuoneeseen:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	OLET LIIAN HIDAS!
0	AUTO	HUD_COMPLETE	SUORITETTU
0	AUTO	HUD_PASSED	SUORITETTU
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	Voitetut palkintokortit:
0	AUTO	COP_ESCAPE_DONE	JÄTIT TAKAA-AJAJAT!
0	AUTO	HUD_GO	AJA!
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	SINUT NUJERRETTIIN!
0	AUTO	HUD_SPLIT_SCORE	PISTE-ERO:
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	OSAVALTION SIVIILIPOLIISI^YHDISTELMÄPALKKIO: %$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	Haluatko GPS-järjestelmän opastavan sinut turvatalolle?
0	AUTO	POST_RACE_RACER_PROFILE	KULJETTAJAN KISATIEDOT
0	AUTO	HUD_NEXT_CHECKPOINT	SEURAAVALLE TARKASTUSPISTEELLE:
0	AUTO	MENU_POSTRACE_SPEEDTRAPS_TITLE	*TUTKAT*
0	AUTO	TITLE_DEFENCE_RACE	*PUOLUSTUSKISA*
0	AUTO	SMS_SUBJECT	Aihe:
0	AUTO	MENU_POSTRACE_BEST_SPEEDTRAP_SPEED	PARAS TUTKANOPEUS
0	AUTO	HUD_DRIFT_SPUN_OUT	SPINNASIT!
0	AUTO	SMS_MAILBOX	*POSTIT*
0	AUTO	HUD_DRIFT_AMAZING_DRIFT	HUIPPUDRIFTI!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_ONE	VASTUSTAJA OHITETTU!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_TWO	KIIDÄT KARKUUN!
0	AUTO	MENU_POSTRACE_STILL_RACING	Yhä mukana
0	AUTO	MENU_POSTRACE_LEG_ONE_TIME	OSAN 1 AIKA
0	AUTO	EATRAX_TICKER_SCORED	Need for Speed™ Carboniin sävelletty musiikki
0	AUTO	MENU_POSTRACE_AVERAGE_SPEEDTRAP_SPEED	KESKINOPEUS TUTKISSA
0	AUTO	MENU_POSTRACE_TIME_BEHIND	KÄRJESTÄ JÄLJESSÄ
0	AUTO	HUD_FINISH_YOU_LOST	HÄVISIT!
0	AUTO	MENU_POSTRACE_TOLLBOOTH_LOSE	OLET LIIAN HIDAS!
0	AUTO	HUD_DRIFT_POINTS_LOST	MENETETYT PISTEET
0	AUTO	HUD_CANYON_COLLISION_BONUS	PUHDAS OSIO +%$d P
0	AUTO	MENU_CM_HIRE_NOT_ENOUGH_MONEY	Rahasi eivät riitä tämän hahmon värväämiseen!
0	AUTO	HUD_LAP	KIERROS
0	AUTO	MENU_POSTRACE_WINGMAN_FINISHED_FIRST	JENGISI JÄSEN VOITTI KISAN
0	AUTO	MENU_POSTRACE_WIN_NO_CREW	*VOITIT*
0	AUTO	HUD_SPEEDTRAP_PENALTY	NOPEUSRANGAISTUS
0	AUTO	MENU_PAUSE_JUMP_TO_SAFEHOUSE	PALAA TURVATALOON
0	AUTO	QR_GHOST_UPLOAD_ERROR	Virhe varjoautoa siirrettäessä.
0	AUTO	HUD_DRIFT_GOOD_DRIFT	HYVÄ DRIFTI
0	AUTO	HUD_COPDESTROYED_COPCROSS	CROSS^YHDISTELMÄPALKKIO: %$d
0	AUTO	HUD_COPDESTROYED_COPGHOST	SIVIILIPOLIISIAUTO^YHDISTELMÄPALKKIO: %$d
0	AUTO	HUD_DRIFT_AWESOME_DRIFT	MAHTAVA DRIFTI!
0	AUTO	HUD_DRIFT_BONUS_ZONE	BONUSALUE
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_CAREER	Haluatko varmasti siirtyä uravalikkoon?^Menetät tällöin kaiken saavuttamasi kisamenestyksen.
0	AUTO	HUD_FOLLOWING	PERÄSSÄ
0	AUTO	POST_RACE_EXIT	Poistu
0	AUTO	HUD_COPDESTROYED_COPGTO	OSAVALTION PARTIOAUTO^YHDISTELMÄPALKKIO: %$d
