#	Labrune - D:\Games\NFS Carbon\LANGUAGES\French_Frontend.bin
#	File created on: 2025-05-10 15:26:19
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*TRANSFORMATION VINYLE*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Eliminations
0	AUTO	MENU_CREW_LOGO	LOGO EQUIPE
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Ces pass sont de plusieurs natures : cash, sorties de prison gratuites, marques d'arrestation supplémentaires, ou même la carte grise de la voiture du boss que vous venez de battre.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Vous pourrez personnaliser votre voiture à l'extrême en fabriquant vous-même vos pièces Autosculpt™. Kits de carrosserie, roues, capots, spoilers, prises de toit... vous pourrez donner libre cours à vos envies. Mais ce n'est pas tout. Vous pourrez également appliquer des peintures spéciales, plusieurs couches de vinyle, des décalcos, et installer des améliorations mécaniques et créer ainsi l'identité de votre équipe Tuning, Muscle car ou Exotique.
0	AUTO	CHAL_COMPLETED	Terminé
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Créer un nouvel alias ? Si vous ne créez pas de nouvel alias, les changements seront perdus.
0	AUTO	CHAL_SELECT_CREW_MODE	Choisissez le mode de défi coopération
0	AUTO	CUST_PARTS_WHEELS_TITLE	*JANTES*
0	AUTO	MARKER_NAME_TRANSMISSION	Bonus exclusifs Transmission
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*PEINTURE VINYLE*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Vous n'avez pas assez d'argent pour acheter tous ces articles. Veuillez retirer des articles de votre panier.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finnois
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Permet d'ajouter des jauges perso exclusives sur la voiture de votre choix.
