#	Labrune - D:\Games\NFS Carbon\LANGUAGES\French_Global.bin
#	File created on: 2025-05-10 15:26:25
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Activation de l'équipier
0	AUTO	PART_PERF_NITROUS_1	Kit nitro "dry"
0	AUTO	PART_PERF_NITROUS_2	Kit de purge nitro
0	AUTO	PART_PERF_NITROUS_3	Bonbonne nitro 4,5 kg
0	AUTO	PART_PERF_NITROUS_4	Kit nitro "wet"
0	AUTO	PART_PERF_NITROUS_5	Chauffe-bonbonne nitro
0	AUTO	PART_PERF_NITROUS_6	Bonbonne nitro 7 kg
0	AUTO	PART_PERF_NITROUS_7	Kit nitro "port"
0	AUTO	PART_PERF_NITROUS_8	Contrôleur de pression nitro
0	AUTO	PART_PERF_NITROUS_9	Bonbonne nitro 9 kg
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Vinyle Inferno
0	AUTO	RCO_REWARD_003	Vinyle Rotor4
0	AUTO	RCO_REWARD_004	Jantes BBS RX
0	AUTO	RCO_REWARD_005	Vinyle Los Colibris
0	AUTO	RCO_REWARD_006	Jantes BBS CH
0	AUTO	RCO_REWARD_007	Jantes BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Vinyle Meuh !
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	POURSUITES
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Participations
0	AUTO	TIP_CREWS_HEADER	GESTION DES EQUIPES^
0	AUTO	PART_SPOILER_0	SERIE
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Cachette
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Supercontrôle illimité !
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Flou^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	SURVEILLANCE DE SECTEUR
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	INSIGNE
0	AUTO	VINYL_PART_LOGO_CUP	TROPHEE
0	AUTO	VINYL_PART_LOGO_RAM	BELIER
0	AUTO	VINYL_PART_LOGO_WMD	ROQUETTE
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Niveau d'XP en ligne atteint : %d ! Eléments débloqués : %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	PHENIX
0	AUTO	CUST_ROTATECAMERA	Rotation caméra
0	AUTO	VINYL_PART_NF_HUNGARY	HONGRIE
0	AUTO	SUBTITLES_DEMO_MOVIE_1	
0	AUTO	SUBTITLES_DEMO_MOVIE_2	
0	AUTO	SUBTITLES_DEMO_MOVIE_3	
0	AUTO	SUBTITLES_DEMO_MOVIE_4	
0	AUTO	SUBTITLES_DEMO_MOVIE_5	
0	AUTO	SUBTITLES_DEMO_MOVIE_6	
0	AUTO	SUBTITLES_DEMO_MOVIE_7	
0	AUTO	SUBTITLES_DEMO_MOVIE_8	
0	AUTO	SUBTITLES_DEMO_MOVIE_9	
0	AUTO	UNLOCKABLE_RHINO	Rhino débloqué en Course immédiate !
0	AUTO	WM_LEGEND_EVENT	Epreuve
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	La police de Palmont City vous a arrêté et a ajouté une marque d'arrestation à votre voiture. Vous pouvez payer vos amendes avec du cash ou avec une carte "Sortie de prison gratuite".
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*POURSUITE*
0	AUTO	ON_LOGIN_RETRIEVEPASS	MOT DE PASSE PERDU
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*CONQUIS*
0	AUTO	TIP_PURSUITS_HEADER	POURSUITES^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	COURSES DEFENSIVES
0	AUTO	HUD_FINISH_SIXTEEN	VOUS AVEZ FINI 16E
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Black Edition 1
0	AUTO	PART_COLLECTORS_EDITION_02	Black Edition 2
0	AUTO	PART_COLLECTORS_EDITION_03	Black Edition 3
0	AUTO	PART_HOOD_CF_1	BEAST FC
0	AUTO	PART_HOOD_CF_2	DOUBLE-V FC
0	AUTO	PART_HOOD_CF_3	TRI-SLOT FC
0	AUTO	PART_HOOD_CF_4	SPEED FC
0	AUTO	PART_HOOD_CF_5	G-FORCE FC
0	AUTO	PART_HOOD_CF_6	OVERDIAL FC
0	AUTO	PART_HOOD_CF_7	TRIDENT FC
0	AUTO	PART_HOOD_CF_8	SPEEDLINE FC
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE FC
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	Le système de sauvegarde automatique ne peut pas sauvegarder votre progression car le périphérique de stockage sélectionné a été remplacé ou retiré de manière intempestive. Souhaitez-vous conserver le système de sauvegarde automatique ?
0	AUTO	COMMON_ABBREV_FT	FT.
0	AUTO	COMMON_ABBREV_KG	KG
0	AUTO	TIP_ON_ONLINEXP_DESC	Augmentez votre niveau d'XP en ligne et débloquez des voitures et des bonus visuels inédits ! Chaque partie en ligne vous rapportera des points d'XP. Le nombre de points attribués dépend de vos performances. Au niveau 50, vous débloquez la Lotus Europa S !
0	AUTO	VINYL_PART_2T_997GT3RS	DEUX TONS
0	AUTO	CTRL_360_GUIDE	Xbox Guide
0	AUTO	VINYL_SPA_PART_VIRUS_CARBON_PLAGUE	CARBONO PLAGUE
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Carbon
0	AUTO	PERFORMANCE_TUNE_HELP_NITROUS	Le réglage de la nitro (vitesse ou durée) permet d'en contrôler l'utilisation. Si vous privilégiez la vitesse, la puissance supplémentaire sera plus importante mais de plus courte durée. Dans le cas contraire, l'effet est moindre mais durera plus longtemps.
0	AUTO	TIP_ON_CANYON_BASIC_DESC	Dans cette course disputée sur 2 manches, vous inscrivez vos points en suivant la voiture de tête.^Si un joueur tombe dans le canyon, la course est perdue.^Pour pimenter la course, le détecteur de collision est désactivé lors des Duels Canyon en ligne.
0	AUTO	VINYL_PART_AFTERMARKET_NOLOGY	NOLOGY
0	AUTO	VINYL_PART_LOGO_STEERING_WHEEL	VOLANT
0	AUTO	VINYL_PART_MANUFACTURER_MCLAREN	MCLAREN
0	AUTO	TIP_GAME_OVER_HEADER	FIN DE PARTIE^
0	AUTO	TIP_WORLDMAP_DESC	Tous les endroits indiqués sur votre carte sont accessibles. Vous pouvez par exemple aller voir les concessions, les planques prises aux autres équipes et les pistes sur lesquelles vous voulez courir. En explorant la ville, vous pouvez aller où bon vous semble, sauf si la police vous poursuit.
0	AUTO	AREA_NAME_001	San Juan
0	AUTO	AREA_NAME_002	Kempton
0	AUTO	AREA_NAME_003	Downtown
0	AUTO	AREA_NAME_004	Fortuna
0	AUTO	AREA_NAME_005	Silverton
0	AUTO	AREA_NAME_006	Canyon
0	AUTO	SMS_MESSAGE_062_SUBJECT	LES CATEGORIES DE VOITURES
0	AUTO	CART_ITEM_DESC_WINDOW_TINT	VITRES TEINTEES
0	AUTO	CARLIST_PRESET	PERSO
0	AUTO	HEADER_REWARD_CARD_GAINED	CARTES RECOMPENSE GAGNEES
0	AUTO	KB_BTN_DONE	Accepter
0	AUTO	PART_ROOF_18_CF_DUAL	TYPHOON FC DUAL
0	AUTO	VINYL_PART_2T_LANCEREVO9	DEUX TONS
0	AUTO	TIP_DYNAMIC_PURSUIT_BREAKERS_HEADER	STOPS POURSUITE DYNAMIQUES^
0	AUTO	TIP_GEOGRAPHIC_HEAT_DESC	Votre carte vous indique le niveau de présence policière dans chaque secteur. Si vous faites beaucoup de courses dans un quartier, c'est là que vous aurez le plus de chances de voir les flics débarquer, parfois au beau milieu d'une course. En dehors des courses, les flics y renforceront leurs effectifs. Pour faire retomber la Surveillance, évitez de courir dans cette zone pendant quelque temps.^
0	AUTO	VINYL_PART_MANUFACTURER_PORSCHE	PORSCHE
0	AUTO	PURSUIT_STAT_INFRACTIONS	Nombre d'infractions
0	AUTO	PART_ROOF_10_DUAL	BLASTBACK DUAL
0	AUTO	SMS_MESSAGE_010_SUBJECT	Besoin d'équipiers ?
0	AUTO	VINYL_PART_AFTERMARKET_BILSTEIN	BILSTEIN
0	AUTO	RC_NAME_001	Se faire un nom
0	AUTO	RC_NAME_002	Pilote de rodéo
0	AUTO	RC_NAME_003	Le chemin du succès
0	AUTO	RC_NAME_004	Un peu de cash
0	AUTO	RC_NAME_005	Un bon paquet
0	AUTO	RC_NAME_006	Fou de vitesse
0	AUTO	RC_NAME_007	Boulet de canon
0	AUTO	RC_NAME_008	De bonnes affaires
0	AUTO	RC_NAME_009	Vif comme l'éclair
0	AUTO	RC_NAME_010	Faites-vous repérer
0	AUTO	RC_NAME_011	Poudre d'escampette
0	AUTO	RC_NAME_012	Roi de l'évasion
0	AUTO	RC_NAME_013	Vandale
0	AUTO	RC_NAME_014	Sortie rapide
0	AUTO	RC_NAME_015	Sortie en 8 minutes
0	AUTO	RC_NAME_016	Sortie en 12 minutes
0	AUTO	RC_NAME_017	A la découverte des défis
0	AUTO	RC_NAME_018	Amateur de défis
0	AUTO	RC_NAME_019	Pro des défis
0	AUTO	RC_NAME_020	Roi des défis
0	AUTO	RC_NAME_021	400 mètres
0	AUTO	RC_NAME_022	Défense de fer
0	AUTO	RC_NAME_023	Bataille urbaine
0	AUTO	RC_NAME_024	Petit garage
0	AUTO	RC_NAME_025	Arcade niveau 1
0	AUTO	RC_NAME_026	Arcade niveau 2
0	AUTO	RC_NAME_027	Arcade niveau 3
0	AUTO	RC_NAME_028	Arcade niveau 4
0	AUTO	RC_NAME_029	Vous et vos rivaux
0	AUTO	RC_NAME_030	L'appât
0	AUTO	RC_NAME_031	Du sur-mesure
0	AUTO	RC_NAME_032	L'increvable
0	AUTO	RC_NAME_033	Maître du temps
0	AUTO	RC_NAME_034	Facture de 20 000
0	AUTO	RC_NAME_035	Drifteur débutant
0	AUTO	RC_NAME_036	Casseur avéré
0	AUTO	RC_NAME_037	Gros compte en banque
0	AUTO	RC_NAME_038	Partout chez vous
0	AUTO	RC_NAME_039	Conquérant du Canyon
0	AUTO	RC_NAME_040	Lot de consolation
0	AUTO	RC_NAME_041	Défenseur
0	AUTO	RC_NAME_042	Une carrière de nabab
0	AUTO	RC_NAME_043	Tôle froissée
0	AUTO	RC_NAME_044	Sans pitié
0	AUTO	RC_NAME_045	Sans jamais s'arrêter
0	AUTO	RC_NAME_046	Ennemi public n°1
0	AUTO	RC_NAME_047	50 pistes
0	AUTO	RC_NAME_048	85 pistes
0	AUTO	RC_NAME_049	Besoin de vitesse
0	AUTO	RC_NAME_050	Inarrêtable
0	AUTO	RC_NAME_051	Légende des rues
0	AUTO	RC_NAME_052	Intouchable
0	AUTO	RC_NAME_053	Magicien
0	AUTO	RC_NAME_054	Passe-partout
0	AUTO	RC_NAME_055	Gommes dures
0	AUTO	RC_NAME_056	Taureau de combat
0	AUTO	RC_NAME_057	Dérapage contrôlé
0	AUTO	RC_NAME_058	3 bagnoles
0	AUTO	RC_NAME_059	Prime de 20 000
0	AUTO	RC_NAME_060	Prime de 50 000
0	AUTO	RC_NAME_061	Chasseur de gros gibier
0	AUTO	RC_NAME_062	Médaille de bronze
0	AUTO	RC_NAME_063	Médaille d'argent
0	AUTO	RC_NAME_064	Médaille d'or
0	AUTO	RC_NAME_065	Un petit tour
0	AUTO	RC_NAME_066	Pneus intacts
0	AUTO	RC_NAME_067	De la gomme sur l'asphalte
0	AUTO	RC_NAME_068	5 bagnoles
0	AUTO	RC_NAME_069	Un garage bien rempli
0	AUTO	RC_NAME_070	Garage Muscle cars
0	AUTO	RC_NAME_071	Garage tuning
0	AUTO	RC_NAME_072	Garage exotique
0	AUTO	RC_NAME_073	Provocateur
0	AUTO	RC_NAME_074	Vente massive
0	AUTO	RC_NAME_075	Jamais à plat
0	AUTO	RC_NAME_076	Pro du Drift
0	AUTO	RC_NAME_077	Gros garage
0	AUTO	RC_NAME_078	8 bagnoles
0	AUTO	RC_NAME_079	Maître des Défis
0	AUTO	RC_NAME_080	Danger public
0	AUTO	RC_NAME_081	Le plus recherché de tous
0	AUTO	RC_NAME_082	Catastrophe ambulante
0	AUTO	RC_NAME_083	Le volant qui rend fou
0	AUTO	RC_NAME_084	Le territoire de Downtown
0	AUTO	RC_NAME_085	Numéro 1
0	AUTO	RC_NAME_086	Conquérant
0	AUTO	RC_NAME_087	Roi des rues
0	AUTO	RC_NAME_088	Pneus de titane
0	AUTO	RC_NAME_089	Combat urbain
0	AUTO	RC_NAME_090	Guérilla urbaine
0	AUTO	RC_NAME_091	Chamboule-tout
0	AUTO	RC_NAME_092	Jeu de massacre
0	AUTO	RC_NAME_093	Course Canyon
0	AUTO	RC_NAME_094	Une belle amende
0	AUTO	RC_NAME_095	Chef de bande
0	AUTO	RC_NAME_096	Collectionneur
0	AUTO	RC_NAME_097	Premiers exploits
0	AUTO	RC_NAME_098	100 000
0	AUTO	RC_NAME_099	Mauvais quart-d'heure
0	AUTO	RC_NAME_100	Roi du Drift
0	AUTO	RC_NAME_101	Tête-à-tête
0	AUTO	RC_NAME_102	Sprinteur
0	AUTO	RC_NAME_103	Au fond de l'enfer
0	AUTO	VINYL_PART_LOGO_SCORPION	SCORPION
0	AUTO	GAME_ACTION_SHIFTFOURTH	Quatrième
0	AUTO	ALL_CHARACTERS	à â ä è ë ê é ù ü û î ï ô ç œ æ Ç Œ Æ °
0	AUTO	CUST_VINYL_ROTATE	ROTATION
0	AUTO	HUDACTION_ENGAGE_EVENT	Participer à l'épreuve
0	AUTO	VINYL_PART_CAMOUFLAGE	CAMOUFLAGE 1
0	AUTO	UNLOCKABLE_INFINITE_CREW_CHARGE	Aide illimitée des équipiers !
0	AUTO	PART_ROOF_11_DUAL	AIRSTREAM DUAL
0	AUTO	WM_INFO_HEADER_RACE_LENGTH	Longueur
0	AUTO	CUST_PERFORM_INFO	Infos performances
0	AUTO	PART_ROOF_10_CF	BLASTBACK FC
0	AUTO	PART_ROOF_11_CF	AIRSTREAM FC
0	AUTO	PART_ROOF_14_CF	CYCLONE FC
0	AUTO	PART_ROOF_15_CF	TEMPEST FC
0	AUTO	PART_ROOF_17_CF	BACKDRAFT FC
0	AUTO	PART_ROOF_18_CF	TYPHOON FC
0	AUTO	VINYL_PART_AFTERMARKET_QUAIFE	QUAIFE
0	AUTO	DEBUG_UNLOCALIZED	UNLOCALIZED
0	AUTO	FMV_RACESKILLS_NAME_DRAFTER	ASPIRO
0	AUTO	SMS_MESSAGE_020_SUBJECT	Retrouve-moi à la Planque
0	AUTO	HUD_KNOCKED_OUT	VOUS AVEZ ETE ELIMINE !
0	AUTO	VINYL_PART_AFTERMARKET_CENTERLINE	CENTERLINE
0	AUTO	VINYL_PART_MANUFACTURER_DODGECLASSIC	DODGE
0	AUTO	SMS_TIPS	Astuces
0	AUTO	OL_RICH_PRESENCE_PROPERTY_RANKED	Classée
0	AUTO	VINYL_PART_AFTERMARKET_FIDANZA	FIDANZA
