#	Labrune - D:\Games\NFS Carbon\LANGUAGES\French_InGame.bin
#	File created on: 2025-05-10 15:26:29
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DISTANCE MOYENNE
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*SECTEUR CONQUIS*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Voulez-vous utiliser cette voiture pour débuter votre carrière ?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLLISION %$d PTS
0	AUTO	POSTRACE_CREW_INVITE	Invitation d'équipe
0	AUTO	HUD_YOUR_TIME	VOTRE TEMPS :
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	RETOUR MODE EXPLORATION
0	AUTO	HUD_SHIFT_PERFECT	Passage parfait !
0	AUTO	HUD_DRIFT_KEEP_MOVING	ENCORE UN EFFORT !
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	DEFI REUSSI
0	AUTO	HUD_WRNONG_WAY	MAUVAISE DIRECTION !
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT TERMINE
0	AUTO	QR_GHOST_UPLOAD	Bravo ! Vous figurez dans le top 3 pour cette piste ! Un Fantôme de votre parcours est en cours d'envoi vers les tableaux des scores du site NeedforSpeed.com (site en anglais). Les autres joueurs vont pouvoir vous défier !
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	ETAPE 1 SUR 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	UN SANS FAUTE !
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	RADARS
0	AUTO	SMS_FROM	De :
0	AUTO	SMS_TEXT	Texte
0	AUTO	HUD_DRIFT_POINTS_EARNED	PTS GAGNES
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s A GAGNE*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	VOITURE ADVERSE HS !
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	PERDU
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Voulez-vous aller à la Concession ?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	En attente des adversaires :
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Vous avez battu le meilleur score du circuit !
0	AUTO	OL_NEW_GHOST	NOUVEAU FANTOME
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Revenir au mode Exploration ?^Toute progression sera perdue.
0	AUTO	HUD_COPDESTROYED_COPSUVL	PRIME COMBO^PETIT 4x4 : %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Allez à la Planque
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Voir pts de passage
0	AUTO	HUD_CANYON_RATING_0	VITE !
0	AUTO	HUD_CANYON_RATING_1	LENT
0	AUTO	HUD_CANYON_RATING_2	MOYEN
0	AUTO	HUD_CANYON_RATING_3	BIEN !
0	AUTO	HUD_CANYON_RATING_4	JOLI !
0	AUTO	HUD_CANYON_RATING_5	EXCELLENT !
0	AUTO	HUD_SHIFT_EARLY	Sous-régime !
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*ETAPES*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	COLLISIONS DANS LE TRAFIC
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Voir tours
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	DEBUT DE LA ZONE DE SCORE !
0	AUTO	MENU_POSTRACE_REP_REWARD	Récompense réputation
0	AUTO	HUD_SHIFT_GOOD	Bon passage !
0	AUTO	HUD_DRIFT_GREAT_DRIFT	BEAU DRIFT !
0	AUTO	MENU_POSTRACE_CASH_REWARD	Récompense cash
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*DEFI D'UN RIVAL*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	En attente des résultats
0	AUTO	HUD_DRIFT_NICE_DRIFT	JOLI DRIFT !
0	AUTO	OL_SAVE_GHOST	VOITURE FANTÔME
0	AUTO	MENU_PAUSE_WORLD_MAP	CARTE
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	CONNEXION GPS PERDUE^RECONNEXION EN COURS...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Battez le score de votre adversaire
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	ADVERSAIRE DEPASSE !
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	ESSAI TERMINE
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	CARTE RECOMPENSE DEBLOQUEE !
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Voir résumé
0	AUTO	HUD_CHECKPOINT	PT DE PASSAGE
0	AUTO	HUD_BOUNTY	PRIME 
0	AUTO	MENU_POSTRACE_WIN	*VOTRE EQUIPE A GAGNE*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	BIEN JOUE !
0	AUTO	HUD_TUTORIAL_PRESS_NOW	ACTIVER^Appuyez sur le bouton "Activer Equipier"
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*CONTRE-LA-MONTRE*
0	AUTO	HUD_DRIFT_RACE_OVER	COURSE FINIE !
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Voulez-vous vraiment recommencer la course ?^Toute progression sera perdue.
0	AUTO	HUD_SPEEDTRAP	RADAR
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	On vient de vous lancer un défi ! Indiquez la ligne d'arrivée. Le premier là-bas gagne la course.
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	REPRENDRE MODE EXPLORATION
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*TERMINE*
0	AUTO	MENU_PAUSE_TITLE	*PAUSE*
0	AUTO	HUD_IMMUNE	INTOUCHABLE
0	AUTO	MENU_POSTRACE_POSITION	POSITION
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	PRIME COMBO^VEHICULE BANALISE (FEDERAUX) : %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	PRIME COMBO^VEHICULE DE POURSUITE (FEDERAUX) : %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	Vous n'avez pas échappé à Cross.
0	AUTO	SMS_CONFIRM_DELETE	Voulez-vous vraiment effacer ce message SMS ?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Retour au salon de jeu dans :
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	TROP LENT !
0	AUTO	HUD_COMPLETE	TERMINE
0	AUTO	HUD_PASSED	ON VOUS DEPASSE !
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	Cartes Récompense gagnées :
0	AUTO	COP_ESCAPE_DONE	POURSUITE TERMINEE !
0	AUTO	HUD_GO	ALLEZ !
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	ON VOUS A DEPASSE !
0	AUTO	HUD_SPLIT_SCORE	SCORE INTERMEDIAIRE :
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	PRIME COMBO^VEHICULE BANALISE (POLICE D'ETAT) : %$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	Voulez-vous activer le guidage GPS jusqu'à la Planque ?
0	AUTO	POST_RACE_RACER_PROFILE	PROFIL PILOTE APRES COURSE
0	AUTO	HUD_NEXT_CHECKPOINT	PROCHAIN POINT DE PASSAGE :
0	AUTO	MENU_POSTRACE_SPEEDTRAPS_TITLE	*RADARS*
0	AUTO	TITLE_DEFENCE_RACE	*COURSE DEFENSIVE*
0	AUTO	SMS_SUBJECT	Sujet :
0	AUTO	MENU_POSTRACE_BEST_SPEEDTRAP_SPEED	VITESSE RADAR MAXI
0	AUTO	HUD_DRIFT_SPUN_OUT	TETE A QUEUE !
0	AUTO	SMS_MAILBOX	*MESSAGERIE*
0	AUTO	HUD_DRIFT_AMAZING_DRIFT	SUPERBE DRIFT !
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_ONE	VOUS PASSEZ DEVANT !
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_TWO	VOUS PRENEZ DE L'AVANCE !
0	AUTO	MENU_POSTRACE_STILL_RACING	En course
0	AUTO	MENU_POSTRACE_LEG_ONE_TIME	TEMPS ETAPE 1
0	AUTO	EATRAX_TICKER_SCORED	Musique spécifique Need for Speed™ Carbon
0	AUTO	MENU_POSTRACE_AVERAGE_SPEEDTRAP_SPEED	VITESSE RADAR MOY.
0	AUTO	MENU_POSTRACE_TIME_BEHIND	RETARD
0	AUTO	HUD_FINISH_YOU_LOST	PERDU !
0	AUTO	MENU_POSTRACE_TOLLBOOTH_LOSE	TROP LENT !
0	AUTO	HUD_DRIFT_POINTS_LOST	PTS PERDUS
0	AUTO	HUD_CANYON_COLLISION_BONUS	BONUS +%$d PTS
0	AUTO	MENU_CM_HIRE_NOT_ENOUGH_MONEY	Vous n'avez pas assez de cash pour engager cet équipier !
0	AUTO	HUD_LAP	TOUR
0	AUTO	MENU_POSTRACE_WINGMAN_FINISHED_FIRST	EQUIPIER VAINQUEUR
0	AUTO	MENU_POSTRACE_WIN_NO_CREW	*VOUS AVEZ GAGNE*
0	AUTO	HUD_SPEEDTRAP_PENALTY	PENALITE VITESSE
0	AUTO	MENU_PAUSE_JUMP_TO_SAFEHOUSE	ALLER A LA PLANQUE
