#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Hungarian_Global.bin
#	File created on: 2025-05-10 15:27:32
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Csapattárs aktiválása
0	AUTO	PART_PERF_NITROUS_1	Szárazlövéses Nitrókészlet
0	AUTO	PART_PERF_NITROUS_2	Nitrós tisztítókészlet
0	AUTO	PART_PERF_NITROUS_3	10 fontos Nitrópalack
0	AUTO	PART_PERF_NITROUS_4	Nedveslövéses nitrókészlet
0	AUTO	PART_PERF_NITROUS_5	Nitrópalack-melegítő
0	AUTO	PART_PERF_NITROUS_6	15 fontos Nitrópalack
0	AUTO	PART_PERF_NITROUS_7	Közvetlen portos nitrókészlet
0	AUTO	PART_PERF_NITROUS_8	Nitrónyomás-szabályzó
0	AUTO	PART_PERF_NITROUS_9	20 fontos Nitrópalack
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno fólia
0	AUTO	RCO_REWARD_003	Rotor4 fólia
0	AUTO	RCO_REWARD_004	BBS RX kerekek
0	AUTO	RCO_REWARD_005	Los Colibris fólia
0	AUTO	RCO_REWARD_006	BBS CH kerekek
0	AUTO	RCO_REWARD_007	BBS LM kerekek
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Múúú! Fólia
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	ÜLDÖZÉSEK
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Nagyítás
0	AUTO	STAT_NUM_TIMES_RACED	Játékok
0	AUTO	TIP_CREWS_HEADER	CSAPATOK MENEDZSELÉSE^
0	AUTO	PART_SPOILER_0	Raktárkészlet
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Búvóhely
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Végtelen időlassítás!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Elmosódott mozgás^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	TERÜLETEK HÍRHEDTSÉGE
0	AUTO	VINYL_PART_LOGO_CAR	TURBÓ
0	AUTO	VINYL_PART_LOGO_COP	PAJZS
0	AUTO	VINYL_PART_LOGO_CUP	TRÓFEA
0	AUTO	VINYL_PART_LOGO_RAM	KOS
0	AUTO	VINYL_PART_LOGO_WMD	RAKÉTA
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Elérted a(z) %d. online TP szintet! Elérhetővé vált: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FŐNIX
0	AUTO	CUST_ROTATECAMERA	Kamera forgatása
0	AUTO	VINYL_PART_NF_HUNGARY	MAGYARORSZÁG
0	AUTO	SUBTITLES_DEMO_MOVIE_1	Nem hittem volna, hogy megint idetolod a képed.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Megváltoztak a dolgok errefelé.^A környék harcmező lett.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Tuningoltak,
0	AUTO	SUBTITLES_DEMO_MOVIE_4	Izomautók,
0	AUTO	SUBTITLES_DEMO_MOVIE_5	Egzotikumok.
0	AUTO	SUBTITLES_DEMO_MOVIE_6	A városban csapatok küzdenek a területért.
