#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Hungarian_InGame.bin
#	File created on: 2025-05-10 15:27:37
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	ÁTL. HOSSZ
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*TERÜLET MEGHÓDÍTVA*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Ezzel a kocsival szeretnéd elkezdeni a Karrieredet?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	ÜTKÖZÉS %$d PONT
0	AUTO	POSTRACE_CREW_INVITE	Csapatmeghívás
0	AUTO	HUD_YOUR_TIME	AZ IDŐD:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	KILÉPÉS A SZABAD KÓBORLÁSHOZ
0	AUTO	HUD_SHIFT_PERFECT	TÖKÉLETES VÁLTÁS!
0	AUTO	HUD_DRIFT_KEEP_MOVING	MOZGÁS!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	MÉRFÖLDKŐHÖZ ÉRTÉL
0	AUTO	HUD_WRNONG_WAY	ROSSZ IRÁNY!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	CSÚSZÁS VÉGE
0	AUTO	QR_GHOST_UPLOAD	Gratulálunk! A 3 legjobb idő egyike a tiéd a pályán! Egy Edzőautót töltünk fel teljesítményedről a NeedforSpeed.com oldalra, mely kihívásul szolgál majd a többieknek!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	1/2 LÉPCSŐ
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	KIVÁLÓ INDÍTÁS!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	TRAFFIPAXOK
0	AUTO	SMS_FROM	Küldő:
0	AUTO	SMS_TEXT	Szöveg
0	AUTO	HUD_DRIFT_POINTS_EARNED	PONT
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s GYŐZÖTT*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	AZ ELLENFÉL ÖSSZETÖRT!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	VESZTETTÉL
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Biztosan be akarsz menni az Autókereskedésbe?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Várakozás az ellenfelekre:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Tiéd a legmagasabb pontszám a pályán!
0	AUTO	OL_NEW_GHOST	ÚJ EDZŐAUTÓ
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Biztos, hogy ki akarsz lépni Szabad Kóborlásba? ^Minden versenyeredményed elveszik.
0	AUTO	HUD_COPDESTROYED_COPSUVL	KÖNNYŰ TEREPJÁRÓ^KOMBÓ VÉRDÍJ: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Ugrás a Rjetekhelyre
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Ellenőrzőpontok
0	AUTO	HUD_CANYON_RATING_0	SIESS!
0	AUTO	HUD_CANYON_RATING_1	LASSÚ
0	AUTO	HUD_CANYON_RATING_2	ÁTLAGOS
0	AUTO	HUD_CANYON_RATING_3	JÓ!
0	AUTO	HUD_CANYON_RATING_4	NAGYSZERŰ!
0	AUTO	HUD_CANYON_RATING_5	FANTASZTIKUS!
0	AUTO	HUD_SHIFT_EARLY	KORAI VÁLTÁS!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*SZAKASZOK*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	ÜTKÖZÉSEK A FORGALOMBAN
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Körök
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	KEZDŐDIK A PONTOZÓKÖRZET!
0	AUTO	MENU_POSTRACE_REP_REWARD	Hírnévjutalom
0	AUTO	HUD_SHIFT_GOOD	JÓ VÁLTÁS!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	KIVÁLÓ DRIFT
0	AUTO	MENU_POSTRACE_CASH_REWARD	Pénzjutalom
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*VÉLETLEN TALÁLKOZÁS*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	Várakozás a végeredményekre
0	AUTO	HUD_DRIFT_NICE_DRIFT	SZÉP DRIFT
0	AUTO	OL_SAVE_GHOST	EDZŐAUTÓ
0	AUTO	MENU_PAUSE_WORLD_MAP	TÉRKÉP
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS KAPCSOLAT MEGSZAKADT^ÚJRACSATLAKOZÁS...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Érj el az ellenfélnél magasabb pontszámot
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	ELLENFÉL LEHAGYVA!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	TESZTVEZETÉS BEFEJEZVE
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	JUTALOMKÁRTYA FELOLDVA
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Összegzés
0	AUTO	HUD_CHECKPOINT	ELLENŐRZŐPONT
0	AUTO	HUD_BOUNTY	VÉRDÍJ
0	AUTO	MENU_POSTRACE_WIN	*A CSAPATOD NYERT*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	REMEKÜL CSINÁLTAD!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	CSAPATTÁRS AKTIVÁLÁSA^Nyomd Meg A Csapattárs Aktiválása Gombot!
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*ELLENŐRZŐPONT*
0	AUTO	HUD_DRIFT_RACE_OVER	VÉGE A VERSENYNEK!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Biztos, hogy újra akarod indítani a versenyt? ^Minden versenyeredményed elveszik.
0	AUTO	HUD_SPEEDTRAP	TRAFFIPAX
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	Versenyre hívott ki egy rivális Csapat!^^Válassz ki egy célvonalat. Aki előbb odaér, nyer.
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	VISSZA A SZABAD KÓBORLÁSHOZ
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*TELJESÍTVE*
0	AUTO	MENU_PAUSE_TITLE	*SZÜNET*
0	AUTO	HUD_IMMUNE	VÉDETT
0	AUTO	MENU_POSTRACE_POSITION	POZÍCIÓ
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	ÁLCÁZOTT SZÖVETSÉGI JÁRŐR^KOMBÓ VÉRDÍJ: %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	SZÖVETSÉGI JÁRŐR^KOMBÓ VÉRDÍJ: %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	Nem tudtál meglógni Cross elől
0	AUTO	SMS_CONFIRM_DELETE	Biztosan törölni akarod ezt az SMS-t?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Visszatérés a játékszobába:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	TÚL LASSÚ!
