#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Italian_Frontend.bin
#	File created on: 2025-05-10 15:27:45
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*TRASFORMAZIONE AEROGRAFIA*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Eliminazioni
0	AUTO	MENU_CREW_LOGO	LOGO SQUADRA
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Questi segnalatori includono bonus in contanti, permessi per uscire di galera, multe per sequestro extra e il libretto di circolazione dell'auto dell'avversario sconfitto.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ ti permette di personalizzare la tua auto fabbricando i tuoi pezzi di ricambio. Puoi modificare kit carrozzeria, cerchioni, cofano, alettoni e prese d'aria per creare esattamente l'effetto che desideri. La personalizzazione non si ferma qui. Puoi scegliere vernici personalizzate, aggiungere decorazioni e aerografie e installare altri pezzi di ricambio fino a creare una modificata, una muscle o un'importata dall'identità unica.
0	AUTO	CHAL_COMPLETED	Completato
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Creare un nuovo alias? Se non crei un nuovo alias, tutte le modifiche potrebbero andare perdute.
0	AUTO	CHAL_SELECT_CREW_MODE	Seleziona modalità Sfida di squadra
0	AUTO	CUST_PARTS_WHEELS_TITLE	*RUOTE*
0	AUTO	MARKER_NAME_TRANSMISSION	Potenziamenti speciali trasmissione
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*VERNICE AEROGRAFIA*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Non hai abbastanza denaro per acquistare tutti questi componenti. Rimuovine alcuni dal carrello.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finlandese
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Un potenziamento per gli indicatori personalizzati speciale per tutte le tue auto.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Un potenziamento per l'N2O speciale per tutte le tue auto.
0	AUTO	STAT_PERC_AS_POLICE	%% come poliziotto
0	AUTO	HELP_RACE	Gara
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Devi vincere 5 gare in modalità Carriera
0	AUTO	CHAL_SOLO_CHALLENGE	Sfida in solitario
0	AUTO	MENU_MAIN_TITLE_CAREER	*CARRIERA*
0	AUTO	STAT_NUM_TIMES_BUSTED	Numero di fermi
