#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Italian_Global.bin
#	File created on: 2025-05-10 15:27:50
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Attiva membro della squadra
0	AUTO	PART_PERF_NITROUS_1	Kit N2O Dry Shot
0	AUTO	PART_PERF_NITROUS_2	Kit N2O Purge
0	AUTO	PART_PERF_NITROUS_3	Bombola N2O da 5 kg
0	AUTO	PART_PERF_NITROUS_4	Kit N2O Wet Shot
0	AUTO	PART_PERF_NITROUS_5	Radiatore bottiglia N2O
0	AUTO	PART_PERF_NITROUS_6	Bombola N2O da 7 kg
0	AUTO	PART_PERF_NITROUS_7	Kit N2O Direct Port
0	AUTO	PART_PERF_NITROUS_8	Controllo pressione N2O
0	AUTO	PART_PERF_NITROUS_9	Bombola N2O da 9 kg
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Aerografia Inferno
0	AUTO	RCO_REWARD_003	Aerografia Rotor4
0	AUTO	RCO_REWARD_004	Cerchioni BBS RX
0	AUTO	RCO_REWARD_005	Aerografia Los Colibris
0	AUTO	RCO_REWARD_006	Cerchioni BBS CH
0	AUTO	RCO_REWARD_007	Cerchioni BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Aerografia Mooo!
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	INSEGUIMENTI
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Gare effettuate
0	AUTO	TIP_CREWS_HEADER	GESTIONE AUTO^
0	AUTO	PART_SPOILER_0	SERIE
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Nascondiglio
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Tempo rallentato infinito!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Motion blur
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	PRIORITÀ ZONA
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SCUDO
0	AUTO	VINYL_PART_LOGO_CUP	TROFEO
0	AUTO	VINYL_PART_LOGO_RAM	ARIETE
0	AUTO	VINYL_PART_LOGO_WMD	RAZZO
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Livello esperienza online %d raggiunto! Hai sbloccato: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FENICE
0	AUTO	CUST_ROTATECAMERA	Ruota telecamera
0	AUTO	VINYL_PART_NF_HUNGARY	UNGHERIA
0	AUTO	SUBTITLES_DEMO_MOVIE_1	
0	AUTO	SUBTITLES_DEMO_MOVIE_2	
0	AUTO	SUBTITLES_DEMO_MOVIE_3	
0	AUTO	SUBTITLES_DEMO_MOVIE_4	
0	AUTO	SUBTITLES_DEMO_MOVIE_5	
0	AUTO	SUBTITLES_DEMO_MOVIE_6	
0	AUTO	SUBTITLES_DEMO_MOVIE_7	
0	AUTO	SUBTITLES_DEMO_MOVIE_8	
0	AUTO	SUBTITLES_DEMO_MOVIE_9	
0	AUTO	UNLOCKABLE_RHINO	Unità Rhino sbloccata per gara veloce!
0	AUTO	WM_LEGEND_EVENT	Evento
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Sei stato arrestato dal dipartimento di polizia di Palmont City e la tua auto è stata multata per sequestro. Puoi scegliere di pagare la multa o di utilizzare una card Esci di galera.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*INSEGUIMENTO*
0	AUTO	ON_LOGIN_RETRIEVEPASS	PASSWORD PERSA
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*CONQUISTATO*
0	AUTO	TIP_PURSUITS_HEADER	INSEGUIMENTI^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	GARE DIFENSIVE
0	AUTO	HUD_FINISH_SIXTEEN	SEI ARRIVATO SEDICESIMO
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Black Edition 1
0	AUTO	PART_COLLECTORS_EDITION_02	Black Edition 2
0	AUTO	PART_COLLECTORS_EDITION_03	Black Edition 3
0	AUTO	PART_HOOD_CF_1	BEAST FC
0	AUTO	PART_HOOD_CF_2	DOUBLE-V FC
0	AUTO	PART_HOOD_CF_3	TRI-SLOT FC
0	AUTO	PART_HOOD_CF_4	SPEED FC
0	AUTO	PART_HOOD_CF_5	G-FORCE FC
0	AUTO	PART_HOOD_CF_6	OVERDIAL FC
0	AUTO	PART_HOOD_CF_7	TRIDENT FC
0	AUTO	PART_HOOD_CF_8	SPEEDLINE FC
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE FC
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	La funzione di autosalvataggio non può salvare i tuoi progressi. La periferica di memorizzazione selezionata è stata rimossa o sostituita. Vuoi continuare con la funzione di autosalvataggio attivata?
0	AUTO	COMMON_ABBREV_FT	FT
0	AUTO	COMMON_ABBREV_KG	KG
0	AUTO	TIP_ON_ONLINEXP_DESC	Aumenta la tua esperienza online per sbloccare vetture e potenziamenti! Giocando online in ogni modalità otterrai punti esperienza. Più è alta la tua posizione, più esperienza online guadagnerai. Raggiungi il livello 50 per sbloccare la Lotus Europa S!
0	AUTO	VINYL_PART_2T_997GT3RS	DUE STRATI
0	AUTO	CTRL_360_GUIDE	Guida Xbox
