#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Italian_InGame.bin
#	File created on: 2025-05-10 15:27:57
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	LUNGHEZZA MEDIA
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*AREA CONQUISTATA*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Vuoi usare questa auto per iniziare la tua carriera?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLLISIONE %$d PTI
0	AUTO	POSTRACE_CREW_INVITE	Invito squadra
0	AUTO	HUD_YOUR_TIME	IL TUO TEMPO:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	TORNA ALLA MODALITÀ ESPLORA
0	AUTO	HUD_SHIFT_PERFECT	CAMBIO PERFETTO!
0	AUTO	HUD_DRIFT_KEEP_MOVING	CONTINUA A CORRERE!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	PIETRA MILIARE OTTENUTA
0	AUTO	HUD_WRNONG_WAY	CONTROMANO!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	FINE DERAPATA
0	AUTO	QR_GHOST_UPLOAD	Congratulazioni, sei entrato nella Top 3 mondiale per questo tracciato! L'Ombra della tua prestazione sta per essere inviata alla classifica di NeedforSpeed.com perché altri giocatori possano sfidarla!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	FASE 1 DI 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	ENTRATA PERFETTA!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	AUTOVELOX
0	AUTO	SMS_FROM	DA:
0	AUTO	SMS_TEXT	Testo
0	AUTO	HUD_DRIFT_POINTS_EARNED	PTI GUADAGNATI
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s - VITTORIA*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	AVVERSARIO DISTRUTTO!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	HAI PERSO
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Sei sicuro di voler entrare nel concessionario?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	In attesa di avversari:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Hai battuto il miglior punteggio di questo tracciato!
0	AUTO	OL_NEW_GHOST	NUOVA OMBRA
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Sei sicuro di voler tornare alla modalità Esplora?^Tutti i progressi di gara andranno perduti.
0	AUTO	HUD_COPDESTROYED_COPSUVL	SUV LEGGERO^TAGLIA TOTALE: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Vai alla base
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Vedi checkpoint
0	AUTO	HUD_CANYON_RATING_0	VELOCE!
0	AUTO	HUD_CANYON_RATING_1	LENTO
0	AUTO	HUD_CANYON_RATING_2	MEDIO
0	AUTO	HUD_CANYON_RATING_3	BUONO!
0	AUTO	HUD_CANYON_RATING_4	OTTIMO!
0	AUTO	HUD_CANYON_RATING_5	STRAORDINARIO!
0	AUTO	HUD_SHIFT_EARLY	CAMBIO ANTICIPATO!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*FASI*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	COLLISIONI IN PISTA
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Visualizza giri
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	INIZIO ZONA PUNTI!
0	AUTO	MENU_POSTRACE_REP_REWARD	Premio reputazione
0	AUTO	HUD_SHIFT_GOOD	BUON CAMBIO!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	OTTIMA DERAPATA
0	AUTO	MENU_POSTRACE_CASH_REWARD	Premio in contanti
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*SFIDA BANDA*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	In attesa dei risultati finali
0	AUTO	HUD_DRIFT_NICE_DRIFT	BELLA DERAPATA
0	AUTO	OL_SAVE_GHOST	AUTO OMBRA
0	AUTO	MENU_PAUSE_WORLD_MAP	MAPPA GENERALE
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	CONNESSIONE GPS PERSA^RICONNESSIONE IN CORSO...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Hai battuto il punteggio dei tuoi avversari
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	AVVERSARIO SORPASSATO!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	PROVA DI GUIDA COMPLETATA
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	CARD PREMIO SBLOCCATA!
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Visualizza sommario
0	AUTO	HUD_CHECKPOINT	CHECKPOINT
0	AUTO	HUD_BOUNTY	TAGLIA
0	AUTO	MENU_POSTRACE_WIN	*LA TUA SQUADRA HA VINTO*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	BEL LAVORO!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	ATTIVA ORA^Premi "Attiva gregario"
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*CHECKPOINT*
0	AUTO	HUD_DRIFT_RACE_OVER	GARA FINITA!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Sei sicuro di voler riavviare la gara?^Tutti i progressi di gara andranno perduti.
0	AUTO	HUD_SPEEDTRAP	AUTOVELOX
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	Sei stato sfidato a gareggiare da una squadra rivale! Scegli il traguardo. Il primo a raggiungerlo vince.
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	RIPRENDI MODALITÀ ESPLORA
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*COMPLETATA*
0	AUTO	MENU_PAUSE_TITLE	*PAUSA*
0	AUTO	HUD_IMMUNE	IMMUNE
0	AUTO	MENU_POSTRACE_POSITION	POSIZIONE
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	POLIZIA FEDERALE IN BORGHESE^TAGLIA TOTALE: %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	POLIZIA FEDERALE^TAGLIA TOTALE: %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	Non sei riuscito a fuggire da Cross.
0	AUTO	SMS_CONFIRM_DELETE	Sei sicuro di voler cancellare questo SMS?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Torna alla stanza di gioco in:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	TROPPO LENTO!
0	AUTO	HUD_COMPLETE	COMPLETATA
0	AUTO	HUD_PASSED	SUPERATO!
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	Card premio vinte:
0	AUTO	COP_ESCAPE_DONE	SEMINATI!
0	AUTO	HUD_GO	VIA!
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	SORPASSATO!
0	AUTO	HUD_SPLIT_SCORE	PUNTEGGIO SPLIT:
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	POLIZIA STATALE IN BORGHESE^TAGLIA TOTALE: %$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	Vuoi usare il GPS per raggiungere la base?
0	AUTO	POST_RACE_RACER_PROFILE	PROFILO PILOTA
0	AUTO	HUD_NEXT_CHECKPOINT	PROSSIMO CHECKPOINT:
0	AUTO	MENU_POSTRACE_SPEEDTRAPS_TITLE	*AUTOVELOX*
0	AUTO	TITLE_DEFENCE_RACE	*GARA DIFENSIVA*
0	AUTO	SMS_SUBJECT	OGGETTO:
0	AUTO	MENU_POSTRACE_BEST_SPEEDTRAP_SPEED	VELOCITÀ MASSIMA ALL'AUTOVELOX
0	AUTO	HUD_DRIFT_SPUN_OUT	TESTACODA!
0	AUTO	SMS_MAILBOX	*CASELLA DI POSTA*
0	AUTO	HUD_DRIFT_AMAZING_DRIFT	DERAPATA SPLENDIDA!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_ONE	AVVERSARIO SUPERATO!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_TWO	PRENDI VANTAGGIO!
0	AUTO	MENU_POSTRACE_STILL_RACING	Ancora in gara
0	AUTO	MENU_POSTRACE_LEG_ONE_TIME	TEMPO FASE 1
0	AUTO	EATRAX_TICKER_SCORED	Musica di Need for Speed™ Carbon
0	AUTO	MENU_POSTRACE_AVERAGE_SPEEDTRAP_SPEED	VELOCITÀ MEDIA ALL'AUTOVELOX
0	AUTO	MENU_POSTRACE_TIME_BEHIND	RITARDO
0	AUTO	HUD_FINISH_YOU_LOST	HAI PERSO!
0	AUTO	MENU_POSTRACE_TOLLBOOTH_LOSE	TROPPO LENTO!
0	AUTO	HUD_DRIFT_POINTS_LOST	PTI PERSI
0	AUTO	HUD_CANYON_COLLISION_BONUS	SEZIONE PULITA + %$d PTI
0	AUTO	MENU_CM_HIRE_NOT_ENOUGH_MONEY	Non hai abbastanza soldi per reclutare questo membro della squadra!
