#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Japanese_Frontend.bin
#	File created on: 2025-05-15 19:00:43
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*バイナルカスタマイズ*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	KO
0	AUTO	MENU_CREW_LOGO	チームロゴ
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	このマーカーには、^キャッシュボーナス、逮捕免除、^違反点数上限UP、ボスマシン^が含まれています。
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ の機能を使えば、^自分のマシンを自由にカスタマイズすることができます。^ボディキット、ホイール、ボンネット、スポイラー、ルーフスクープに手を加えて^お望みの外見に仕上げてください。^さらに、カスタムペイント、カスタマイズ可能なバイナル/デカール、^パフォーマンスパーツを組み合わせて完全オリジナルのマシンを作成可能です。
0	AUTO	CHAL_COMPLETED	クリア
0	AUTO	MC_CONFIRM_CREATE_PROFILE	新しいプロフィールを作成しますか？^作成しない場合は変更内容が失われます。
0	AUTO	CHAL_SELECT_CREW_MODE	コープチャレンジのモードを選択する
0	AUTO	CUST_PARTS_WHEELS_TITLE	*ホイール*
0	AUTO	MARKER_NAME_TRANSMISSION	トランスミッションアップグレード
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*バイナルペイント*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	このパーツすべてを購入するだけのキャッシュを持っていません。^カートからアイテムを削除してください。
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	フィンランド語
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	全マシン対応の^カスタムメーターアップグレード。
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	全マシン対応のニトロアップグレード。
0	AUTO	STAT_PERC_AS_POLICE	追跡
0	AUTO	HELP_RACE	バトル
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	シナリオのバトルで 5 勝を上げる。
0	AUTO	CHAL_SOLO_CHALLENGE	ソロチャレンジ
0	AUTO	MENU_MAIN_TITLE_CAREER	*シナリオ*
0	AUTO	STAT_NUM_TIMES_BUSTED	逮捕された回数
0	AUTO	CUST_PARTS_WHEELS	ホイール
