#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Japanese_Global.bin
#	File created on: 2025-05-15 19:01:02
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	チームメンバー指示
0	AUTO	PART_PERF_NITROUS_1	ドライショット^ニトロキット
0	AUTO	PART_PERF_NITROUS_2	N2Oパージキット
0	AUTO	PART_PERF_NITROUS_3	ニトロボトル^10 ポンド
0	AUTO	PART_PERF_NITROUS_4	ウェットショット^ニトロキット
0	AUTO	PART_PERF_NITROUS_5	ニトロボトルヒーター
0	AUTO	PART_PERF_NITROUS_6	ニトロボトル^15 ポンド
0	AUTO	PART_PERF_NITROUS_7	ダイレクトショット^ニトロキット
0	AUTO	PART_PERF_NITROUS_8	ニトロ^噴圧制御システム
0	AUTO	PART_PERF_NITROUS_9	ニトロボトル^20 ポンド
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno バイナル
0	AUTO	RCO_REWARD_003	Rotor4 バイナル
0	AUTO	RCO_REWARD_004	BBS RX ホイール
0	AUTO	RCO_REWARD_005	Los Colibris バイナル
0	AUTO	RCO_REWARD_006	BBS CH ホイール
0	AUTO	RCO_REWARD_007	BBS LM ホイール
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Mooo! バイナル
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	警察の追跡
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	ズーム
0	AUTO	STAT_NUM_TIMES_RACED	バトル回数
0	AUTO	TIP_CREWS_HEADER	チームの統括
0	AUTO	PART_SPOILER_0	純正
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	セーフスポット
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	スピードブレイカー無限！
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	モーションブラー
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	エリアヒート
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SHIELD
0	AUTO	VINYL_PART_LOGO_CUP	TROPHY
0	AUTO	VINYL_PART_LOGO_RAM	RAM
