#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Japanese_InGame.bin
#	File created on: 2025-05-15 19:01:09
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	平均距離
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*支配エリア*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	このマシンでシナリオを開始しますか？
0	AUTO	HUD_CANYON_COLLISION_PENALTY	接触 %$d ポイント
0	AUTO	POSTRACE_CREW_INVITE	チームへの招待
0	AUTO	HUD_YOUR_TIME	タイム：
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	フリーランに戻る
0	AUTO	HUD_SHIFT_PERFECT	パーフェクト！
0	AUTO	HUD_DRIFT_KEEP_MOVING	トロトロするな！
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	マイルストン達成
0	AUTO	HUD_WRNONG_WAY	逆走！
0	AUTO	HUD_DRIFT_DRIFT_ENDED	ドリフト終了
0	AUTO	QR_GHOST_UPLOAD	本コースの記録トップ3にランクインしました。^記録のゴーストデータを NeedforSpeed.com のスコアボードに^アップロードしています。
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	ステージ 1 をクリア
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	パーフェクトエントリー！
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	スピードトラップ
0	AUTO	SMS_FROM	差出人：
0	AUTO	SMS_TEXT	テキスト
0	AUTO	HUD_DRIFT_POINTS_EARNED	ポイント獲得
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s 勝利*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	ライバルがクラッシュ！
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	YOU LOST
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	カーディーラーに入りますか？
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	他の対戦相手を待っています：
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	このコースのハイスコアを叩き出しました！
0	AUTO	OL_NEW_GHOST	新しいゴースト
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	フリーランに戻りますか？^バトルの進行状況はすべて失われます。
0	AUTO	HUD_COPDESTROYED_COPSUVL	SUV^バウンティ： %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	セーフハウスに戻る
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	チェックポイントを見る
0	AUTO	HUD_CANYON_RATING_0	話にならない！
0	AUTO	HUD_CANYON_RATING_1	遅い
0	AUTO	HUD_CANYON_RATING_2	平均
0	AUTO	HUD_CANYON_RATING_3	いいぞ！
0	AUTO	HUD_CANYON_RATING_4	見事だ！
0	AUTO	HUD_CANYON_RATING_5	素晴らしい！
0	AUTO	HUD_SHIFT_EARLY	まだ早い！
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*ステージ*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	交通事故
0	AUTO	MENU_POSTRACE_VIEW_LAPS	ラップを見る
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	ポイントゾーン スタート！
0	AUTO	MENU_POSTRACE_REP_REWARD	評価
0	AUTO	HUD_SHIFT_GOOD	グッド！
0	AUTO	HUD_DRIFT_GREAT_DRIFT	やるじゃないか
0	AUTO	MENU_POSTRACE_CASH_REWARD	賞金
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	チームチャレンジ
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	最終結果を待っています。
0	AUTO	HUD_DRIFT_NICE_DRIFT	まだまだ
0	AUTO	OL_SAVE_GHOST	ゴーストマシン
0	AUTO	MENU_PAUSE_WORLD_MAP	ワールドマップ
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS 切断^再接続中・・・
0	AUTO	MENU_POSTRACE_SCORE_WIN	相手のスコアを上回りました。
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	ライバルを追い抜いた！
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	テスト走行終了
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	報酬カードが解除されました！
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	総括を見る
0	AUTO	HUD_CHECKPOINT	チェックポイント
0	AUTO	HUD_BOUNTY	バウンティ
0	AUTO	MENU_POSTRACE_WIN	*YOUR TEAM WON*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	その調子だ！
0	AUTO	HUD_TUTORIAL_PRESS_NOW	指示を出す^チームメンバー指示ボタンを押す
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*チェックポイント*
0	AUTO	HUD_DRIFT_RACE_OVER	バトル終了！
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	バトルをリスタートしますか？^バトルの進行状況はすべて失われます。
0	AUTO	HUD_SPEEDTRAP	スピードトラップ
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	ライバルチームからのチャレンジだ。^ゴール地点を選んで、先にフィニッシュしたほうが勝ちだ。
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	フリーランを続ける
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*クリア*
0	AUTO	MENU_PAUSE_TITLE	*PAUSE*^
0	AUTO	HUD_IMMUNE	猶予期間
0	AUTO	MENU_POSTRACE_POSITION	ポジション
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	連邦警察 覆面車両^バウンティ： %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	連邦警察 追跡車両^バウンティ： %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	クロスから逃げる事ができなかった。
0	AUTO	SMS_CONFIRM_DELETE	この SMS メッセージを削除しますか？
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	ゲームルームに戻る：
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	やる気あるのか？
0	AUTO	HUD_COMPLETE	クリア
0	AUTO	HUD_PASSED	追いかけろ！
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	報酬カード：
0	AUTO	COP_ESCAPE_DONE	追跡回避！
0	AUTO	HUD_GO	GO!
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	追い抜かれた！
0	AUTO	HUD_SPLIT_SCORE	スプリットスコア：
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	州警察 覆面車両^バウンティ： %$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	セーフハウスまでGPSを使いますか？
0	AUTO	POST_RACE_RACER_PROFILE	バトル後のドライバープロフィール
