#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Korean_Frontend.bin
#	File created on: 2025-05-10 15:28:18
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*비닐 변형*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	녹아웃
0	AUTO	MENU_CREW_LOGO	크루 로고
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	이들 마커에는 현금 보너스, 감옥 탈출 마커, 추가 몰수 스트라이크 마커, 당신이 방금 꺾은 보스 차량에 대한 차량 소유권이 있습니다.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™는 당신만의 부품을 조합하여 입맛대로 차량을 조립하게 해줍니다.^바디 키트, 바퀴, 후드, 스포일러, 루프 스쿠프 등을 수정하여 당신이 원하는 부품으로 만들 수 있습니다. ^사용자 설정은 거기서 끝나지 않습니다. 직접 정한 페인트로 도색하고, 직접 정한 비닐과 스티커를 추가하고, 성능 부품을 설치하여 당신만의 독특한 튜너카, 머슬카, 또는 엑조틱카를 만드세요.이 모든 기능은 Need for Speed™ Carbon의 정식 발매본에서 이용하실 수 있을 것입니다
0	AUTO	CHAL_COMPLETED	완료
0	AUTO	MC_CONFIRM_CREATE_PROFILE	새 프로필을 만드시겠습니까? 새 프로필을 만들지 않는다면 변경사항은 손실될 것입니다.
0	AUTO	CHAL_SELECT_CREW_MODE	협동게임 도전 모드
0	AUTO	CUST_PARTS_WHEELS_TITLE	*바퀴*
0	AUTO	MARKER_NAME_TRANSMISSION	유니크 트랜스미션 업그레이드
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*비닐 페인트*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	이 부품들을 구입할 현금이 부족합니다. 장바구니에서 일부 물품을 제거하십시오.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	핀란드어
