#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Korean_Global.bin
#	File created on: 2025-05-10 15:28:26
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	크루 활성화
0	AUTO	PART_PERF_NITROUS_1	NOS 단일 니트로 키트
0	AUTO	PART_PERF_NITROUS_2	니트로 퍼지 키트
0	AUTO	PART_PERF_NITROUS_3	10 파운드 니트로 용기
0	AUTO	PART_PERF_NITROUS_4	NOS 연료 혼합 니트로 키트
0	AUTO	PART_PERF_NITROUS_5	니트로 용기 히터
0	AUTO	PART_PERF_NITROUS_6	15 파운드 니트로 용기
0	AUTO	PART_PERF_NITROUS_7	직접 포트 니트로 키트
0	AUTO	PART_PERF_NITROUS_8	니트로 압력 컨트롤러
0	AUTO	PART_PERF_NITROUS_9	20 파운드 니트로 용기
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	인페르노 비닐
0	AUTO	RCO_REWARD_003	로터4 비닐
0	AUTO	RCO_REWARD_004	피쉬테일 스포일러 번들
0	AUTO	RCO_REWARD_005	로스 콜리브리스 비닐
0	AUTO	RCO_REWARD_006	바이퍼 스포일러 번들
0	AUTO	RCO_REWARD_007	BBS 휠 번들
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Mooo! 비닐
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	추격전
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	확대
0	AUTO	STAT_NUM_TIMES_RACED	플레이 시간
0	AUTO	TIP_CREWS_HEADER	크루 관리
0	AUTO	PART_SPOILER_0	보유
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	은신처
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	무한 스피드브레이커!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	움직임 흐림 효과
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	지역 히트 레벨
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SHIELD
0	AUTO	VINYL_PART_LOGO_CUP	TROPHY
0	AUTO	VINYL_PART_LOGO_RAM	RAM
0	AUTO	VINYL_PART_LOGO_WMD	ROCKET
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	온라인 경험치 레벨 %d에 도달! 잠금 해제: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	PHOENIX
0	AUTO	CUST_ROTATECAMERA	카메라 회전
0	AUTO	VINYL_PART_NF_HUNGARY	헝가리
0	AUTO	SUBTITLES_DEMO_MOVIE_1	너의 얼굴을 다시 보게 될 줄은 몰랐어.^
0	AUTO	SUBTITLES_DEMO_MOVIE_2	이곳 사정은 예전과 달라졌어. 이제는 완전히 전쟁터야.^
0	AUTO	SUBTITLES_DEMO_MOVIE_3	튜너카^
0	AUTO	SUBTITLES_DEMO_MOVIE_4	머슬카^
0	AUTO	SUBTITLES_DEMO_MOVIE_5	엑조틱카^
0	AUTO	SUBTITLES_DEMO_MOVIE_6	크루들이 도시 안의 영역을 차지하기 위해 싸움을 벌이고 있어.^
0	AUTO	SUBTITLES_DEMO_MOVIE_7	그리고 모든 것은 협곡에서 결말이 나.^
0	AUTO	SUBTITLES_DEMO_MOVIE_8	하지만 넌 절대 살아남지 못할 거야.^
0	AUTO	SUBTITLES_DEMO_MOVIE_9	네가 돌아왔다는 소문을 들었어. 이제 네가 가버렸다는 소문을 듣고 싶군!^
0	AUTO	UNLOCKABLE_RHINO	퀵 레이스용 라이노 잠금 해제!
0	AUTO	WM_LEGEND_EVENT	이벤트
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	당신은 팔몬트 시티 경찰에 체포되었고, 차량은 몰수 스트라이크를 하나 얻었습니다. 벌금을 지불할 수도 있고 감옥 탈출 마커를 사용해도 됩니다.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	보스
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*추격전*
0	AUTO	ON_LOGIN_RETRIEVEPASS	분실한 패스워드
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*정복*
0	AUTO	TIP_PURSUITS_HEADER	추격전
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	방어 레이스
0	AUTO	HUD_FINISH_SIXTEEN	16위입니다.
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	블랙 에디션 1
0	AUTO	PART_COLLECTORS_EDITION_02	블랙 에디션 2
0	AUTO	PART_COLLECTORS_EDITION_03	블랙 에디션 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	선택한 저장 장치가 교체 또는 제거되었기 때문에 게임 진행 상황을 자동 저장할 수 없습니다. 자동저장 기능을 계속해서 켜두시겠습니까?
0	AUTO	COMMON_ABBREV_FT	FT
0	AUTO	COMMON_ABBREV_KG	Kg
0	AUTO	TIP_ON_ONLINEXP_DESC	온라인 경험치 레벨을 향상시켜 독점적인 자동차를 잠금 해제하고 비주얼을 업그레이드하십시오! 어떤 모드에서든 온라인 게임을 할 때마다 온라인 경험치 점수를 얻어 다음 레벨로 올라갈 수 있습니다. 온라인 게임에서 순위가 올라갈 때마다 더 많은 온라인 경험치를 얻을 수 있습니다. 50레벨이 되면 특주품 Lotus Europa S를 잠금 해제할 수 있습니다!
0	AUTO	VINYL_PART_2T_997GT3RS	투톤
0	AUTO	CTRL_360_GUIDE	Xbox 가이드
0	AUTO	VINYL_SPA_PART_VIRUS_CARBON_PLAGUE	CARBONO PLAGUE
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Carbon
0	AUTO	PERFORMANCE_TUNE_HELP_NITROUS	니트로 분사량을 조절하면 속도/니트로 지속시간을 조정할 수 있습니다.  폭발력을 짧게 사용하고 니트로의 영향력을 높이려면 속도를 조율하고 폭발력을 길게 사용하고 낮추려면 지속시간을 조율하십시오.
0	AUTO	TIP_ON_CANYON_BASIC_DESC	협곡 결투는 2 스테이지 레이스입니다. 첫 번째 스테이지에서 리더의 차를 추적하는 추적자는 점수를 얻게 됩니다. 추적자가 레이스에서 가까이 가면 갈수록 더 많은 점수를 얻게 됩니다! 두 번째 스테이지에서 레이서는 위치를 바꿔 앞으로 나가게 되고, 새로운 추적자가 리더의 점수를 가져가게 됩니다. 플레이어가 절벽에서 떨어지거나 너무 뒤쳐진 경우, 또는 추월을 당하는 순간 레이스에서 지게 됩니다. 온라인 협곡 결투에서는 순수한 운전 기술을 시험하기 위해 충돌 감지 기능이 꺼집니다.
0	AUTO	VINYL_PART_AFTERMARKET_NOLOGY	NOLOGY
0	AUTO	VINYL_PART_LOGO_STEERING_WHEEL	STEERING WHEEL
0	AUTO	VINYL_PART_MANUFACTURER_MCLAREN	MCLAREN
0	AUTO	TIP_GAME_OVER_HEADER	게임 오버
0	AUTO	TIP_WORLDMAP_DESC	전체 지도에 표시된 아무 위치에든 순간 이동이 가능합니다. 이런 식으로 자동차 상점, 다른 크루에게서 빼앗은 아지트, 그리고 물론 레이스 하고 싶은 아무 트랙에든 갈 수 있습니다. 심지어, 경찰의 추격을 받고 있지만 않다면 자유 주행 중에 이것을 할 수도 있습니다.
0	AUTO	AREA_NAME_001	San Juan
0	AUTO	AREA_NAME_002	Kempton
0	AUTO	AREA_NAME_003	Downtown
0	AUTO	AREA_NAME_004	Fortuna
0	AUTO	AREA_NAME_005	Silverton
0	AUTO	AREA_NAME_006	Canyon
0	AUTO	SMS_MESSAGE_062_SUBJECT	차량 티어
0	AUTO	CART_ITEM_DESC_WINDOW_TINT	창문 코팅
0	AUTO	CARLIST_PRESET	커스텀
0	AUTO	HEADER_REWARD_CARD_GAINED	획득한 보상 카드
0	AUTO	KB_BTN_DONE	완료
0	AUTO	PART_ROOF_18_CF_DUAL	TYPHOON CF DUAL
0	AUTO	VINYL_PART_2T_LANCEREVO9	투톤
0	AUTO	TIP_DYNAMIC_PURSUIT_BREAKERS_HEADER	다이내믹 추격전 브레이커
0	AUTO	TIP_GEOGRAPHIC_HEAT_DESC	지도를 확인하여 각 지역 내에 경찰의 활동이 활발한지 알아보십시오. 주어진 지역에서 더 많이 레이스를 할수록 레이스 도중에 경찰의 추격을 받게 될 가능성이 높아집니다. 어떤 지역에서든 주어진 지역에서 더 많이 레이스 할수록 더 많은 경찰이 그곳을 순찰하기 시작할 것입니다. 히트 레벨을 낮추려면 한동안은 그 지역에서 레이스 하는 것을 피하십시오.
0	AUTO	VINYL_PART_MANUFACTURER_PORSCHE	PORSCHE
0	AUTO	PURSUIT_STAT_INFRACTIONS	교통위반 횟수
0	AUTO	PART_ROOF_10_DUAL	BLASTBACK DUAL
0	AUTO	SMS_MESSAGE_010_SUBJECT	새로운 크루 맴버가 필요해?
0	AUTO	VINYL_PART_AFTERMARKET_BILSTEIN	BILSTEIN
0	AUTO	RC_NAME_001	이름 날리기
0	AUTO	RC_NAME_002	스트리트 레이서
0	AUTO	RC_NAME_003	로드 투 빅토리
0	AUTO	RC_NAME_004	메이킹 머니
0	AUTO	RC_NAME_005	스태시
0	AUTO	RC_NAME_006	스피드광
0	AUTO	RC_NAME_007	캐넌볼
0	AUTO	RC_NAME_008	커팅 딜즈
0	AUTO	RC_NAME_009	스피드 데먼
0	AUTO	RC_NAME_010	유명해지기
0	AUTO	RC_NAME_011	겟어웨이
0	AUTO	RC_NAME_012	탈주 전문가
0	AUTO	RC_NAME_013	밴달
0	AUTO	RC_NAME_014	퀵 엑시트
0	AUTO	RC_NAME_015	8분 탈주
0	AUTO	RC_NAME_016	12분 탈주
0	AUTO	RC_NAME_017	새로운 도전자
0	AUTO	RC_NAME_018	도전 초보
0	AUTO	RC_NAME_019	도전 저니맨
0	AUTO	RC_NAME_020	도전 챔피언
0	AUTO	RC_NAME_021	1/4 마일
0	AUTO	RC_NAME_022	강철벽
0	AUTO	RC_NAME_023	시내 전투
0	AUTO	RC_NAME_024	소형 차량 부지
0	AUTO	RC_NAME_025	아케이드 레벨 1
0	AUTO	RC_NAME_026	아케이드 레벨 2
0	AUTO	RC_NAME_027	아케이드 레벨 3
0	AUTO	RC_NAME_028	아케이드 레벨 4
0	AUTO	RC_NAME_029	라이벌
0	AUTO	RC_NAME_030	베이터
0	AUTO	RC_NAME_031	조립전문가
0	AUTO	RC_NAME_032	스톤 휠즈
0	AUTO	RC_NAME_033	타임 시프트
0	AUTO	RC_NAME_034	벌금 2만
0	AUTO	RC_NAME_035	드리프트 신참
0	AUTO	RC_NAME_036	파괴의 공
0	AUTO	RC_NAME_037	큰 돈
0	AUTO	RC_NAME_038	올 유어 베이스
0	AUTO	RC_NAME_039	협곡 정복자
0	AUTO	RC_NAME_040	아차상
0	AUTO	RC_NAME_041	방어자
0	AUTO	RC_NAME_042	커리어 거물
0	AUTO	RC_NAME_043	경미한 사고
0	AUTO	RC_NAME_044	무모함
0	AUTO	RC_NAME_045	일단 부수고 본다
0	AUTO	RC_NAME_046	공공의 적
0	AUTO	RC_NAME_047	50 트랙
0	AUTO	RC_NAME_048	85 트랙
0	AUTO	RC_NAME_049	Need for Speed
0	AUTO	RC_NAME_050	파괴불능
0	AUTO	RC_NAME_051	스트리트 레전드
0	AUTO	RC_NAME_052	언터처블
0	AUTO	RC_NAME_053	후디니
0	AUTO	RC_NAME_054	블록 파괴자
0	AUTO	RC_NAME_055	강철 타이어
0	AUTO	RC_NAME_056	공성 망치
0	AUTO	RC_NAME_057	드리프터
0	AUTO	RC_NAME_058	차량 3대
0	AUTO	RC_NAME_059	현상금 2만
0	AUTO	RC_NAME_060	현상금 5만
0	AUTO	RC_NAME_061	빅 게임 헌터
0	AUTO	RC_NAME_062	동메달
0	AUTO	RC_NAME_063	은메달
0	AUTO	RC_NAME_064	금메달
0	AUTO	RC_NAME_065	무임승차
0	AUTO	RC_NAME_066	다이아몬드 타이어
0	AUTO	RC_NAME_067	탄 고무
0	AUTO	RC_NAME_068	차량 5대
0	AUTO	RC_NAME_069	풀하우스
0	AUTO	RC_NAME_070	머슬 지배자
0	AUTO	RC_NAME_071	튜너 중독자
0	AUTO	RC_NAME_072	엑조틱 애호가
0	AUTO	RC_NAME_073	문제아
0	AUTO	RC_NAME_074	빅 비즈
0	AUTO	RC_NAME_075	강철 바퀴
0	AUTO	RC_NAME_076	드리프트 프로
0	AUTO	RC_NAME_077	대형 차량 부지
0	AUTO	RC_NAME_078	차량 8대
0	AUTO	RC_NAME_079	도전 마스터
0	AUTO	RC_NAME_080	범죄의 향연
0	AUTO	RC_NAME_081	긴급 수배
0	AUTO	RC_NAME_082	움직이는 재앙
0	AUTO	RC_NAME_083	빠른 휠
0	AUTO	RC_NAME_084	다운타운 영역
0	AUTO	RC_NAME_085	넘버 1
0	AUTO	RC_NAME_086	정복자
0	AUTO	RC_NAME_087	스트리트 킹
0	AUTO	RC_NAME_088	티타늄 타이어
0	AUTO	RC_NAME_089	시내 전투
0	AUTO	RC_NAME_090	시가전
0	AUTO	RC_NAME_091	막을 수 없는 자
0	AUTO	RC_NAME_092	파괴자
0	AUTO	RC_NAME_093	협곡 런
0	AUTO	RC_NAME_094	늑대의 탈
0	AUTO	RC_NAME_095	무리의 대장
0	AUTO	RC_NAME_096	콜렉터
0	AUTO	RC_NAME_097	초반 우세
0	AUTO	RC_NAME_098	10만
0	AUTO	RC_NAME_099	고난기
0	AUTO	RC_NAME_100	드리프트 킹
0	AUTO	RC_NAME_101	헤드 투 헤드
0	AUTO	RC_NAME_102	스프린터
0	AUTO	RC_NAME_103	다운힐 다이나모
0	AUTO	VINYL_PART_LOGO_SCORPION	SCORPION
0	AUTO	GAME_ACTION_SHIFTFOURTH	4단
0	AUTO	ALL_CHARACTERS	abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ1234567890!@#$%^&*()_-=+;:/?\><,.""'{}[]§©®™
0	AUTO	CUST_VINYL_ROTATE	회전
0	AUTO	HUDACTION_ENGAGE_EVENT	이벤트 참가
0	AUTO	VINYL_PART_CAMOUFLAGE	위장 1
0	AUTO	UNLOCKABLE_INFINITE_CREW_CHARGE	무한 크루 충전!
0	AUTO	PART_ROOF_11_DUAL	AIRSTREAM DUAL
0	AUTO	WM_INFO_HEADER_RACE_LENGTH	길이
0	AUTO	CUST_PERFORM_INFO	성능 정보
0	AUTO	PART_ROOF_10_CF	BLASTBACK CF
0	AUTO	PART_ROOF_11_CF	AIRSTREAM CF
0	AUTO	PART_ROOF_14_CF	CYCLONE CF
0	AUTO	PART_ROOF_15_CF	TEMPEST CF
0	AUTO	PART_ROOF_17_CF	BACKDRAFT CF
0	AUTO	PART_ROOF_18_CF	TYPHOON CF
0	AUTO	VINYL_PART_AFTERMARKET_QUAIFE	QUAIFE
0	AUTO	DEBUG_UNLOCALIZED	UNLOCALIZED
0	AUTO	FMV_RACESKILLS_NAME_DRAFTER	드래프터
0	AUTO	SMS_MESSAGE_020_SUBJECT	아지트에서 만나.
0	AUTO	HUD_KNOCKED_OUT	추격 중
0	AUTO	VINYL_PART_AFTERMARKET_CENTERLINE	CENTERLINE
0	AUTO	VINYL_PART_MANUFACTURER_DODGECLASSIC	DODGE
0	AUTO	SMS_TIPS	힌트
0	AUTO	OL_RICH_PRESENCE_PROPERTY_RANKED	[FOR REFERENCE, RICH PRESENCE] 순위에 랭크
0	AUTO	VINYL_PART_AFTERMARKET_FIDANZA	FIDANZA
0	AUTO	PHOTOMODE_CAPTURE_DIALOG_DEVICE_MAXPHOTOS	이미 10장의 사진을 저장했습니다. 첫 번째 저장 사진에 덮어쓰시겠습니까?
0	AUTO	VINYL_PART_AFTERMARKET_I_FORGED	I-FORGED
0	AUTO	OPTIONS_FE_MUSIC_VOL	효과음 음악 음량
0	AUTO	VINYL_PART_AFTERMARKET_YOKOHAMA	YOKOHAMA
0	AUTO	VINYL_PART_STRIPE01	스트라이프 1
0	AUTO	VINYL_PART_STRIPE02	스트라이프 2^
0	AUTO	VINYL_PART_STRIPE03	스트라이프 3
0	AUTO	VINYL_PART_STRIPE04	스트라이프 4
0	AUTO	VINYL_PART_STRIPE05	스트라이프 5
0	AUTO	VINYL_PART_STRIPE06	스트라이프 6
0	AUTO	VINYL_PART_STRIPE07	스트라이프 7
0	AUTO	VINYL_PART_STRIPE08	스트라이프 8
0	AUTO	VINYL_PART_STRIPE09	스트라이프 9
0	AUTO	VINYL_PART_STRIPE10	스트라이프 10
0	AUTO	VINYL_PART_STRIPE11	스트라이프 11
0	AUTO	VINYL_PART_STRIPE12	스트라이프 12
0	AUTO	VINYL_PART_STRIPE13	스트라이프 13
0	AUTO	VINYL_PART_STRIPE14	스트라이프 14
0	AUTO	VINYL_PART_STRIPE15	스트라이프 15
0	AUTO	VINYL_PART_STRIPE16	스트라이프 16^
0	AUTO	VINYL_PART_STRIPE17	스트라이프 17
0	AUTO	VINYL_PART_STRIPE18	스트라이프 18
0	AUTO	VINYL_PART_STRIPE19	스트라이프 19
