#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Korean_InGame.bin
#	File created on: 2025-05-10 15:28:31
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	평균 길이
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*정복한 지역*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	이 차량으로 커리어를 시작하시겠습니까?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	충돌 %$d점
0	AUTO	POSTRACE_CREW_INVITE	크루 초대
0	AUTO	HUD_YOUR_TIME	완주 시간:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	자유 주행으로 빠져나가기
0	AUTO	HUD_SHIFT_PERFECT	완벽한 변속입니다!
0	AUTO	HUD_DRIFT_KEEP_MOVING	계속 달리세요!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	달성한 마일스톤
0	AUTO	HUD_WRNONG_WAY	잘못된 길입니다!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	드리프트 종료
0	AUTO	QR_GHOST_UPLOAD	축하합니다. 당신은 이 트랙에서 3대 기록을 세웠습니다! 다른 사람들이 도전할 수 있도록 당신의 고스트가 NeedforSpeed.com 순위표에 업로드되고 있습니다!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	스테이지 1/2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	완벽한 엔트리!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	스피드 트랩
0	AUTO	SMS_FROM	발신:
0	AUTO	SMS_TEXT	텍스트
0	AUTO	HUD_DRIFT_POINTS_EARNED	획득한 점수
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s 승*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	상대 차량 충돌!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	패했습니다!
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	정말 자동차 상점으로 들어가시겠습니까?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	다른 상대를 기다리는 중:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	이 트랙의 최고 점수를 깼습니다!
0	AUTO	OL_NEW_GHOST	새로운 고스트
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	정말로 종료하고 자유 주행으로 나가시겠습니까?^모든 레이스 진행 상황이 사라질 것입니다.
0	AUTO	HUD_COPDESTROYED_COPSUVL	소형 SUV ^현상금: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	아지트로 이동
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	체크포인트 보기
0	AUTO	HUD_CANYON_RATING_0	서두르세요!
0	AUTO	HUD_CANYON_RATING_1	느림
0	AUTO	HUD_CANYON_RATING_2	보통
0	AUTO	HUD_CANYON_RATING_3	좋아요!
0	AUTO	HUD_CANYON_RATING_4	대단해요!
0	AUTO	HUD_CANYON_RATING_5	끝내 주는군요!
0	AUTO	HUD_SHIFT_EARLY	변속이 빨랐습니다!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*스테이지*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	차량 충돌
0	AUTO	MENU_POSTRACE_VIEW_LAPS	랩 보기
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	스코어 구역 시작!
0	AUTO	MENU_POSTRACE_REP_REWARD	명성 보상
0	AUTO	HUD_SHIFT_GOOD	변속 타이밍이 좋습니다!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	대단한 드리프트
0	AUTO	MENU_POSTRACE_CASH_REWARD	현금 보상
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*크루 도전*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	최종 결과 기다리는 중
0	AUTO	HUD_DRIFT_NICE_DRIFT	멋진 드리프트
0	AUTO	OL_SAVE_GHOST	고스트 차량
0	AUTO	MENU_PAUSE_WORLD_MAP	전체 지도
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS 연결 오류^다시 연결하는 중...
