#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Dutch_Frontend.bin
#	File created on: 2025-05-10 15:19:21
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*STICKER AANPASSING*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Knock-outs
0	AUTO	MENU_CREW_LOGO	TEAMLOGO
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Met deze kaarten kun je geld verdienen, uit de gevangenis komen, een extra waarschuwing voor inbeslagname van je wagen krijgen, of de autopapieren van een teamleider overnemen.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Met Autosculpt™ kun je je wagen tunen door zelf onderdelen te maken.^Je kunt carrosseriekits, wielen, motorkappen, spoilers en dakluchthappers precies maken zoals jij ze wilt.^En dat is pas het begin. Breng lak naar keus aan, plaats aanpasbare (merk)stickers en installeer prestatieonderdelen om je eigen unieke Tuner-, Muscle-, of Exotische teamidentiteit te creëren.
0	AUTO	CHAL_COMPLETED	Voltooid
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Nieuwe alias maken? Als je geen nieuwe alias maakt, gaan de wijzigingen verloren.
0	AUTO	CHAL_SELECT_CREW_MODE	Gametype Coöp-Uitdagingen selecteren
0	AUTO	CUST_PARTS_WHEELS_TITLE	*WIELEN*
0	AUTO	MARKER_NAME_TRANSMISSION	Unieke versnellingsbak-upgrades
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*STICKERVERF*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Je hebt niet genoeg cash om al deze onderdelen te kopen. Verwijder wat onderdelen uit de winkelwagen.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Fins
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Een unieke aagenpaste meter-upgrade voor een van je wagens.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Een unieke nitro-upgrade voor een van je wagens.
0	AUTO	STAT_PERC_AS_POLICE	%% Als politie
0	AUTO	HELP_RACE	Races
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Moet vijf carrièreraces winnen.
0	AUTO	CHAL_SOLO_CHALLENGE	Solo-Uitdagingen
0	AUTO	MENU_MAIN_TITLE_CAREER	*CARRIÈRE*
0	AUTO	STAT_NUM_TIMES_BUSTED	Aantal keren aangehouden
0	AUTO	CUST_PARTS_WHEELS	WIELEN
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Ingehuurde teamleden
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Je hebt net voor %$d extra cash gescoord.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	Een unieke motorkap-upgrade voor een van je wagens.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	Een unieke wielen-upgrade voor een van je wagens.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	Een unieke banden-upgrade voor een van je wagens.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Maken
0	AUTO	CUST_RIDE_HEIGHT_DROP	Wagen verlagen
0	AUTO	HELP_CAREER_CONTROLS	Carrièrebesturing
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	TEAMSTIJL
0	AUTO	POST_RACE_PURSUIT_STATS	Statistieken achtervolging
0	AUTO	MC_DELETE	Verwijderen
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Score schaduw
0	AUTO	CUST_VINYL_GRADIENT_0_0	SCHAKERING 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	SCHAKERING 1
0	AUTO	RC_NAME_104	Halsbrekend
0	AUTO	LANG_SWEDISH	Zweeds
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Unieke lak-upgrades
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	Al je teamleden zijn gepakt en je hebt niet genoeg geld voor de borgsom om er een vrij te krijgen.
0	AUTO	CUST_VINYL_INNER_GLOW_0	GLANS BINNEN
0	AUTO	MARKER_NAME_BRAKES	Unieke remmen-upgrades
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	CAMOUFLAGE
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	Eigenaar:
0	AUTO	CUST_PERF_MENU_TIRES	BANDEN
0	AUTO	CUST_PERF_MENU_TURBO	TURBO
0	AUTO	CUST_PERF_MENU_TRANSMISSION	VERSNELLINGSBAK
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	MARKER_NAME_CHASSI	Unieke wielophanging-upgrades
0	AUTO	STAT_INFRACTIONS_TOTAL	Overtredingen (totaal)
0	AUTO	MARKER_NAME_DESCRIPTION_PINKSLIP	Je hebt de autopapieren van de wagen van de teamleider gescoord. De volgende keer dat je bij je schuilplaats komt, staat deze wagen voor je klaar.
0	AUTO	CAR_SELECT_BUY_CAR	Wagen kopen
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	Je garage is vol. Je moet wagens verkopen om meer ruimte te maken.
0	AUTO	CHAL_CREW_CHALLENGE	Coöp-Uitdagingen
0	AUTO	MARKER_NAME_DECALS	Unieke merksticker-upgrades
0	AUTO	MENU_CAREER_SAVE_LOAD	OPSLAAN
0	AUTO	CARNAME_BMW_M3_GTRE46	BMW M3 GTR
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	STAT_TOTAL_CASH	Totaal verdiende cash
0	AUTO	CHALLENGE_SERIES_DESC_079	Versla een zwakke tegenstander in een Canyon-Duel bij Journeyman's Bane.
0	AUTO	CHALLENGE_SERIES_DESC_080	Versla een normale tegenstander in een Canyon-Duel bij Gold Valley.
0	AUTO	CHALLENGE_SERIES_DESC_081	Versla een sterke tegenstander in een Canyon-Duel bij Eternity Pass.
0	AUTO	CHALLENGE_SERIES_DESC_082	Win een Canyonrace bij Gold Valley tegen zwakke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_083	Win een Canyonrace bij Copper Ridge tegen normale tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_084	Win een Canyonrace bij Deadfall Junction tegen sterke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_085	Voltooi de Controlepostrace van Eskuri Plaza binnen 3:44 om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_086	Voltooi de Controlepostrace van Rabinowitz Drive binnen 3:02 om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_087	Voltooi de Controlepostrace van Blackwell Road binnen 3:21 om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_088	Voltooi de Controlepostrace van Lofty Heights binnen 2:39 om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_089	Voltooi de Controlepostrace van Knife's Edge binnen 1:25 om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_090	Voltooi de Controlepostrace van Desperation Ridge binnen 1:55 om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_091	Scoor meer dan 25.000 ptn in deze Canyon-Driftrace om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_092	Scoor meer dan 100.000 ptn in deze Canyon-Driftrace om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_093	Scoor meer dan 150.000 ptn in deze Canyon-Driftrace om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_094	Schud de politie af na minstens %s minuten achtervolging om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_095	Schud de politie af na minstens %s minuten achtervolging om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_096	Schud de politie af na minstens %s minuten achtervolging om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_097	Schakel minstens %s politiewagens uit en ontsnap om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_098	Schakel minstens %s politiewagens uit en ontsnap om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_099	Schakel minstens %s politiewagens uit en ontsnap om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_100	Win een Circuitrace op Dover Street tegen zwakke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_101	Win een Circuitrace bij Ocean View tegen normale tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_102	Win een Circuitrace op Starlight Street tegen sterke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_103	Win een Sprintrace bij Condo Row tegen zwakke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_104	Win een Sprintrace in Kings Park tegen normale tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_105	Win een Sprintrace op Canmor Road tegen sterke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_106	Scoor meer dan 50.000 ptn in deze Driftrace om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_107	Scoor meer dan 140.000 ptn in deze Driftrace om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_108	Scoor meer dan 250.000 ptn in deze Driftrace om te winnen.
0	AUTO	CHALLENGE_SERIES_DESC_109	Win de Radarrace bij Million Dollar Run tegen zwakke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_110	Win een Radarrace in Infinity Park tegen normale tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_111	Win een Radarrace bij Eskuri Way tegen sterke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_112	Win een Raceoorlog in Downtown tegen zwakke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_113	Win een Raceoorlog in Fortuna tegen zwakke tegenstanders.
0	AUTO	CHALLENGE_SERIES_DESC_114	Win een Raceoorlog in Silverton tegen zwakke tegenstanders.
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	OL_BUTTON_TIME_PERIOD	Periode
0	AUTO	CLASS_TUNER_DESCRIPTION	Tuner-wagens gaan strak door de bocht. Wat ^Tuner-wagens inleveren op het rechte stuk, maken ze goed ^in de bocht. Ze hebben zo veel grip dat je makkelijk ^plankgas door de bochten kunt en je tegenstanders achter je laat.
0	AUTO	CUST_VISUAL_RIMS_WARNING	Velglak kun je alleen op niet-standaard wielen aanbrengen.
0	AUTO	STAT_COPS_DISABLED_SINGLE	Uitgeschakelde politiewagens (in één achtervolging)
0	AUTO	CUST_MAINMENU_RIDE_HEIGHT	WAGENHOOGTE
0	AUTO	MARKER_NAME_ENGINE	Unieke motor-upgrades
0	AUTO	MC_PROMPT_SAVE_PROFILE	Wil je de automatische opslagfunctie activeren en je alias nu opslaan?
0	AUTO	LANG_SPANISH_NO_TRANSLATION	ESPAÑOL
0	AUTO	CUST_PARTS_TOP_TITLE	*VERLAAGD DAK*
0	AUTO	CARNAME_FORD_MUSTANGGT	Ford Mustang GT
0	AUTO	STAT_KNOCKOUT_WINS	Door knock-out gewonnen
0	AUTO	SECONDARY_ROLE_HEAT_MAGNET_DESC	DELETE
0	AUTO	CREW_VINYL_WARNING	Let op: als je deze sticker verwijdert, kun je deze niet opnieuw erop plakken. Wil je doorgaan?
0	AUTO	MENU_CAREER_CREW	TEAM
0	AUTO	MENU_CAREER_LOAD	LADEN
