#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Dutch_Global.bin
#	File created on: 2025-05-10 15:19:31
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Teamlid inzetten
0	AUTO	PART_PERF_NITROUS_1	Droge-nitrokit
0	AUTO	PART_PERF_NITROUS_2	Nitro-injectiekit
0	AUTO	PART_PERF_NITROUS_3	Nitro - 10 pond-fles
0	AUTO	PART_PERF_NITROUS_4	Natte-nitrokit
0	AUTO	PART_PERF_NITROUS_5	Nitroflesverwarmer
0	AUTO	PART_PERF_NITROUS_6	Nitro - 15 pond-fles
0	AUTO	PART_PERF_NITROUS_7	Direct ingespoten nitrokit
0	AUTO	PART_PERF_NITROUS_8	Nitrodrukcontroller
0	AUTO	PART_PERF_NITROUS_9	Nitro - 20 pond-fles
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno-sticker
0	AUTO	RCO_REWARD_003	Rotor4-sticker
0	AUTO	RCO_REWARD_004	BBS RX-wielen
0	AUTO	RCO_REWARD_005	Los Colibris-sticker
0	AUTO	RCO_REWARD_006	BBS CH-wielen
0	AUTO	RCO_REWARD_007	BBS LM-wielen
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Mooo!-sticker
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	ACHTERVOLGINGEN
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	In-/Uitzoomen
0	AUTO	STAT_NUM_TIMES_RACED	Aantal keer gespeeld
0	AUTO	TIP_CREWS_HEADER	TEAMS BEHEREN^
0	AUTO	PART_SPOILER_0	FABRIEK
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Veilige plek
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Onbeperkt snelheidsbrekers!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Bewegingsvervaging
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	HEAT VAN EEN GEBIED
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SCHILD
0	AUTO	VINYL_PART_LOGO_CUP	TROFEE
0	AUTO	VINYL_PART_LOGO_RAM	RAM
0	AUTO	VINYL_PART_LOGO_WMD	RAKET
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Online ERV-niveau %d behaald! Je hebt vrijgespeeld: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FENIKS
0	AUTO	CUST_ROTATECAMERA	Camera draaien
0	AUTO	VINYL_PART_NF_HUNGARY	HONGARIJE
0	AUTO	SUBTITLES_DEMO_MOVIE_1	Vraag me af waar je 't gore lef vandaan haalt.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Er is nogal wat veranderd. 't Is hier nu een echt oorlogsgebied.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Tuner-wagens
0	AUTO	SUBTITLES_DEMO_MOVIE_4	Muscle-wagens
0	AUTO	SUBTITLES_DEMO_MOVIE_5	Exotische wagens
0	AUTO	SUBTITLES_DEMO_MOVIE_6	Teams strijden om stadsdelen.
0	AUTO	SUBTITLES_DEMO_MOVIE_7	En de strijd wordt besloten in de canyon.
0	AUTO	SUBTITLES_DEMO_MOVIE_8	Maar dat zou jij nooit overleven.
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Ik had al gehoord dat je er weer was. Doe me een lol en rot nu maar weer op.
0	AUTO	UNLOCKABLE_RHINO	Rhino-politiewagen vrijgespeeld voor Snelle Race!
0	AUTO	WM_LEGEND_EVENT	Evenement
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Je bent gearresteerd door de politie van Palmont City en je auto heeft een waarschuwing voor inbeslagname gekregen. Je kunt je boetes contant of met een "Uit de bak"-kaart betalen.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	TEAMLEIDER
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*ACHTERVOLGING*
0	AUTO	ON_LOGIN_RETRIEVEPASS	WACHTWOORD VERGETEN
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*VEROVERD*
0	AUTO	TIP_PURSUITS_HEADER	ACHTERVOLGINGEN^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	VERDEDIGINGSRACES
0	AUTO	HUD_FINISH_SIXTEEN	JE BENT ZESTIENDE GEWORDEN
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Black Edition 1
0	AUTO	PART_COLLECTORS_EDITION_02	Black Edition 2
0	AUTO	PART_COLLECTORS_EDITION_03	Black Edition 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	De automatische opslagfunctie kan je voortgang niet opslaan, omdat het gekozen opslagapparaat is vervangen of verwijderd. Weet je zeker dat je wilt doorgaan met de automatische opslagfunctie?
0	AUTO	COMMON_ABBREV_FT	FT
0	AUTO	COMMON_ABBREV_KG	k
0	AUTO	TIP_ON_ONLINEXP_DESC	Verhoog je online ERV-niveau en speel exclusieve wagens en styling-upgrades vrij! Elke keer dat je online speelt, krijg je online ERV-punten waarmee je het volgende niveau kunt behalen. Hoe hoger je positie in een game, hoe meer online ERV-punten je krijgt. Als je niveau 50 haalt, speel je de custom Lotus Europa S vrij!
