#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Polish_Frontend.bin
#	File created on: 2025-05-10 15:28:43
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*MODYFIKACJA NAKLEJEK*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Eliminacje
0	AUTO	MENU_CREW_LOGO	LOGO ZESPOŁU
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Te znaczniki mogą zawierać premie finansowe, karty wyjścia z więzienia, znaczniki dodatkowych nakazów konfiskaty auta, oraz dokumenty samochodu kierowcy, którego właśnie pokonałeś.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ pozwala zmieniać samochód poprzez tworzenie własnych części.^Można zmieniać pakiety karoserii, felgi, maski, spoilery i dachowe wloty powietrza, aby stworzyć dokładnie takie części, jakie tylko chcesz.^Zmiany nie ograniczają się do tego. Części możesz pomalować na wybrany kolor, pokryć je naklejkami, logami, a także zainstalować części poprawiające osiągi, aby stworzyć własną tożsamość zespołu tuningowego, muscle albo egzotycznego.
0	AUTO	CHAL_COMPLETED	Ukończone
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Stworzyć nowy profil? Jeżeli tego nie zrobisz, możesz stracić wprowadzone zmiany.
0	AUTO	CHAL_SELECT_CREW_MODE	Wybierz tryb wyzwania drużynowego
0	AUTO	CUST_PARTS_WHEELS_TITLE	*FELGI*
0	AUTO	MARKER_NAME_TRANSMISSION	Unikalne ulepszenia skrzyni biegów
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*KOLOR NAKLEJEK*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Nie masz dość gotówki na wybrane części. Usuń z koszyka część z nich.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Fiński
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Unikalny pakiet hamulców dla dowolnego z Twoich samochodów.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Unikalna maska dla dowolnego z Twoich samochodów.
0	AUTO	STAT_PERC_AS_POLICE	%% jako policjant
0	AUTO	HELP_RACE	Pakiet wyścigowy
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Musisz zwyciężyć w pięciu wyścigach w karierze
0	AUTO	CHAL_SOLO_CHALLENGE	Wyzwanie solowe
0	AUTO	MENU_MAIN_TITLE_CAREER	*KARIERA*
0	AUTO	STAT_NUM_TIMES_BUSTED	Liczba zatrzymań przez policję
0	AUTO	CUST_PARTS_WHEELS	FELGI
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Pozyskani członkowie zespołu
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Zdobyłeś dodatkowe %$d w gotówce.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	Unikalny silnik dla dowolnego z Twoich samochodów.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	Unikalne felgi dla dowolnego z Twoich samochodów.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	Unikalny pakiet zawieszenia dla dowolnego z Twoich samochodów.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Stwórz
0	AUTO	CUST_RIDE_HEIGHT_DROP	Zmniejszenie prześwitu
0	AUTO	HELP_CAREER_CONTROLS	Zarządzanie karierą
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	STYL ZESPOŁU
0	AUTO	POST_RACE_PURSUIT_STATS	Statystyki pościgu
0	AUTO	MC_DELETE	Usuń
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Wynik cienia
0	AUTO	CUST_VINYL_GRADIENT_0_0	GRADIENT 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	GRADIENT 1
0	AUTO	RC_NAME_104	10 radiowozów
0	AUTO	LANG_SWEDISH	Szwedzki
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Unikalne ulepszenia lakieru
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	Wszyscy członkowie Twojego zespołu zostali aresztowani i nie stać Cię na wpłacenie kaucji.
0	AUTO	CUST_VINYL_INNER_GLOW_0	WEWNĘTRZNY POBLASK
0	AUTO	MARKER_NAME_BRAKES	Unikalne ulepszenia hamulców
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	KAMUFLAŻ
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	Własność:
0	AUTO	CUST_PERF_MENU_TIRES	OPONY
0	AUTO	CUST_PERF_MENU_TURBO	TURBO
0	AUTO	CUST_PERF_MENU_TRANSMISSION	SKRZYNIA BIEGÓW
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	MARKER_NAME_CHASSI	Unikalne ulepszenia zawieszenia
0	AUTO	STAT_INFRACTIONS_TOTAL	Wykroczenia (Ogółem)
0	AUTO	MARKER_NAME_DESCRIPTION_PINKSLIP	Właśnie zdobyłeś dokumenty samochodu szefa. Następnym razem, gdy zajrzysz do kryjówki, znajdziesz tam to auto.
0	AUTO	CAR_SELECT_BUY_CAR	Kup samochód
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	Twój garaż jest pełen. Będziesz musiał sprzedać kilka samochodów, aby zrobić miejsce dla innych.
0	AUTO	CHAL_CREW_CHALLENGE	Wyzwanie drużynowe
0	AUTO	MARKER_NAME_DECALS	Unikalne ulepszenia naklejek
0	AUTO	MENU_CAREER_SAVE_LOAD	ZAPISZ
