#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Polish_Global.bin
#	File created on: 2025-05-10 15:28:49
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Aktywuj pomocnika
0	AUTO	PART_PERF_NITROUS_1	Suchy strzał nitro
0	AUTO	PART_PERF_NITROUS_2	Układ filtrowania nitro
0	AUTO	PART_PERF_NITROUS_3	5 kg butla nitro
0	AUTO	PART_PERF_NITROUS_4	Mokry strzał nitro
0	AUTO	PART_PERF_NITROUS_5	Podgrzewacz do butli z nitro
0	AUTO	PART_PERF_NITROUS_6	7 kg butla nitro
0	AUTO	PART_PERF_NITROUS_7	Bezpośredni wtrysk nitro
0	AUTO	PART_PERF_NITROUS_8	Regulator ciśnienia nitro
0	AUTO	PART_PERF_NITROUS_9	10 kg butla nitro
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Naklejka Inferno
0	AUTO	RCO_REWARD_003	Naklejka Rotor4
0	AUTO	RCO_REWARD_004	Felgi BBS RX
0	AUTO	RCO_REWARD_005	Naklejka Los Colibris
0	AUTO	RCO_REWARD_006	Felgi BBS CH
0	AUTO	RCO_REWARD_007	Felgi BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Naklejka Muuu!
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	POŚCIGI
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zbliżenie
0	AUTO	STAT_NUM_TIMES_RACED	Liczba rozgrywek
0	AUTO	TIP_CREWS_HEADER	ZARZĄDZANIE ZESPOŁEM^
0	AUTO	PART_SPOILER_0	FABRYCZNY
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Miejsce ukrycia
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Nieskończony spowalniacz!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Rozmycie^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	RYZYKO PATROLU
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	TARCZA
0	AUTO	VINYL_PART_LOGO_CUP	TROFEUM
0	AUTO	VINYL_PART_LOGO_RAM	BARAN
0	AUTO	VINYL_PART_LOGO_WMD	RAKIETA
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Osiągnięto %d sieciowy poziom doświaczenia! Udało ci się odblokować: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FENIKS
0	AUTO	CUST_ROTATECAMERA	Obrót kamery
0	AUTO	VINYL_PART_NF_HUNGARY	WĘGRY
0	AUTO	SUBTITLES_DEMO_MOVIE_1	Nie sądziłem, że cię tu jeszcze zobaczę.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Czasy się zmieniły. Teraz trwa tutaj bezustanna walka.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Samochody tuningowane
0	AUTO	SUBTITLES_DEMO_MOVIE_4	Muscle
0	AUTO	SUBTITLES_DEMO_MOVIE_5	Egzotyczne
0	AUTO	SUBTITLES_DEMO_MOVIE_6	Zespoły walczą o kontrolę nad ulicami.
0	AUTO	SUBTITLES_DEMO_MOVIE_7	Wszystko rozstrzyga się w kanionie.
0	AUTO	SUBTITLES_DEMO_MOVIE_8	Nie przeżyłbyś tego.
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Tak, słyszałem że znów jesteś w mieście. Teraz chcę usłyszeć, że z niego wyjeżdżasz.
0	AUTO	UNLOCKABLE_RHINO	Odblokowano samochód Rhino do szybkiego wyścigu!
0	AUTO	WM_LEGEND_EVENT	Wyścig
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Zostałeś aresztowany przez departament policji z Palmont City, a Twój samochód otrzymał znacznik konfiskaty. Możesz opłacić grzywnę pieniędzmi lub kartą wyjścia z więzienia.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*POŚCIG*
0	AUTO	ON_LOGIN_RETRIEVEPASS	ZGUBIŁEM HASŁO
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*PODBITE*
0	AUTO	TIP_PURSUITS_HEADER	POŚCIGI^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	WYŚCIGI OBRONNE
0	AUTO	HUD_FINISH_SIXTEEN	KOŃCZYSZ NA SZESNASTYM MIEJSCU
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Czarna edycja 1
0	AUTO	PART_COLLECTORS_EDITION_02	Czarna edycja 2
0	AUTO	PART_COLLECTORS_EDITION_03	Czarna edycja 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	Funkcja autozapisu nie może zapisać Twoich postępów w grze, ponieważ wybrane urządzenie pamięci zostało wymienione lub usunięte. Czy chcesz kontynuować z włączoną funkcją autozapisu?
0	AUTO	COMMON_ABBREV_FT	ST
0	AUTO	COMMON_ABBREV_KG	KG
0	AUTO	TIP_ON_ONLINEXP_DESC	Zbieraj punkty doświadczenia online, aby odblokowywać ekskluzywne samochody i dodatki wizualne! Za każdym razem, gdy grasz w sieci w dowolnym trybie, otrzymujesz punkty doświadczenia online, które przybliżają Cię do awansu na kolejny poziom. Im wyżej jesteś w rankingu online, tym więcej otrzymujesz punktów doświadczenia online. Gdy osiągniesz poziom 50, odblokowany zostanie tuningowany Lotus Europa S!
0	AUTO	VINYL_PART_2T_997GT3RS	DWA KOLORY
0	AUTO	CTRL_360_GUIDE	Przewodnik Xbox
0	AUTO	VINYL_SPA_PART_VIRUS_CARBON_PLAGUE	CARBONO PLAGUE
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Carbon
0	AUTO	PERFORMANCE_TUNE_HELP_NITROUS	Dobieranie części nitro w celu osiągnięcia wysokich prędkości albo długiego czasu działania pozwala na kontrolowanie zużycia dopalacza.  Ustaw prędkość, aby dopalacz działał krócej ale z większą mocą, lub ustaw czas trwania, jeśli chcesz, aby działał dłużej lecz z mniejszą mocą.
0	AUTO	TIP_ON_CANYON_BASIC_DESC	Pojedynek w kanionie to wyścig złożony z dwóch etapów. Na pierwszym etapie ścigający otrzymuje punkty za pościg za samochodem lidera.^Gracz, który spadnie w przepaść natychmiast przegrywa wyścig.^Wykrywanie kolizji jest wyłączone podczas Sieciowego pojedynku w kanionie, tak aby był to wyłącznie sprawdzian umiejętności prowadzenia.
0	AUTO	VINYL_PART_AFTERMARKET_NOLOGY	NOLOGY
0	AUTO	VINYL_PART_LOGO_STEERING_WHEEL	KIEROWNICA
0	AUTO	VINYL_PART_MANUFACTURER_MCLAREN	MCLAREN
0	AUTO	TIP_GAME_OVER_HEADER	KONIEC GRY^
