#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\Carbon\New folder\English_Global.bin
#	File created on: 2025-06-15 22:05:04
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	0000054B	0x0000054B	HD
0	000BCB9F	0x000BCB9F	Ativar Membro de Equipe
0	00359225	0x00359225	Nitro de Ativação Seca
0	00359226	0x00359226	Purge de Nitro
0	00359227	0x00359227	Garrafa de Nitro de 10 lb
0	00359228	0x00359228	Nitro de Ativação Úmida
0	00359229	0x00359229	Aquecedor de Garrafa de Nitro
0	0035922A	0x0035922A	Garrafa de Nitro de 15 lb
0	0035922B	0x0035922B	Nitro de Porte Direito
0	0035922C	0x0035922C	Controlador ^de Pressão de Nitro
0	0035922D	0x0035922D	Garrafa de Nitro de 20 lb
0	00421A31	0x00421A31	INTRAX
0	004236A1	0x004236A1	Nissan 240SX
0	00A97903	0x00A97903	Mazda RX-8
0	00B7B239	0x00B7B239	FORZA X360
0	00B7B23A	0x00B7B23A	FORZA PC
0	00B7B23B	0x00B7B23B	CUSTOM SINGLE
0	00B7B23C	0x00B7B23C	CUSTOM DOUBLE
0	00CBC057	0x00CBC057	Pontiac GTO
0	00CBC058	0x00CBC058	Vinil Inferno
0	00CBC059	0x00CBC059	Vinil Rotor4
0	00CBC05A	0x00CBC05A	Rodas BBS RX
0	00CBC05B	0x00CBC05B	Vinil Los Colibris
0	00CBC05C	0x00CBC05C	Rodas BBS CH
0	00CBC05D	0x00CBC05D	Rodas BBS LM
0	00CBC05E	0x00CBC05E	Toyota MR2
0	00CBC05F	0x00CBC05F	Vinil Mooo!
0	00CBC077	0x00CBC077	Porsche 911 GT3 RS
0	00E7B059	0x00E7B059	PERSEGUIÇÕES
0	015CC35E	0x015CC35E	CORVETTE
0	01613DE0	0x01613DE0	Zoom
0	016A37A9	0x016A37A9	Vezes que Jogou
0	01FFCD37	0x01FFCD37	GERENCIANDO GANGUES^
0	022A40C2	0x022A40C2	ORIGINAL
0	022A40C3	0x022A40C3	JORGEN
0	022A40C4	0x022A40C4	ROCKER 5
0	022A40C5	0x022A40C5	AIRFORCE
0	022A40C6	0x022A40C6	ARROW
0	022A40C7	0x022A40C7	BARRACUDA
0	022A40C8	0x022A40C8	WILDFIRE
0	022A40C9	0x022A40C9	RIPPER
0	022A40CA	0x022A40CA	REAPER
0	022A40CB	0x022A40CB	BORRA
0	02E65097	0x02E65097	Ponto Cego
0	02F8BAC8	0x02F8BAC8	1048STYLE
0	02F90232	0x02F90232	BLITZ
0	02F90523	0x02F90523	NFS CARBON
0	02F9098A	0x02F9098A	DCSPORTS
0	02F90AAB	0x02F90AAB	DO-LUCK
0	02F90AFC	0x02F90AFC	DONZ
0	02F91234	0x02F91234	FIDANZA
0	02F9182D	0x02F9182D	GREDDY
0	02F91B96	0x02F91B96	HKS
0	02F91CBA	0x02F91CBA	H-TUNE
0	02F91FF8	0x02F91FF8	ILLEST
0	02F9238F	0x02F9238F	K&N
0	02F924BE	0x02F924BE	JAPAN TUNING
0	02F92750	0x02F92750	KKICKER
0	02F929C3	0x02F929C3	KVR
0	02F94548	0x02F94548	RE-AMEMIYA
0	02F94786	0x02F94786	REVENGE
0	02F94B7E	0x02F94B7E	STREETGLOW
0	02F94EDC	0x02F94EDC	TOMMYKAIRA
0	02F95090	0x02F95090	TENZO R
0	02F9523E	0x02F9523E	NFS UNDERGROUND
0	02F9540B	0x02F9540B	UNITRONIC
0	02F95745	0x02F95745	VEILSIDE
0	02F95C5D	0x02F95C5D	WISECO
0	03091F2B	0x03091F2B	EREBUNI CORP.
0	031CCE39	0x031CCE39	Acura NSX
0	033C5200	0x033C5200	SpeedBreaker INFINITO!
0	0357D9BD	0x0357D9BD	CLUTCHMASTERS
0	03692BEF	0x03692BEF	C??:89
0	03B73F4B	0x03B73F4B	VARIS
0	03FB4741	0x03FB4741	KAIZER
0	041DA334	0x041DA334	NEUSPEED
0	04236D06	0x04236D06	Desf. de Movimento
0	04AD02A9	0x04AD02A9	CASTROL SYNTEC
0	04B36261	0x04B36261	Nissan Silvia S15
0	04F2417A	0x04F2417A	PRESSÃO DA ZONA
0	057035EC	0x057035EC	TURBO
0	057037B8	0x057037B8	ESCUDO
0	0570387E	0x0570387E	TROFÉU
0	057075B6	0x057075B6	CABRA
0	05708C7E	0x05708C7E	FOGUETE
0	059CBE03	0x059CBE03	Reached Online XP Level %d! You have unlocked: %s
0	062B6051	0x062B6051	FÊNIX
0	06CF4395	0x06CF4395	Rotacionar
0	06D55A17	0x06D55A17	HUNGRIA
0	0713A2F1	0x0713A2F1	Não esperava que aparecesse de novo
0	0713A2F2	0x0713A2F2	As coisas mudaram por aqui. Esse lugar é um campo de batalha.
0	0713A2F3	0x0713A2F3	Tuners
0	0713A2F4	0x0713A2F4	Muscles
0	0713A2F5	0x0713A2F5	Exóticos
0	0713A2F6	0x0713A2F6	Equipes lutando por território na cidade
0	0713A2F7	0x0713A2F7	E tudo é resolvido no desfiladeiro
0	0713A2F8	0x0713A2F8	Mas você nunca sobreviverá
0	0713A2F9	0x0713A2F9	É, soube que voltou pra cidade. Quero saber quando vai sumir.
0	071EEF3E	0x071EEF3E	SUV Rhino desbloqueado no modo 'Corrida Rápida'!
0	078E5292	0x078E5292	Evento
0	07BCAF68	0x07BCAF68	LUNATI
0	07F0143F	0x07F0143F	Você foi preso pelo Departamento de Polícia de Palmont City, e seu carro recebeu um strike de Apreensão. Você pode pagar as multas com dinheiro ou com um cartão 'Saia da Cadeia'.
0	0807FAEA	0x0807FAEA	CHEFE
0	08348AEE	0x08348AEE	*PERSEGUIÇÃO*
0	0837C1F0	0x0837C1F0	LOST PASSWORD
0	083E42B7	0x083E42B7	*CONQUISTADO*
0	086D96C2	0x086D96C2	PERSEGUIÇÕES^
0	08A9AC8C	0x08A9AC8C	Pontiac GTO
0	08AB7F30	0x08AB7F30	MATRIX RACING
0	08FCD29B	0x08FCD29B	CORRIDAS DEFENSIVAS
0	09436B7F	0x09436B7F	TERMINOU EM DÉCIMO SEXTO!
0	09A7B1FA	0x09A7B1FA	MOROSO
0	09A89EA0	0x09A89EA0	MOTEGI
0	0A38B0BA	0x0A38B0BA	Black Edition 1
0	0A38B0BB	0x0A38B0BB	Black Edition 2
0	0A38B0BC	0x0A38B0BC	Black Edition 3
0	0A3C4B77	0x0A3C4B77	BEAST FC
0	0A3C4B78	0x0A3C4B78	DOUBLE-V FC
0	0A3C4B79	0x0A3C4B79	TRI-SLOT FC
0	0A3C4B7A	0x0A3C4B7A	SPEED FC
0	0A3C4B7B	0x0A3C4B7B	G-FORCE FC
0	0A3C4B7C	0x0A3C4B7C	OVERDIAL FC
0	0A3C4B7D	0x0A3C4B7D	TRIDENT FC
0	0A3C4B7E	0x0A3C4B7E	SPEEDLINE FC
0	0A3C4B7F	0x0A3C4B7F	DUAL-STAGE FC
0	0A8F1EFC	0x0A8F1EFC	CHROME
0	0A8F1EFD	0x0A8F1EFD	MASKED
0	0A8F1EFE	0x0A8F1EFE	REAPER
0	0AA44893	0x0AA44893	The Autosave feature can not save your progress because the storage device you selected has been replaced or removed. Do you wish to continue with Autosave on?
0	0AB39F12	0x0AB39F12	FT
0	0AB39FAA	0x0AB39FAA	KG
0	0B05FC52	0x0B05FC52	Increase your Online XP level to unlock exclusive Cars and visual upgrades! Anytime you play Online you'll get OXP points towards your next level-up. The higher you place in a game, the more OXP you'll get. Reach level 50 to unlock the custom Lotus Europa S!
0	0B19DBA7	0x0B19DBA7	DUPLO TOM
0	0B83E379	0x0B83E379	Xbox Guide
0	0B8AA673	0x0B8AA673	CARBONO PLAGUE
0	0B9B97A1	0x0B9B97A1	Need for Speed": Carbon
0	0BE9C967	0x0BE9C967	Ajustar componentes de nitro para velocidade ou duração permite que você controle o volume de uso do nitro. Ajuste para velocidade para obter um impulso mais curto, mas com maior impacto, ou ajuste para duração para obter um impulso mais longo com menos impacto.
0	0BF8E9AE	0x0BF8E9AE	Nesse corrida de 2 estágios, ganhe pontos por perseguir o Líder, ou por ficar longe do Perseguidor.^Quem cair da pista, perderá instantaneamente.^Colisöes no modo online são desativadas!
0	0BF98ED3	0x0BF98ED3	NOLOGY
0	0C0F132B	0x0C0F132B	VOLANTE
0	0C24DA54	0x0C24DA54	MCLAREN
0	0C539787	0x0C539787	UNP EXTREME BRAND
0	0C539788	0x0C539788	SPARCO ROADSTER
0	0C989268	0x0C989268	FIM DE JOGO^
