#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\Carbon\New folder\English_InGame.bin
#	File created on: 2025-06-15 22:05:11
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	00759347	0x00759347	DISTÂNCIA MÉDIA
0	010E6688	0x010E6688	*ÁREA CONQUISTADA*
0	01235BBD	0x01235BBD	Usar este carro para a carreira?
0	015728EE	0x015728EE	COLISÃO %$d PTS
0	0190543E	0x0190543E	Convite para Equipe
0	01AC073C	0x01AC073C	TEMPO:
0	0322DC05	0x0322DC05	MODO DE EXPLORAÇÃO
0	0598B065	0x0598B065	TROCA PERFEITA!
0	06E851EB	0x06E851EB	CONTINUE!
0	071879A2	0x071879A2	META ATINGIDA
0	074AE08A	0x074AE08A	CONTRAMÃO!
0	07CAFF8F	0x07CAFF8F	DRIFT ENCERRADO
0	07F86E0A	0x07F86E0A	Congratulations you've set a new top 3 high score for this track! A Shadow of your performance is uploading to the NeedforSpeed.com Leaderboard for others to challenge!
0	11DEE0E8	0x11DEE0E8	ESTÁGIO 1 DE 2
0	12CEE3F1	0x12CEE3F1	ENTRADA PERFEITA!
0	136247EE	0x136247EE	RADARES
0	149AE7E5	0x149AE7E5	DE:
0	14A25F16	0x14A25F16	Texto
0	159ED0C2	0x159ED0C2	PONTOS GANHOS
0	15B82CF1	0x15B82CF1	*%s VENCEU*
0	15F682C5	0x15F682C5	OPONENTE CAIU!
0	164857A3	0x164857A3	VOCÊ PERDEU
0	16B7B9C3	0x16B7B9C3	Entrar na concessionária?
0	18730D72	0x18730D72	Esperando Os Outros Oponentes
0	1A1CF360	0x1A1CF360	Novo recorde na pista!
0	1AA79C67	0x1AA79C67	NOVA SOMBRA
0	1AFC7A76	0x1AFC7A76	Ir para o modo de exploração?^Progresso da corrida será perdido.
0	1BAAC57F	0x1BAAC57F	SUV LEVE^RECOMPENSA: %$d
0	1FAC4A74	0x1FAC4A74	Esconderijo
0	1FF6F2C8	0x1FF6F2C8	Ver Pontos de Controle
0	21B0BC3A	0x21B0BC3A	SE APRESSE!
0	21B0BC3B	0x21B0BC3B	LENTO
0	21B0BC3C	0x21B0BC3C	OK
0	21B0BC3D	0x21B0BC3D	BOM!
0	21B0BC3E	0x21B0BC3E	ÓTIMO!
0	21B0BC3F	0x21B0BC3F	INSANO!
0	2202B5B9	0x2202B5B9	MUITO CEDO!
0	22441F7B	0x22441F7B	*ESTÁGIOS*
0	2256E530	0x2256E530	COLISÕES COM TRÁFEGO
0	23A3889D	0x23A3889D	Ver Voltas
0	24E943F4	0x24E943F4	ZONA DE PONTUAÇÃO!
0	25D8B45E	0x25D8B45E	Reputação
0	27D2DD45	0x27D2DD45	BOA TROCA!
0	28966162	0x28966162	ÓTIMO DRIFT
0	29AFC696	0x29AFC696	Dinheiro
0	29DC0A22	0x29DC0A22	*DESAFIO DE RIVAL*
0	2A45B19E	0x2A45B19E	Esperando pelos resultados
0	2ABE6F6E	0x2ABE6F6E	DRIFT LINDO
0	2C18098C	0x2C18098C	SOMBRA
0	3076A235	0x3076A235	MAPA
0	30CB8797	0x30CB8797	CONEXÃO PERDIDA^RECONECTANDO...
0	30F4177C	0x30F4177C	Bata a pontuação do seu oponente
0	312841F3	0x312841F3	OPONENTE ULTRAPASSADO!
0	31CE09C5	0x31CE09C5	TEST DRIVE COMPLETO
0	328EBBEC	0x328EBBEC	CARTÃO DE RECOMPENSA DESBLOQUEADO!
0	38F300FB	0x38F300FB	Ver Resumo
0	392A2DA7	0x392A2DA7	RESTANTES
0	3D00B540	0x3D00B540	RECOMPENSA
0	3E0BD521	0x3E0BD521	*EQUIPE VENCEU*
0	4013D535	0x4013D535	BOM TRABALHO!
0	401D5112	0x401D5112	ATIVE AGORA^Pressione o botão de ativar seu parceiro.^(Ctrl da Direita ou D-Pad Baixo)
0	4136D8BC	0x4136D8BC	*PONTO DE CONTROLE*
0	42A9298D	0x42A9298D	ENCERRADO!
0	42C34F00	0x42C34F00	Reiniciar a corrida?
0	4323E907	0x4323E907	RADAR
0	4366B961	0x4366B961	Você foi desafiado para uma corrida contra uma equipe rival! Escolha um Ponto B. O primeiro vence.
0	45F0AAD0	0x45F0AAD0	CONTINUAR
0	4A9DF053	0x4A9DF053	*COMPLETO*
0	4B4972B2	0x4B4972B2	*PAUSADO*
0	4D2C5A8A	0x4D2C5A8A	IMUNE
0	4DC5E4E8	0x4DC5E4E8	POSIÇÃO
0	4ED00512	0x4ED00512	VEÍCULO INFILTRADO FEDERAL^RECOMPENSA: %$d
0	4EE07213	0x4EE07213	VEÍCULO DE PERSEGUIÇÃO FEDERAL^RECOMPENSA: %$d
0	4FB51BCF	0x4FB51BCF	Você não escapou do Cross.
0	556F1991	0x556F1991	Apagar este SMS?
0	56469D3C	0x56469D3C	Retornando para a sala em:
0	5851282A	0x5851282A	MUITO LENTO!
0	59BB1918	0x59BB1918	COMPLETO
0	5CAA917F	0x5CAA917F	PASSOU!
0	5E03AFB7	0x5E03AFB7	Cartas de recompensa:
0	61082FF6	0x61082FF6	ESCAPOU!
0	61223AB5	0x61223AB5	VAI!
0	62669BB5	0x62669BB5	OPONENTE ULTRAPASSADO!
0	65907426	0x65907426	PONTUAÇÃO PARCIAL:
0	65E97524	0x65E97524	VEÍCULO INFILTRADO ESTADUAL^RECOMPENSA: %$d
0	67E91382	0x67E91382	Criar rota para o Esconderijo?
0	6F6174DB	0x6F6174DB	PERFIL PÓS CORRIDA
0	6FFF5185	0x6FFF5185	PRÓXIMO:
0	7013978F	0x7013978F	*RADARES*
0	723900A4	0x723900A4	*CORRIDA DE DEFESA*
0	744BF441	0x744BF441	ASSUNTO:
0	74A3BAF8	0x74A3BAF8	MELHOR VEL. EM RADAR
0	74C689D4	0x74C689D4	RODOU!
0	7847143D	0x7847143D	*SMS*
0	79844A36	0x79844A36	BELO DRIFT!
0	79D90980	0x79D90980	ULTRAPASSADO!
0	79D91FF8	0x79D91FF8	INDO EMBORA!
0	7AE02E2E	0x7AE02E2E	Ainda correndo
0	7CEDD99A	0x7CEDD99A	TEMPO DO ESTÁGIO 1
0	7DD90104	0x7DD90104	Need for Speed" Carbon Composed Music
0	7EDE9D65	0x7EDE9D65	VEL. MÉDIA EM RADAR
0	8021920B	0x8021920B	TEMPO ATRÁS
0	82E4DAFD	0x82E4DAFD	PERDEU!
0	83B6D6BC	0x83B6D6BC	MUITO LENTO!
0	83EA1FB5	0x83EA1FB5	PONTOS PERDIDOS
0	84CAE0D8	0x84CAE0D8	SESSÃO LIMPA +%$d PTS
