#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Russian_Frontend.bin
#	File created on: 2025-05-15 19:01:31
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*ТРАНСФОРМАЦИЯ АППЛИКАЦИЙ*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Гонки на выб.
0	AUTO	MENU_CREW_LOGO	ЛОГОТИП
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	В эту категорию входят жетоны, позволяющие решить проблемы с полицией, и денежные призы. А если вам повезет, вы можете получить автомобиль соперника!
0	AUTO	DEMO_CUSTOMIZATION_SELL	Технология Autosculpt™ позволяет создавать уникальные запчасти для различных типов машин.^Вы можете изменять кузова, диски, капоты, спойлеры и воздухозаборники.^Используя эту технологию, а также наклейки, аппликации и необычные варианты окраски, вы смож
0	AUTO	CHAL_COMPLETED	Завершенные
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Создать новый профиль? Если вы не сделаете этого, все изменения будут утрачены.
0	AUTO	CHAL_SELECT_CREW_MODE	Выбери режим командной погони
0	AUTO	CUST_PARTS_WHEELS_TITLE	*ДИСКИ*
0	AUTO	MARKER_NAME_TRANSMISSION	Уникальная трансмиссия
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*ЦВЕТ АППЛИКАЦИИ*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	У вас не хватит денег, чтобы оплатить все покупки. Пожалуйста, удалите часть покупок из списка.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	ФИНСКИЙ
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Возможность установить уникальные приборы.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Возможность установить уникальную систему впрыска закиси азота.
0	AUTO	STAT_PERC_AS_POLICE	За полицию
0	AUTO	HELP_RACE	Гонки
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Необходимо выиграть 5 карьерных гонок
0	AUTO	CHAL_SOLO_CHALLENGE	Погоня без команды
0	AUTO	MENU_MAIN_TITLE_CAREER	*КАРЬЕРА*
0	AUTO	STAT_NUM_TIMES_BUSTED	Number of Times Busted
0	AUTO	CUST_PARTS_WHEELS	ДИСКИ
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Нанятые гонщики
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Вы заработали %$d.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	Возможность установить уникальный капот.
