#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Russian_Global.bin
#	File created on: 2025-05-15 19:01:40
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Активация помощника
0	AUTO	PART_PERF_NITROUS_1	Сухой впрыск закиси азота
0	AUTO	PART_PERF_NITROUS_2	Впрыск закиси азота
0	AUTO	PART_PERF_NITROUS_3	Баллон закиси азота на 10 л
0	AUTO	PART_PERF_NITROUS_4	Влажный впрыск закиси азота
0	AUTO	PART_PERF_NITROUS_5	Система подогрева закиси азота
0	AUTO	PART_PERF_NITROUS_6	Баллон закиси азота на 15 л
0	AUTO	PART_PERF_NITROUS_7	Прямой впрыск закиси азота
0	AUTO	PART_PERF_NITROUS_8	Регулятор давления закиси азота
0	AUTO	PART_PERF_NITROUS_9	Баллон закиси азота на 20 л
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Аппликация "Инферно"
0	AUTO	RCO_REWARD_003	Аппликация "Ротор4"
0	AUTO	RCO_REWARD_004	Колеса BBS RX
0	AUTO	RCO_REWARD_005	Аппликация "Лос Колибрис"
0	AUTO	RCO_REWARD_006	Колеса BBS CH
0	AUTO	RCO_REWARD_007	Набор колес ВВС LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Аппликация "Мууу!"
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	ПОГОНИ
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Масштаб
0	AUTO	STAT_NUM_TIMES_RACED	Всего гонок
0	AUTO	TIP_CREWS_HEADER	СОЗДАНИЕ КОМАНДЫ^
0	AUTO	PART_SPOILER_0	СЕРИЙНЫЕ
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Укрытие
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Бесконечный запас ускорения времени!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Эффект движения^
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	ОПАСНОСТЬ^
0	AUTO	VINYL_PART_LOGO_CAR	ТУРБОНАДДУВ
0	AUTO	VINYL_PART_LOGO_COP	ЩИТ
0	AUTO	VINYL_PART_LOGO_CUP	ТРОФЕЙ
0	AUTO	VINYL_PART_LOGO_RAM	БАРАН
0	AUTO	VINYL_PART_LOGO_WMD	РАКЕТА
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Вы достигли %d уровня опыта! %s: доступ открыт
0	AUTO	VINYL_PART_LOGO_PHOENIX	ФЕНИКС
0	AUTO	CUST_ROTATECAMERA	Осмотр
0	AUTO	VINYL_PART_NF_HUNGARY	ВЕНГРИЯ
0	AUTO	SUBTITLES_DEMO_MOVIE_1	
0	AUTO	SUBTITLES_DEMO_MOVIE_2	
0	AUTO	SUBTITLES_DEMO_MOVIE_3	
0	AUTO	SUBTITLES_DEMO_MOVIE_4	
0	AUTO	SUBTITLES_DEMO_MOVIE_5	
0	AUTO	SUBTITLES_DEMO_MOVIE_6	
0	AUTO	SUBTITLES_DEMO_MOVIE_7	
0	AUTO	SUBTITLES_DEMO_MOVIE_8	
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Да. Я слышал, что ты вернулся. Но лучше бы ты исчез навсегда.
0	AUTO	UNLOCKABLE_RHINO	Доступен джип для заездов!
0	AUTO	WM_LEGEND_EVENT	Гонка
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Тебя задержали. Ты можешь откупиться от копов деньгами или жетоном откупа.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	ГЛАВАРЬ
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*ПОГОНЯ*
0	AUTO	ON_LOGIN_RETRIEVEPASS	УТЕРЯН ПАРОЛЬ
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*ЗАХВАЧЕНО*
0	AUTO	TIP_PURSUITS_HEADER	ПРЕСЛЕДОВАНИЯ^
