#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Russian_InGame.bin
#	File created on: 2025-05-15 19:01:48
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	СРЕД. ДЛИНА
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*ТЕРРИТОРИЯ ЗАХВАЧЕНА*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Начать карьеру с этим автомобилем?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	СТОЛКНОВЕНИЕ %$d ОЧКОВ
0	AUTO	POSTRACE_CREW_INVITE	Приглашение в команду
0	AUTO	HUD_YOUR_TIME	ВРЕМЯ:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	СВОБОДНОЕ ВОЖДЕНИЕ
0	AUTO	HUD_SHIFT_PERFECT	БЕЗУПРЕЧНО!
0	AUTO	HUD_DRIFT_KEEP_MOVING	ДАЛЬШЕ!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	ПАРИ ВЫИГРАНО
0	AUTO	HUD_WRNONG_WAY	НЕВЕРНОЕ НАПРАВЛЕНИЕ!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	ЗАНОС ЗАВЕРШЕН
0	AUTO	QR_GHOST_UPLOAD	Поздравляем! Вы вошли в тройку лучших на этой трассе! Ваш двойник загружается на сервер NeedforSpeed.com как пример другим игрокам!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	ЭТАП 1 ИЗ 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	БЕЗУКОРИЗНЕННО
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	РАДАР
0	AUTO	SMS_FROM	ОТ:
0	AUTO	SMS_TEXT	Текст
0	AUTO	HUD_DRIFT_POINTS_EARNED	ЗАРАБОТАННЫЕ ОЧКИ
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s ВЫИГРАЛИ*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	ПРОТИВНИК ВЫВЕДЕН ИЗ СТРОЯ!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	ТЫ ПРОИГРАЛ
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Зайти в автосалон?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Ожидание противников:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Ты поставил новый рекорд для этой трассы!
0	AUTO	OL_NEW_GHOST	НОВЫЙ ДВОЙНИК
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Вернуться в город?^Все несохраненные данные будут утеряны.
0	AUTO	HUD_COPDESTROYED_COPSUVL	ЛЕГКИЙ ДЖИП^РЕЙТИНГ: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Перейти в убежище
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Контр. точки
0	AUTO	HUD_CANYON_RATING_0	БЫСТРЕЕ!
0	AUTO	HUD_CANYON_RATING_1	МЕДЛЕННО
0	AUTO	HUD_CANYON_RATING_2	СРЕДНЕ
0	AUTO	HUD_CANYON_RATING_3	ХОРОШО!
