#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Swedish_Global.bin
#	File created on: 2025-05-10 15:29:30
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Aktivera gängmedlem
0	AUTO	PART_PERF_NITROUS_1	Torrt lustgaskit
0	AUTO	PART_PERF_NITROUS_2	Lustgasreningssystem
0	AUTO	PART_PERF_NITROUS_3	10 lb lustgasflaska
0	AUTO	PART_PERF_NITROUS_4	Vått lustgaskit
0	AUTO	PART_PERF_NITROUS_5	Lustgasvärmare
0	AUTO	PART_PERF_NITROUS_6	15 lb lustgasflaska
0	AUTO	PART_PERF_NITROUS_7	Direktinsprutning av lustgas
0	AUTO	PART_PERF_NITROUS_8	Tryckvakt för lustgas
0	AUTO	PART_PERF_NITROUS_9	20 lb lustgasflaska
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno-vinyl
0	AUTO	RCO_REWARD_003	Rotor4-vinyl
0	AUTO	RCO_REWARD_004	BBS RX-däck
0	AUTO	RCO_REWARD_005	Los Colibris-vinyl
0	AUTO	RCO_REWARD_006	BBS CH-däck
0	AUTO	RCO_REWARD_007	BBS LM-däck
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Mooo! Vinyl
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	JAKTER
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zooma
0	AUTO	STAT_NUM_TIMES_RACED	Antal körda race
0	AUTO	TIP_CREWS_HEADER	HANTERA GÄNG^
0	AUTO	PART_SPOILER_0	STANDARD
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Gömställen
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	Oändlig speedbreaker!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Rörelseoskärpa
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	ZONSPANING
0	AUTO	VINYL_PART_LOGO_CAR	TURBO
0	AUTO	VINYL_PART_LOGO_COP	SKÖLD
0	AUTO	VINYL_PART_LOGO_CUP	TROFÉ
0	AUTO	VINYL_PART_LOGO_RAM	BOCK
0	AUTO	VINYL_PART_LOGO_WMD	RAKET
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	Uppnått Online-erfarenhetsnivå %d! Du har låst upp: %s
0	AUTO	VINYL_PART_LOGO_PHOENIX	FENIX
0	AUTO	CUST_ROTATECAMERA	Rotera kamera
0	AUTO	VINYL_PART_NF_HUNGARY	UNGERN
0	AUTO	SUBTITLES_DEMO_MOVIE_1	Jag förväntade mig inte att se dig här igen.
0	AUTO	SUBTITLES_DEMO_MOVIE_2	Saker och ting har förändrats här. Det här stället är en stridszon numera.
0	AUTO	SUBTITLES_DEMO_MOVIE_3	Trimbilar
0	AUTO	SUBTITLES_DEMO_MOVIE_4	Muskelbilar
0	AUTO	SUBTITLES_DEMO_MOVIE_5	Exotiska bilar
0	AUTO	SUBTITLES_DEMO_MOVIE_6	Gäng som slåss för områdena i stan.
0	AUTO	SUBTITLES_DEMO_MOVIE_7	Och allt avgörs i Canyonrace.
0	AUTO	SUBTITLES_DEMO_MOVIE_8	Men du skulle aldrig överleva det.
0	AUTO	SUBTITLES_DEMO_MOVIE_9	Jag hörde att du var tillbaka i stan. ^Nu vill jag bara att du ska försvinna igen.
0	AUTO	UNLOCKABLE_RHINO	Rhino upplåst för snabbrace!
0	AUTO	WM_LEGEND_EVENT	Tävling
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	Du har blivit arresterad av polisen i Palmont City och din bil har försetts med en beslagsorder. Du kan antingen betala dina böter med pengar eller med ett fängelsefrikort.
0	AUTO	VINYL_PART_BOSS_BUSHIDO	GÄNGLEDARE
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*JAKT*
0	AUTO	ON_LOGIN_RETRIEVEPASS	GLÖMT LÖSENORD
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*ERÖVRAD*
0	AUTO	TIP_PURSUITS_HEADER	JAKTER^
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	FÖRSVARSRACE
0	AUTO	HUD_FINISH_SIXTEEN	DU SLUTADE PÅ SEXTONDE PLATS
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	Svart version 1
0	AUTO	PART_COLLECTORS_EDITION_02	Svart version 2
0	AUTO	PART_COLLECTORS_EDITION_03	Svart version 3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
