#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Swedish_InGame.bin
#	File created on: 2025-05-10 15:29:35
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	MEDELLÄNGD
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*OMRÅDE ERÖVRAT*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Vill du använda den här bilen när du startar din karriär?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLLISION %$d POÄNG
0	AUTO	POSTRACE_CREW_INVITE	Gänginbjudan
0	AUTO	HUD_YOUR_TIME	DIN TID:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	AVSLUTA TILL FRI KÖRNING
0	AUTO	HUD_SHIFT_PERFECT	PERFEKT VÄXLING!
0	AUTO	HUD_DRIFT_KEEP_MOVING	GASA!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	MILSTOLPE UPPNÅDD
0	AUTO	HUD_WRNONG_WAY	FEL HÅLL!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	SLADD HÄVD
0	AUTO	QR_GHOST_UPLOAD	Grattis! Du har satt ett nytt topp 3-rekord för den här banan! En skugga av din insats laddas upp till NeedforSpeed.coms rankinglista så att andra spelare kan utmana dig.
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	OMGÅNG 1 AV 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFEKT ANSATS!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	HASTIGHETSKONTROLL
0	AUTO	SMS_FROM	Från:
0	AUTO	SMS_TEXT	Text
0	AUTO	HUD_DRIFT_POINTS_EARNED	INTJÄNADE POÄNG
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s VANN*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	MOTSTÅNDAREN KRASCHADE!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	DU FÖRLORADE
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Är du säker på att du vill till bilhandlaren?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Väntar på övriga motståndare:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Du slog highscore på banan!
0	AUTO	OL_NEW_GHOST	NY SKUGGBIL
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Är du säker på att du vill avsluta till fri körning?^Alla raceframsteg kommer att förloras.
0	AUTO	HUD_COPDESTROYED_COPSUVL	LÄTT SUV^BELÖNING: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Till ditt tillhåll
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Visa checkpoints
0	AUTO	HUD_CANYON_RATING_0	SKYNDA!
0	AUTO	HUD_CANYON_RATING_1	LÅNGSAMT
0	AUTO	HUD_CANYON_RATING_2	MEDELBRA
0	AUTO	HUD_CANYON_RATING_3	BRA!
0	AUTO	HUD_CANYON_RATING_4	MYCKET BRA!
0	AUTO	HUD_CANYON_RATING_5	OTROLIGT!
0	AUTO	HUD_SHIFT_EARLY	TIDIG VÄXLING!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*OMGÅNGAR*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	TRAFIKKOLLISIONER
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Visa varv
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	POÄNGZON BÖRJAR!
0	AUTO	MENU_POSTRACE_REP_REWARD	Respektbelöning
0	AUTO	HUD_SHIFT_GOOD	BRA VÄXLING!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	HÄRLIG SLADD
0	AUTO	MENU_POSTRACE_CASH_REWARD	Prispengar
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*GÄNGUTMANING*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	Väntar på slutresultat
0	AUTO	HUD_DRIFT_NICE_DRIFT	FIN SLADD
0	AUTO	OL_SAVE_GHOST	SKUGGBIL
0	AUTO	MENU_PAUSE_WORLD_MAP	VÄRLDSKARTA
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS-ANSLUTNING BRUTEN^ANSLUTER...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Slå motståndarens poängsumma
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	DU KÖRDE OM MOTSTÅNDAREN!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	TESTKÖRNINGEN AVKLARAD
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	BELÖNINGSKORT UPPLÅST!
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Visa översikt
0	AUTO	HUD_CHECKPOINT	CHECKPOINT
0	AUTO	HUD_BOUNTY	BELÖNING
0	AUTO	MENU_POSTRACE_WIN	*DITT GÄNG VANN*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	SNYGGT JOBBAT!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	AKTIVERA NU^Tryck på aktivera gängmedlem-knappen
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*CHECKPOINT*
0	AUTO	HUD_DRIFT_RACE_OVER	RACE AVSLUTAT!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Är du säker på att du vill starta om racet?^Alla resultat kommer att försvinna.
0	AUTO	HUD_SPEEDTRAP	KONTROLL
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	Du har blivit utmanad av ett rivaliserande gäng! Välj en mållinje. Först dit vinner.
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	Återgå till fri körning
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*SLUTFÖRD*
0	AUTO	MENU_PAUSE_TITLE	*PAUS*
0	AUTO	HUD_IMMUNE	IMMUN
0	AUTO	MENU_POSTRACE_POSITION	POSITION
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	FEDERAL CIVILBIL^BELÖNING: %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	FEDERAL JAKTBIL^BELÖNING: %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	Du lyckades inte fly från Cross.
0	AUTO	SMS_CONFIRM_DELETE	Är du säker på att du vill ta bort SMS-meddelandet?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Tillbaka till spelrummet om:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	FÖR LÅNGSAMT!
0	AUTO	HUD_COMPLETE	AVKLARAT
0	AUTO	HUD_PASSED	OMKÖRD!
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	Vunna belöningskort:
0	AUTO	COP_ESCAPE_DONE	DU LYCKADES SMITA!
0	AUTO	HUD_GO	KÖR!
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	DU BLEV OMKÖRD!
0	AUTO	HUD_SPLIT_SCORE	DELPOÄNG:
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	STATLIG CIVILBIL^BELÖNING: %$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	Vill du ha GPS till ett tillhåll?
0	AUTO	POST_RACE_RACER_PROFILE	FÖRARPROFIL
0	AUTO	HUD_NEXT_CHECKPOINT	NÄSTA CHECKPOINT:
0	AUTO	MENU_POSTRACE_SPEEDTRAPS_TITLE	*HASTIGHETSKONTROLL*
0	AUTO	TITLE_DEFENCE_RACE	*FÖRSVARSRACE*
0	AUTO	SMS_SUBJECT	Ämne:
0	AUTO	MENU_POSTRACE_BEST_SPEEDTRAP_SPEED	HÖGSTA HASTIGHET I H.KONTROLL
0	AUTO	HUD_DRIFT_SPUN_OUT	SLADDADE AV!
0	AUTO	SMS_MAILBOX	*BREVLÅDA*
0	AUTO	HUD_DRIFT_AMAZING_DRIFT	OTROLIG SLADD!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_ONE	DU KÖRDE OM MOTSTÅNDAREN!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_TWO	DU DRAR IFRÅN!
0	AUTO	MENU_POSTRACE_STILL_RACING	I race
0	AUTO	MENU_POSTRACE_LEG_ONE_TIME	ETAPP 1 - TID
0	AUTO	EATRAX_TICKER_SCORED	Musik komponerad till Need for Speed™ Carbon
0	AUTO	MENU_POSTRACE_AVERAGE_SPEEDTRAP_SPEED	MEDELHASTIGHET I H.KONTROLLERNA
0	AUTO	MENU_POSTRACE_TIME_BEHIND	TIDSKILLLNAD TILL SEGRAREN
0	AUTO	HUD_FINISH_YOU_LOST	DU FÖRLORADE!
0	AUTO	MENU_POSTRACE_TOLLBOOTH_LOSE	FÖR LÅNGSAMT!
0	AUTO	HUD_DRIFT_POINTS_LOST	FÖRLORADE POÄNG
0	AUTO	HUD_CANYON_COLLISION_BONUS	PERFEKT KÖRNING +%$d POÄNG
0	AUTO	MENU_CM_HIRE_NOT_ENOUGH_MONEY	Du har inte tillräckligt med pengar för att anlita gängmedlemmen!
0	AUTO	HUD_LAP	VARV
0	AUTO	MENU_POSTRACE_WINGMAN_FINISHED_FIRST	GÄNGMEDLEMMEN VANN
0	AUTO	MENU_POSTRACE_WIN_NO_CREW	*DU VANN*
0	AUTO	HUD_SPEEDTRAP_PENALTY	HASTIGHETSAVDRAG
0	AUTO	MENU_PAUSE_JUMP_TO_SAFEHOUSE	TILLBAKA TILL DITT TILLHÅLL
0	AUTO	QR_GHOST_UPLOAD_ERROR	Ett fel uppstod när skuggbilen laddades upp
0	AUTO	HUD_DRIFT_GOOD_DRIFT	SNYGG SLADD
0	AUTO	HUD_COPDESTROYED_COPCROSS	CROSS^BELÖNING: %$d
0	AUTO	HUD_COPDESTROYED_COPGHOST	LOKAL CIVILBIL^BELÖNING: %$d
0	AUTO	HUD_DRIFT_AWESOME_DRIFT	FANTASTISK SLADD!
0	AUTO	HUD_DRIFT_BONUS_ZONE	BONUSZON
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_CAREER	Vill du avsluta och gå tillbaka till huvudmenyn för karriärspel? Alla framsteg i spelet kommer att försvinna.
0	AUTO	HUD_FOLLOWING	DU JAGAR
0	AUTO	POST_RACE_EXIT	Avsluta
0	AUTO	HUD_COPDESTROYED_COPGTO	DELSTATSJAKTBIL^BELÖNING: %$d
0	AUTO	HUD_COPDESTROYED_COPSUV	TUNG SUV^BELÖNING: %$d
0	AUTO	DIALOG_MSG_CONFIRM_JUMP_TO_SAFEHOUSE	Är du säker på att du vill gå direkt till ditt tillhåll?^Alla framsteg kommer försvinna.
0	AUTO	HUD_COST_TO_STATE	KOSTNAD FÖR STATEN
0	AUTO	MENU_PAUSE_RESTART	STARTA OM
0	AUTO	MENU_POSTRACE_PREWARD_CARD	Belöningskort:
0	AUTO	MENU_PAUSE_RESUME_RACE	Återgå till race
0	AUTO	HUD_DRIFT_COMBO_MULTIPLIER	KOMBOMULTIPLIKATOR
0	AUTO	MENU_POSTRACE_STANDINGS	*RESULTAT*
0	AUTO	HUD_DRIFT_SCORING_ZONE_FINISH	POÄNGZON SLUT!
0	AUTO	DIALOG_MSG_CONFIRM_JUMP_TO_SAFEHOUSE_NO_WARNINGS	Är du säker på att du vill gå direkt till ditt tillhåll?
0	AUTO	MENU_POSTRACE_TOTAL_SPEED	TOTALHASTIGHET
0	AUTO	MENU_POSTRACE_CHECKPOINT	CHECKPOINT
0	AUTO	HUD_CANYON_OVER_THE_CLIFF	ÖVER BRANTEN!
0	AUTO	SMS_MAILBOXES	Brevlådor
0	AUTO	MC_OVERWRITE	Skriv över
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_RACE_TIME_LEFT	RACETID KVAR
0	AUTO	POST_RACE_SAVE_GHOST	Skuggbil
0	AUTO	DEMO_BEAT_CIRCUIT_BEST_TIME	Du slog den bästa tiden på banan!
0	AUTO	SUBTITLES_NIS_INTROCAREER01_01	Du skulle ha hållit dig undan. Vad folk än trodde om dig förr, så kommer de inte att tvivla efter det här.
0	AUTO	SUBTITLES_NIS_INTROCAREER02_01	Du minns väl mig?
0	AUTO	SUBTITLES_NIS_INTROCAREER02_02	Det tror jag inte. Om du gjorde det skulle du inte sitta här nu.
0	AUTO	SUBTITLES_NIS_INTROCAREER03_01	Du tvingade mig att vänta.
0	AUTO	SUBTITLES_NIS_INTROCAREER03_02	Jag är förvånad över att du är dum nog att dyka upp alls.
0	AUTO	SUBTITLES_NIS_INTROCAREER04_01	Vet du vad jag gjorde för pengarna? Som du åkte dit för?
0	AUTO	SUBTITLES_NIS_INTROCAREER04_02	Jag köpte Nikki alla saker som du inte hade råd med.
0	AUTO	SUBTITLES_NIS_INTROCAREER06_01	Neville!? Lägg av! Jag har inte tid med sånt här.
0	AUTO	SUBTITLES_NIS_INTROCAREER06_02	Nikki är bra. Lyssna på henne. Jag finns i krokarna och ser till att hon inte är för hård mot dig.
0	AUTO	SUBTITLES_NIS_INTROCAREER06_03	Okej, kom igen, så får vi det här överstökat.
0	AUTO	SUBTITLES_NIS_INTROCAREER07_01	Jaså, du har varit borta ett tag, du är väl från Rockport?
0	AUTO	SUBTITLES_NIS_INTROCAREER07_02	Mycket har ändrats sen du drog, det finns drivor med gäng i stan.^Helt vrickat!
0	AUTO	SUBTITLES_NIS_INTROCAREER07_03	Se upp, snuten!
0	AUTO	SUBTITLES_NIS_INTROCAREER07_04	Kolla in det här!
0	AUTO	SUBTITLES_NIS_INTROCAREER07_05	Rena kaffekvarnen, baby!
0	AUTO	SUBTITLES_NIS_INTROCAREER07_06	Jag täcker dig. Jag lockar bort snutarna. Håll plattan i mattan.
0	AUTO	SMS_VOICE	Röstmeddelande
0	AUTO	HUD_GPS_CONNECTION_LOST	GPS-ANSLUTNING BRUTEN
0	AUTO	DIALOG_MSG_CONFIRM_EXIT	Är du säker på att du vill avsluta?^Alla dina framsteg kommer att försvinna.
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE_CANYON	Är du säker på att du vill starta om tävlingen?^Då startar tävlingen om i början av första omgången!
0	AUTO	MENU_POSTRACE_VIEW_STAGES	Visa omgångar
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_SAFEHOUSE	Är du säker på att du vill gå in i ditt tillhåll?
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_BEHIND	FÖRAREN FRÅNKÖRD!
0	AUTO	HUD_LAUNCH_PERFECT	PERFEKT START!
0	AUTO	SUBTITLES_NIS_ENDINGCAREERCG20_01	Jag styr allt, snuten och förarna. Jag har styrt dig från första början.
0	AUTO	MENU_POSTRACE_PREWARD_CARD_REWARD	Kortpriser:
0	AUTO	SUBTITLES_NIS_INTRO24_01	Det här är sista chansen att inse fakta och backa ur.
0	AUTO	SUBTITLES_NIS_INTRO25_01	Du är färdig nu, pysen.
0	AUTO	SUBTITLES_NIS_INTRO26_01	Kom igen.
0	AUTO	SUBTITLES_NIS_INTRO27_01	Ingen kommer i närheten av mig.
0	AUTO	HUD_DRIFT_HIT_THE_WALL	VÄGGTRÄFF!
0	AUTO	MENU_POSTRACE_CHECKPOINT_WON	Du gick i mål i tid
0	AUTO	MENU_POSTRACE_VIEW_STANDINGS	Visa resultat
0	AUTO	HUD_TACH_KPH	KM/H
0	AUTO	HUD_TACH_MPH	MPH
0	AUTO	SUBTITLES_NIS_ENDINGCAREER10_01	Du har talang, pysen. Det har jag alltid sagt. Nu börjar de andra också tro på mig. Ge inte upp nu, du är nära.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER11_01	Jag hörde att du var tillbaka i stan. ^Nu vill jag bara att du ska försvinna igen.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER12_01	Jag vet inte vad som är mest patetiskt, ditt gäng eller din bil.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER15_01	Jag hörde att du var i stan. Visst... Åk tillbaka dit du kom från.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER16_01	Tänker du skaffa dig ett rykte? Fortsätt tävla genom mitt område så ska jag mosa både dig och ditt rykte.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER18_01	Hur lång tid tog det att göra av med alla stålar du snodde av mig?
0	AUTO	SUBTITLES_NIS_ENDINGCAREER19_01	Du har nog kommit fel, det här området är för riktiga förare. Inte tjuvar och fegisar.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER23_01	Darius gav dig det här tillhållet. Här kan du fixa till din bil eller tagga ner när de spanar efter dig.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER23_02	Du behöver en medhjälpare, och det ser ut att bli jag.^Häng med in.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER24_01	Så, det är allt du behöver för att sätta igång. Jag slösar inte mer tid på dig.
0	AUTO	SUBTITLES_NIS_ENDINGCAREER24_02	Det är visst bara du och jag. Nu letar vi reda på lite trubbel.
