#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Thai_Frontend.bin
#	File created on: 2025-05-15 19:01:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*เปลี่ยนรูปร่างไวนิล*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	น็อคเอาท์
0	AUTO	MENU_CREW_LOGO	โลโก้ทีม
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	การ์ดปราบบอสเหล่านี้ประกอบไปด้วย โบนัสเงินสด, การ์ดออกจากคุก, เพิ่มจำนวนครั้งที่ถูกทำเครื่องหมายก่อนถูกยึดรถ และใบเดิมพันรถของคู่แข่งที่คุณเอาชนะได้
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ ให้คุณได้ปรับแต่งรถของคุณตามชอบด้วยการประดิษฐ์ชิ้นส่วนอะไหล่ของคุณเอง^คุณสามารถแก้ไขตัวถังรถ ล้อ กระโปรงหน้า สปอยเลอร์ และหลังคาเพื่อสร้างอะไหล่อย่างที่คุณต้องการ^การปรับแต่งตามใจชอบไม่ได้หยุดอยู่แค่นั้น เพราะคุณสามารถพ่นสีตามที่คุณชอบ เพิ่มไวนิลและสติ๊กเกอร์ที่ปรับแต่งได้ และติดตั้งอะไหล่ประสิทธิภาพสูงเพื่อสร้างรูปแบบทีมที่เป็นเอกลักษณ์ ไม่ว่าจะเป็นจูนเนอร์ มัสเซิล หรือเอ็กโซติค
0	AUTO	CHAL_COMPLETED	เสร็จสิ้นแล้ว
0	AUTO	MC_CONFIRM_CREATE_PROFILE	สร้างสมญานามใหม่ไหม? ถ้าคุณไม่สร้างสมญานามใหม่ การเปลี่ยนแปลงต่างๆ จะสูญหาย
0	AUTO	CHAL_SELECT_CREW_MODE	เลือกโหมดท้าทายแบบร่วมมือ
0	AUTO	CUST_PARTS_WHEELS_TITLE	*ล้อ*
0	AUTO	MARKER_NAME_TRANSMISSION	ชุดอัพเกรดระบบส่งกำลังรุ่นพิเศษ
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*สีไวนิล*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	คุณมีเงินไม่พอซื้ออะไหล่พวกนี้ทั้งหมด กรุณาหยิบสินค้าบางชิ้นออกจากรถเข็น
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finnish
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	หน้าปัดรุ่นพิเศษไว้ใช้กับรถคันใดก็ได้ที่คุณมี
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	ชุดอัพเกรดไนตรัสรุ่นพิเศษไว้ใช้กับรถคันใดก็ได้ที่คุณมี
0	AUTO	STAT_PERC_AS_POLICE	เป็นตำรวจ % %
0	AUTO	HELP_RACE	แข่ง
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	ต้องชนะการแข่งอาชีพห้าครั้ง
0	AUTO	CHAL_SOLO_CHALLENGE	การท้าทายเดี่ยว
0	AUTO	MENU_MAIN_TITLE_CAREER	*อาชีพ *
0	AUTO	STAT_NUM_TIMES_BUSTED	จำนวนครั้งที่โดนจับ
0	AUTO	CUST_PARTS_WHEELS	ล้อ
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	ลูกทีมที่จ้าง
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	คุณได้รับเงินสดพิเศษ %$d
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	ชุดอัพเกรดกระโปรงหน้ารุ่นพิเศษไว้ใช้กับรถคันใดก็ได้ที่คุณมี
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	ชุดอัพเกรดล้อรุ่นพิเศษไว้ใช้กับรถคันใดก็ได้ที่คุณมี
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	ชุดอัพเกรดยางรุ่นพิเศษไว้ใช้กับรถคันใดก็ได้ที่คุณมี
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	สร้าง
0	AUTO	CUST_RIDE_HEIGHT_DROP	ลดความสูงรถ
0	AUTO	HELP_CAREER_CONTROLS	การควบคุมของอาชีพ
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	สไตล์ทีม
0	AUTO	POST_RACE_PURSUIT_STATS	สถิติการหลบหนีการไล่ล่า
0	AUTO	MC_DELETE	ลบ
0	AUTO	MENU_QUICKRACE_GHOST_TIME	คะแนนของเงา
0	AUTO	CUST_VINYL_GRADIENT_0_0	ไล่สี 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	ไล่สี 1
0	AUTO	RC_NAME_104	นักปราบหัวปิงปอง
0	AUTO	LANG_SWEDISH	Swedish
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
