#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Thai_Global.bin
#	File created on: 2025-05-15 19:02:10
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	เอชดี
0	AUTO	GAME_ACTION_CREWDEFENSIVE	เปิดใช้งานลูกทีม
0	AUTO	PART_PERF_NITROUS_1	ชุดยิงไนตรัสแบบแห้ง
0	AUTO	PART_PERF_NITROUS_2	ชุดฟอกไนตรัส
0	AUTO	PART_PERF_NITROUS_3	ขวดไนตรัสขนาด 10 ปอนด์
0	AUTO	PART_PERF_NITROUS_4	ชุดยิงไนตรัสแบบเปียก
0	AUTO	PART_PERF_NITROUS_5	ตัวเพิ่มความร้อน ขวดไนตรัส
0	AUTO	PART_PERF_NITROUS_6	ขวดไนตรัสขนาด 15 ปอนด์
0	AUTO	PART_PERF_NITROUS_7	ชุดไนตรัสแบบต่อสายตรง
0	AUTO	PART_PERF_NITROUS_8	ตัวควบคุมแรงกดไนตรัส
0	AUTO	PART_PERF_NITROUS_9	ขวดไนตรัสขนาด 20 ปอนด์
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	ไวนิล Inferno
0	AUTO	RCO_REWARD_003	ไวนิล Rotor4
0	AUTO	RCO_REWARD_004	ชุดล้อ BBS RX
0	AUTO	RCO_REWARD_005	ไวนิล Los Colibris
0	AUTO	RCO_REWARD_006	ชุดล้อ BBS CH
0	AUTO	RCO_REWARD_007	ชุดล้อ BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	ไวนิล Mooo!
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	การหลบหนีการไล่ล่า
