#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\CarbonMod\RAW\Thai_InGame.bin
#	File created on: 2025-05-15 19:02:16
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	ระยะทางเฉลี่ย
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*พื้นที่ที่พิชิตได้*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	คุณต้องการจะใช้รถคันนี้เพื่อเริ่มอาชีพของคุณหรือไม่?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	มีการชน %$d คะแนน
0	AUTO	POSTRACE_CREW_INVITE	คำเชิญทีม
0	AUTO	HUD_YOUR_TIME	เวลาของคุณ:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	ออกไปสู่การขับรถอิสระ
0	AUTO	HUD_SHIFT_PERFECT	ขึ้นเกียร์ได้สมบูรณ์แบบ!
0	AUTO	HUD_DRIFT_KEEP_MOVING	ไปต่อเร็ว!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	การหลบหนีไล่ล่าประสบผลสำเร็จ
0	AUTO	HUD_WRNONG_WAY	ผิดทาง!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	ดริฟต์สิ้นสุด
0	AUTO	QR_GHOST_UPLOAD	ขอแสดงความยินดี คุณได้ทำคะแนนใหม่ติด 1 ใน 3 อันดับแรกในสนามแข่งนี้! เงาที่แสดงการขับของคุณกำลังถูกอัพโหลดไปที่ กระดานผู้นำของ NeedforSpeed.com เพื่อให้ผู้เล่นอื่นได้ท้าทาย!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	ช่วงที่ 1 จากทั้งหมด 2 ช่วง
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	เข้าได้เพอร์เฟคท์!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	การตรวจจับความเร็ว
0	AUTO	SMS_FROM	จาก:
0	AUTO	SMS_TEXT	ขอความ
0	AUTO	HUD_DRIFT_POINTS_EARNED	(ได้คะแนน)
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s ชนะ*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	คู่ต่อสู้ชนพัง!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	คุณแพ้
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	คุณแน่ใจหรือว่าอยากจะเข้าไปในโชว์รูม?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	กำลังรอคู่ต่อสู้คนอื่น:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	คุณทำสถิติคะแนนสูงสุดสำหรับสนามนี้!
0	AUTO	OL_NEW_GHOST	เงาใหม่
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	คุณแน่ใจหรือว่าต้องการออกไปที่การขับอิสระ? ความก้าวหน้าในการแข่งทั้งหมดจะสูญหาย
0	AUTO	HUD_COPDESTROYED_COPSUVL	รถ SUV เบา^ค่าหัว: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	ไปที่เซฟเฮ้าส์
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	ดูจุดเช็ค
0	AUTO	HUD_CANYON_RATING_0	เร็วเข้า!
0	AUTO	HUD_CANYON_RATING_1	ช้า
0	AUTO	HUD_CANYON_RATING_2	ปานกลาง
0	AUTO	HUD_CANYON_RATING_3	ดี!
0	AUTO	HUD_CANYON_RATING_4	เยี่ยม!
0	AUTO	HUD_CANYON_RATING_5	สุดยอด!
0	AUTO	HUD_SHIFT_EARLY	ขึ้นเกียร์เร็วไป!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*ช่วง*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	การชนบนเส้นทางจราจร
0	AUTO	MENU_POSTRACE_VIEW_LAPS	ดูตามรอบ
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	เริ่มโซนทำคะแนน!
0	AUTO	MENU_POSTRACE_REP_REWARD	รางวัลชื่อเสียง
0	AUTO	HUD_SHIFT_GOOD	ขึ้นเกียร์ได้ดี!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	ดริฟต์ได้เยี่ยม!
0	AUTO	MENU_POSTRACE_CASH_REWARD	รางวัลเงินสด
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*การท้าทายของทีม*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	กำลังรอผลขั้นสุดท้าย
0	AUTO	HUD_DRIFT_NICE_DRIFT	ดริฟต์สวย
0	AUTO	OL_SAVE_GHOST	เงา
0	AUTO	MENU_PAUSE_WORLD_MAP	แผนที่โลก
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	การเชื่อมต่อจีพีเอสหลุด^กำลังเชื่อมต่อใหม่...
0	AUTO	MENU_POSTRACE_SCORE_WIN	ทำคะแนนให้ดีกว่าคะแนนคู่ต่อสู้ของคุณ
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	แซงคู่ต่อสู้แล้ว!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	การขับทดสอบเสร็จสิ้น
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	ปลดล็อคการ์ดรางวัลได้แล้ว!
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	ดูสรุปรวม
0	AUTO	HUD_CHECKPOINT	จุดเช็ค
0	AUTO	HUD_BOUNTY	ค่าหัว
0	AUTO	MENU_POSTRACE_WIN	*ทีมคุณชนะ*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	ทำได้ดี!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	เปิดใช้งานเดี๋ยวนี้^กดปุ่มเปิดใช้งานลูกทีม
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*จุดเช็ค *
0	AUTO	HUD_DRIFT_RACE_OVER	การแข่งจบแล้ว!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	คุณแน่ใจหรือว่าต้องการจะเริ่มแข่งใหม่? ความก้าวหน้าในการแข่งทั้งหมดจะสูญหาย
0	AUTO	HUD_SPEEDTRAP	จับความเร็ว
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	คุณถูกท้าทายจากคู่แข่งให้ลงแข่งขัน! เลือกเส้นชัย ใครถึงก่อนชนะ
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	ขับรถอิสระต่อ
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*เสร็จสมบูรณ์*
0	AUTO	MENU_PAUSE_TITLE	*หยุดชั่วคราว*
0	AUTO	HUD_IMMUNE	พ้นอันตราย
0	AUTO	MENU_POSTRACE_POSITION	ตำแหน่ง
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	รถสายลับระดับชาติ^ค่าหัว: %$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	รถไล่ล่าระดับชาติ^ค่าหัว: %$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	คุณหนีครอสไม่พ้น
0	AUTO	SMS_CONFIRM_DELETE	คุณแน่ใจหรือว่าต้องการลบข้อความเอสเอ็มเอสนี้?
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	กำลังกลับเข้าไปในห้องเกมใน:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	ช้าไป!
0	AUTO	HUD_COMPLETE	วิ่งมาทั้งหมด
0	AUTO	HUD_PASSED	ผ่านแล้ว!
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	ได้การ์ดรางวัล:
0	AUTO	COP_ESCAPE_DONE	หลบหนีการไล่ล่าสำเร็จ!
0	AUTO	HUD_GO	ไป!
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	ถูกแซง!
0	AUTO	HUD_SPLIT_SCORE	คะแนนทิ้งระยะ:
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	รถสายลับระดับรัฐ^ค่าหัว: %$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	คุณต้องการใช้ระบบจีพีเอสไปยังเซฟเฮ้าส์หรือไม่?
0	AUTO	POST_RACE_RACER_PROFILE	โปรไฟล์นักแข่งหลังการแข่ง
0	AUTO	HUD_NEXT_CHECKPOINT	จุดเช็คต่อไป:
0	AUTO	MENU_POSTRACE_SPEEDTRAPS_TITLE	*การตรวจจับความเร็ว*
0	AUTO	TITLE_DEFENCE_RACE	*แข่งป้องกัน*
0	AUTO	SMS_SUBJECT	เรื่อง:
0	AUTO	MENU_POSTRACE_BEST_SPEEDTRAP_SPEED	ความเร็วที่ดีที่สุดในการตรวจจับความเร็ว
0	AUTO	HUD_DRIFT_SPUN_OUT	หมุนออกไป!
0	AUTO	SMS_MAILBOX	*กล่องรับจดหมาย*
0	AUTO	HUD_DRIFT_AMAZING_DRIFT	ดริฟต์ได้แจ๋ว!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_ONE	ขึ้นนำคู่แข่งแล้ว!
0	AUTO	HUD_CANYON_PLAYER_AHEAD_OF_SCORING_ZONE_LEG_TWO	แซงให้ขาดเลย!
0	AUTO	MENU_POSTRACE_STILL_RACING	ยังแข่งอยู่
0	AUTO	MENU_POSTRACE_LEG_ONE_TIME	เวลาช่วงที่ 1
0	AUTO	EATRAX_TICKER_SCORED	ดนตรีในนีดฟอร์สปีด™ คาร์บอน
0	AUTO	MENU_POSTRACE_AVERAGE_SPEEDTRAP_SPEED	ความเร็วเฉลี่ยในการตรวจจับความเร็ว
0	AUTO	MENU_POSTRACE_TIME_BEHIND	เวลาตามหลัง
0	AUTO	HUD_FINISH_YOU_LOST	คุณแพ้!
0	AUTO	MENU_POSTRACE_TOLLBOOTH_LOSE	ช้าไป!
0	AUTO	HUD_DRIFT_POINTS_LOST	(เสียคะแนน)
0	AUTO	HUD_CANYON_COLLISION_BONUS	ไม่มีการชน +%$d คะแนน
0	AUTO	MENU_CM_HIRE_NOT_ENOUGH_MONEY	คุณไม่มีเงินพอจะจ้างลูกทีมคนนี้ได้!
0	AUTO	HUD_LAP	รอบ
0	AUTO	MENU_POSTRACE_WINGMAN_FINISHED_FIRST	ลูกทีมชนะ
0	AUTO	MENU_POSTRACE_WIN_NO_CREW	*คุณชนะ*
0	AUTO	HUD_SPEEDTRAP_PENALTY	โดนปรับความเร็ว
0	AUTO	MENU_PAUSE_JUMP_TO_SAFEHOUSE	ข้ามไปที่เซฟเฮ้าส์
0	AUTO	QR_GHOST_UPLOAD_ERROR	มีข้อผิดพลาดเกิดขึ้นระหว่างทำการอัพโหลดเงาของคุณ
0	AUTO	HUD_DRIFT_GOOD_DRIFT	ดริฟต์ได้ดี!
0	AUTO	HUD_COPDESTROYED_COPCROSS	ครอส^ค่าหัว: %$d
0	AUTO	HUD_COPDESTROYED_COPGHOST	รถลาดตระเวนของสายลับระดับเมือง^ค่าหัว: %$d
0	AUTO	HUD_DRIFT_AWESOME_DRIFT	ดริฟต์ได้สุดยอด!
0	AUTO	HUD_DRIFT_BONUS_ZONE	โบนัสโซน
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_CAREER	คุณแน่ใจหรือว่าต้องการจะออกไปที่เมนูหลักโหมดอาชีพ? ความก้าวหน้าในการแข่งทั้งหมดจะสูญหาย
0	AUTO	HUD_FOLLOWING	กำลังตาม
0	AUTO	POST_RACE_EXIT	ออกจากสรุปหลังการแข่ง
0	AUTO	HUD_COPDESTROYED_COPGTO	รถไล่ล่าระดับรัฐ^ค่าหัว: %$d
0	AUTO	HUD_COPDESTROYED_COPSUV	รถ SUV หนัก^ค่าหัว: %$d
0	AUTO	DIALOG_MSG_CONFIRM_JUMP_TO_SAFEHOUSE	คุณแน่ใจหรือว่าต้องการข้ามไปที่เซฟเฮ้าส์? ความก้าวหน้าทั้งหมดจะสูญหาย
0	AUTO	HUD_COST_TO_STATE	ระดับความเสียหาย
0	AUTO	MENU_PAUSE_RESTART	เริ่มใหม่
0	AUTO	MENU_POSTRACE_PREWARD_CARD	การ์ดรางวัล:
0	AUTO	MENU_PAUSE_RESUME_RACE	แข่งต่อ
0	AUTO	HUD_DRIFT_COMBO_MULTIPLIER	ตัวคูณคอมโบ
0	AUTO	MENU_POSTRACE_STANDINGS	*อันดับ*
0	AUTO	HUD_DRIFT_SCORING_ZONE_FINISH	เสร็จสิ้นโซนทำคะแนน!
0	AUTO	DIALOG_MSG_CONFIRM_JUMP_TO_SAFEHOUSE_NO_WARNINGS	คุณแน่ใจหรือว่าอยากจะข้ามไปที่เซฟเฮ้าส์?
0	AUTO	MENU_POSTRACE_TOTAL_SPEED	ความเร็วทั้งหมด
0	AUTO	MENU_POSTRACE_CHECKPOINT	จุดเช็ค
0	AUTO	HUD_CANYON_OVER_THE_CLIFF	ตกเหว!
0	AUTO	SMS_MAILBOXES	กล่องจดหมาย
0	AUTO	MC_OVERWRITE	เขียนทับ
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_RACE_TIME_LEFT	เหลือเวลาแข่ง
0	AUTO	POST_RACE_SAVE_GHOST	เงา
0	AUTO	DEMO_BEAT_CIRCUIT_BEST_TIME	คุณทำสถิติเวลาดีที่สุดสำหรับสนามนี้!
0	AUTO	SUBTITLES_NIS_INTROCAREER01_01	นายไม่ควรจะมาอยู่กับเขตแดนของฉัน^เรื่องที่คนอื่นเค้าสงสัยเกี่ยวกับนายท่าทางจะเป็นเรื่องจริงนะ
0	AUTO	SUBTITLES_NIS_INTROCAREER02_01	จำฉันได้มั้ย?
0	AUTO	SUBTITLES_NIS_INTROCAREER02_02	ฉันว่านายจำไม่ได้หรอก เพราะถ้าจำได้นายคงไม่มานั่งอยู่ตรงนี้แน่
0	AUTO	SUBTITLES_NIS_INTROCAREER03_01	นายทำให้ฉันรอนะ
