#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Chinese_Trad_Global.bin
#	File created on: 2025-05-10 15:17:28
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	啟用車隊成員
0	AUTO	PART_PERF_NITROUS_1	乾注式氮氧增壓組件
0	AUTO	PART_PERF_NITROUS_2	氮氧淨化組件
0	AUTO	PART_PERF_NITROUS_3	10磅氮氧氣瓶
0	AUTO	PART_PERF_NITROUS_4	濕注式氮氧增壓組件
0	AUTO	PART_PERF_NITROUS_5	氮氧氣瓶加熱器
0	AUTO	PART_PERF_NITROUS_6	15磅氮氧氣瓶
0	AUTO	PART_PERF_NITROUS_7	直接導入式氮氧增壓
0	AUTO	PART_PERF_NITROUS_8	氮氧壓力控制器
0	AUTO	PART_PERF_NITROUS_9	20磅氮氧氣瓶
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Inferno 彩繪圖案
0	AUTO	RCO_REWARD_003	Rotor4 彩繪圖案
0	AUTO	RCO_REWARD_004	BBS RX 輪圈
0	AUTO	RCO_REWARD_005	Los Colibris 彩繪圖案
0	AUTO	RCO_REWARD_006	BBS CH 輪圈
0	AUTO	RCO_REWARD_007	BBS LM 輪圈
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Mooo! 彩繪圖案
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	追擊
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	縮放
0	AUTO	STAT_NUM_TIMES_RACED	遊戲時間
0	AUTO	TIP_CREWS_HEADER	管理車隊
0	AUTO	PART_SPOILER_0	原廠
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	藏匿點
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	無限瞬間反應！
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	動作殘影
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	CASTROL SYNTEC
0	AUTO	SMS_MESSAGE_042_SUBJECT	區域威脅度
0	AUTO	VINYL_PART_LOGO_CAR	渦輪
0	AUTO	VINYL_PART_LOGO_COP	盾牌
0	AUTO	VINYL_PART_LOGO_CUP	獎盃
0	AUTO	VINYL_PART_LOGO_RAM	公羊
0	AUTO	VINYL_PART_LOGO_WMD	火箭
0	AUTO	ONLINE_XP_REWARD_UNLOCKED	達成線上XP等級%d！你已解開：%s
0	AUTO	VINYL_PART_LOGO_PHOENIX	鳳凰
0	AUTO	CUST_ROTATECAMERA	旋轉攝影視角
0	AUTO	VINYL_PART_NF_HUNGARY	匈牙利
0	AUTO	SUBTITLES_DEMO_MOVIE_1	我並不期望你會再次現身。
0	AUTO	SUBTITLES_DEMO_MOVIE_2	這裡早已人事已非。現在這個地方已是一個戰場。
0	AUTO	SUBTITLES_DEMO_MOVIE_3	改裝車
0	AUTO	SUBTITLES_DEMO_MOVIE_4	肌肉車
0	AUTO	SUBTITLES_DEMO_MOVIE_5	超級跑車
0	AUTO	SUBTITLES_DEMO_MOVIE_6	車隊在城裡為了爭奪地盤而戰。
0	AUTO	SUBTITLES_DEMO_MOVIE_7	而一切恩怨都在山道上解決。
0	AUTO	SUBTITLES_DEMO_MOVIE_8	但你絕對無法倖存。
0	AUTO	SUBTITLES_DEMO_MOVIE_9	是啊。我聽說你回城裡來了。現在，我要聽到你滾蛋的消息。
0	AUTO	UNLOCKABLE_RHINO	已解開Rhino供快速競賽使用！
0	AUTO	WM_LEGEND_EVENT	事件
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	LUNATI
0	AUTO	BUSTED_FIRST_TIME_MESSAGE	你已被Palmont市警局逮捕，而你的車輛也獲得一枚扣押警示標誌。你可以用^現金支付罰款，或使用免費出獄卡片。
0	AUTO	VINYL_PART_BOSS_BUSHIDO	地頭蛇
0	AUTO	STATS_MAIN_PURSUIT_TITLE	*追擊*
0	AUTO	ON_LOGIN_RETRIEVEPASS	遺忘密碼
0	AUTO	BOSS_AREA_CONQUERED_TEXT	*已征服*
0	AUTO	TIP_PURSUITS_HEADER	追擊
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	MATRIX RACING
0	AUTO	SMS_MESSAGE_052_SUBJECT	防禦競賽
0	AUTO	HUD_FINISH_SIXTEEN	你排名第16名
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	MOROSO
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	PART_COLLECTORS_EDITION_01	黑色限量版1
0	AUTO	PART_COLLECTORS_EDITION_02	黑色限量版2
0	AUTO	PART_COLLECTORS_EDITION_03	黑色限量版3
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	MC_CONFIRM_AUTOSAVE_ERROR_XENON	自動儲存無法正確執行因為你所選擇的儲存裝置已被替換或移除。你想要讓繼續開著自動儲存功能嗎?
0	AUTO	COMMON_ABBREV_FT	FT
0	AUTO	COMMON_ABBREV_KG	KG
0	AUTO	TIP_ON_ONLINEXP_DESC	提升你的線上XP等級將可解開獨特的車輛與外觀升級！每當你參與線上遊戲模^式，你將可獲得邁向下個等級的OXP分數。你在遊戲中的排名越高，你將可獲得^越多的線上OXP。達成等級 50 可以解開改裝的LotusEuropaS！
0	AUTO	VINYL_PART_2T_997GT3RS	雙色調
0	AUTO	CTRL_360_GUIDE	Xbox Guide
0	AUTO	VINYL_SPA_PART_VIRUS_CARBON_PLAGUE	CARBONO PLAGUE
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Carbon
0	AUTO	PERFORMANCE_TUNE_HELP_NITROUS	調校氮氣物件-速率vs持續時間可以讓你控制氮氣的使用量。調校速率可以讓你獲得短暫且強大的衝刺推進，調校持續時間可以讓你獲得比較長時間不過衝刺力小的推進。
