#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Chinese_Trad_InGame.bin
#	File created on: 2025-05-10 15:17:37
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	平均距離
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*征服的地區*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	你想使用這部車輛展開你的生涯嗎？
0	AUTO	HUD_CANYON_COLLISION_PENALTY	碰撞 %$d 分
0	AUTO	POSTRACE_CREW_INVITE	車隊邀請
0	AUTO	HUD_YOUR_TIME	你的時間：
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	退出回到自由漫遊
0	AUTO	HUD_SHIFT_PERFECT	換檔完美！
0	AUTO	HUD_DRIFT_KEEP_MOVING	繼續前進！
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	里程碑達成
0	AUTO	HUD_WRNONG_WAY	錯誤方向!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	甩尾結束
0	AUTO	QR_GHOST_UPLOAD	恭喜，你在此賽道上締造了新的前三高分！你表現出色的鬼影車正在上傳至NeedforSpeed.com排行榜供其他玩家挑戰。
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	階段二之一
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	完美進入！
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	測速器競速
0	AUTO	SMS_FROM	來自：
0	AUTO	SMS_TEXT	文字
0	AUTO	HUD_DRIFT_POINTS_EARNED	獲得分數
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s 獲勝*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	對手撞毀！
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	你輸了
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	你確定要進入汽車展售中心？
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	等候其他對手：
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	你打破了此賽道的最高分數！
0	AUTO	OL_NEW_GHOST	新的鬼影車
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	你確定要退出並返回自由漫遊？^所有的競賽進度將會遺失。
0	AUTO	HUD_COPDESTROYED_COPSUVL	輕型SUV^綜合懸賞金：%$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	跳躍至藏身處
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	檢視檢查點
0	AUTO	HUD_CANYON_RATING_0	加速前進！
0	AUTO	HUD_CANYON_RATING_1	慢
0	AUTO	HUD_CANYON_RATING_2	平均
0	AUTO	HUD_CANYON_RATING_3	出色！
0	AUTO	HUD_CANYON_RATING_4	極棒！
0	AUTO	HUD_CANYON_RATING_5	超炫！
0	AUTO	HUD_SHIFT_EARLY	換檔過快！
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*階段*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	來車碰撞
0	AUTO	MENU_POSTRACE_VIEW_LAPS	檢視圈數
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	得分區開始！
0	AUTO	MENU_POSTRACE_REP_REWARD	聲望獎勵
0	AUTO	HUD_SHIFT_GOOD	換檔良好！
0	AUTO	HUD_DRIFT_GREAT_DRIFT	極棒的甩尾
0	AUTO	MENU_POSTRACE_CASH_REWARD	現金獎勵：
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*車隊挑戰*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	等候最終結果
0	AUTO	HUD_DRIFT_NICE_DRIFT	漂亮的甩尾
0	AUTO	OL_SAVE_GHOST	鬼影車
0	AUTO	MENU_PAUSE_WORLD_MAP	世界地圖
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS連線中斷^重新連線中...
0	AUTO	MENU_POSTRACE_SCORE_WIN	打破你對手的分數
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	領先對手！
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	試駕完成
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	獎勵卡片解開！
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	檢視摘要
0	AUTO	HUD_CHECKPOINT	檢查點
0	AUTO	HUD_BOUNTY	懸賞金
0	AUTO	MENU_POSTRACE_WIN	*你的車隊獲勝了*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	幹得好！
0	AUTO	HUD_TUTORIAL_PRESS_NOW	立即啟用^請按 啟用車隊成員 按鈕
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*檢查點*
0	AUTO	HUD_DRIFT_RACE_OVER	競賽結束！
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	你確定要重新開始競賽？^所有的競賽進度將會遺失。
0	AUTO	HUD_SPEEDTRAP	測速器
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	敵對車隊向你提出了競速挑戰！挑選一個終點線。先抵達終點的獲勝。
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	繼續自由漫遊
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	*完成*
0	AUTO	MENU_PAUSE_TITLE	*暫停*
0	AUTO	HUD_IMMUNE	無敵
0	AUTO	MENU_POSTRACE_POSITION	排位
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	聯邦秘密車輛^綜合懸賞金：%$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	聯邦追擊車輛^綜合懸賞金：%$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	你沒有掙脫Cross的追擊。
0	AUTO	SMS_CONFIRM_DELETE	你確定要刪除這則SMS訊息？
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	即將返回遊戲房間：
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	太慢了！
0	AUTO	HUD_COMPLETE	完成
