#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Czech.bin
#	File created on: 2025-06-15 20:49:09
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	GPS
0	AUTO	LAP	KOLA
0	AUTO	N2O	N2O
0	AUTO	RED	Red
0	AUTO	BACK	Zpet
0	AUTO	BLUE	Blue
0	AUTO	COPS	Cops
0	AUTO	GOLD	Gold
0	AUTO	GREY	Grey
0	AUTO	LANG_SPANISH	ESPAOL
0	AUTO	LOAD	Hrát
0	AUTO	MALE	Muz
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Pink
0	AUTO	SAVE	Uloz
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Email address of Parent or Guardian:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Connecting to lobby...
0	AUTO	MISSING_PARTS_MARKER	Znacku N2O, Turbo a Kompresor muzes pouzít jen u auta, které je temito díly jiz vybaveno.
0	AUTO	OL_GAMEROOM_FULL	The Game Room became full before you made your selection.
0	AUTO	OLX_QUIT_STRING	Quit to Xbox Live Main Menu
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Markers
0	AUTO	AUTODRIVE	Autodrive
0	AUTO	H_DEFAULTS	Základní
0	AUTO	OLX_CAR_SELECT_TITLE	Výber vozu
0	AUTO	OLX_ENTER_PASSCODE	Please enter the pass code for %s
0	AUTO	PR_RESTART_RACE	Restartovat
0	AUTO	CONFIRM_START_NEW_CAREER	Spustením nové kariéry se prepíse tvá stará kariéra. opravdu chces spustit novou kariéru?
0	AUTO	OL_FIND_RESULTS_TITLE	find results
0	AUTO	MARKER_CATEGORY_DESC_MISC	Tahle znacka zahrnuje penezní prémie, vykoupení z vezení, znacku speciálních zabavení, znacku vykoupení zabaveného auta a zabrání vozu práve porazeného soupere.
0	017461C6	blacklist_pursuit_milestones_03_short	Prémie
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Cursing or Lewdness
0	AUTO	BUTTON_GAMEBREAKER	Speedbreaker
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Vec
0	AUTO	PAUSE_RESUME_FREE_ROAM	Vyrazit do ulic
0	AUTO	OPT_GAMEPLAY_TITLE	hra
0	AUTO	NEEDS_LOCALIZATION	! Potrebuji pozici!
0	AUTO	OPT_GAMEPLAY_UNITS	Units
0	AUTO	HUD_LB_BLOWNENGINE	Motor odesel
0	AUTO	CSF_SPORT	Sport
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Casovka u Vezení
0	AUTO	CSF_TUNER	Tuner
0	AUTO	HELP_BOUNTY	Predtím, nez vyzves k závodu dalsího soupere z Blacklistu, musís získat alespon minimální prémii. Prémii muzes získat pri plnení akcí v milníku, ale pokud si potrebujes zvednout popularitu, muzes si být jistý, ze v této lokalite poldy snadno vyprovokujes. V kazdém prípade se ti bude pocítat kazdá prémie, získaná pri stíhání.
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	Your voice chat session has ended!
0	AUTO	PN_BODYSTRIPE_01	Body Stripe 1
0	AUTO	PN_BODYSTRIPE_02	Body Stripe 2
