#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Danish.bin
#	File created on: 2025-05-10 16:24:30
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	med
0	AUTO	GPS	GPS
0	AUTO	LAP	OMGANG
0	AUTO	N2O	N2O
0	AUTO	RED	rød
0	AUTO	BACK	Tilbage
0	AUTO	BLUE	blå
0	AUTO	COPS	Politi
0	AUTO	GOLD	guld
0	AUTO	GREY	grå
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Indlæs
0	AUTO	MALE	Mand
0	AUTO	PHIL	phils default string
0	AUTO	PINK	lyserød
0	AUTO	SAVE	Gem
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	E-mail-adresse til forælder eller værge:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Forbinder til lobby...
0	AUTO	MISSING_PARTS_MARKER	Nitro-, turbo- og kompressor-ikoner kan kun bruges, hvis bilen allerede er udstyret med en del af den type, der kan tunes.
0	AUTO	OL_GAMEROOM_FULL	Spilrummet blev fyldt op, før du kunne udføre dit valg.
0	AUTO	OLX_QUIT_STRING	Quit to Xbox Live Main Menu
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon, forskudt
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Ikoner
0	AUTO	AUTODRIVE	Autopilot
0	AUTO	H_DEFAULTS	Standard
0	AUTO	OLX_CAR_SELECT_TITLE	Vælg bil
0	AUTO	OLX_ENTER_PASSCODE	Indtast venligst adgangskoden for %s
0	AUTO	PR_RESTART_RACE	Genstart løb
0	AUTO	CONFIRM_START_NEW_CAREER	Når du starter en ny karriere, overskriver du den gamle. Er du sikker på, du vil starte en ny karriere?
0	AUTO	OL_FIND_RESULTS_TITLE	søgeresultater
0	AUTO	MARKER_CATEGORY_DESC_MISC	Disse ikoner omfatter pengebonusser, Kom ud af fængsel-muligheder, Ekstra beslaglæggelse-advarsler, Frigiv fra beslaglæggelse samt registreringsattest til den besejrede modstanders bil.
0	017461C6	blacklist_pursuit_milestones_03_short	Dusør
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Banderi eller sjofelheder
0	AUTO	BUTTON_GAMEBREAKER	Fartknuser
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Del
0	AUTO	PAUSE_RESUME_FREE_ROAM	Fortsæt fri flakken
0	AUTO	OPT_GAMEPLAY_TITLE	gameplay
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Enheder
0	AUTO	HUD_LB_BLOWNENGINE	Motor smadret
0	AUTO	CSF_SPORT	Sport
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Toldbold-tidskørsel
0	AUTO	CSF_TUNER	Tuner
0	AUTO	HELP_BOUNTY	Før du kan udfordre den næste Blacklist-rival, skal du optjene en vis mængde dusør. Dette kan du gøre ved at gennemføre milepæl-udfordringer, men hvis du vil hæve dusøren ydeligere, kan du starte en biljagt fra et af disse steder. Som altid skal du slippe væk fra politiet, hvis dusøren skal tælle.
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	Din stemmechat er afsluttet!
0	AUTO	PN_BODYSTRIPE_01	Karrosseri - Stribe 1
0	AUTO	PN_BODYSTRIPE_02	Karrosseri - Stribe 2
0	AUTO	PN_BODYSTRIPE_03	Karrosseri - Stribe 3
0	AUTO	PN_BODYSTRIPE_04	Karrosseri - Stribe 4
0	AUTO	PN_BODYSTRIPE_05	Karrosseri - Stribe 5
0	AUTO	PN_BODYSTRIPE_06	Karrosseri - Stribe 6
0	AUTO	PN_BODYSTRIPE_07	Karrosseri - Stribe 7
0	AUTO	PN_BODYSTRIPE_08	Karrosseri - Stribe 8
0	AUTO	PN_BODYSTRIPE_09	Karrosseri - Stribe 9
0	AUTO	PN_BODYSTRIPE_10	Karrosseri - Stribe 10
0	AUTO	BEIGE	beige
0	AUTO	BLACK	sort
0	AUTO	BROWN	brun
0	AUTO	CHECK	Tilføj
0	AUTO	PRP_PURSUIT_SPIKE_STRIPES_DODGED	Sømmåtter undveget
0	AUTO	OL_MSG_ALREADY_INVITED_PLAYER	Du har allerede sendt en invitation til denne spiller!
0	AUTO	OL_MSG_ERROR_LOADING_NET_CONFIG	Der opstod en fejl under indlæsningen af den valgte netværkskonfiguration.
0	AUTO	CROSS_SELL_FRWL_VIDEO	From Russia With Love™
0	AUTO	OL_IS_ONLINE	er online
0	02D749ED	helpscreen_text_onestopshop	I Rockport finder du en række One Stop Shops. Her kan du købe nye bildele eller tilpasse din øse. Kig på Bykortet for at se deres placering.
0	AUTO	GLOSS	Blank
0	AUTO	GREEN	grøn
0	AUTO	PN_FLAME_01	Flamme 1
0	AUTO	PN_FLAME_02	Flamme 2
0	AUTO	PN_FLAME_03	Flamme 3
0	AUTO	PN_FLAME_04	Flamme 4
0	AUTO	PN_FLAME_05	Flamme 5
0	AUTO	PN_FLAME_06	Flamme 6
0	AUTO	PN_FLAME_07	Flamme 7
0	AUTO	PN_FLAME_08	Flamme 8
0	AUTO	PN_FLAME_09	Flamme 9
0	AUTO	PN_FLAME_10	Flamme 10
0	AUTO	PN_FLAME_11	Flamme 11
0	AUTO	PN_FLAME_12	Flamme 12
0	AUTO	IB_IMPOUND	Din bil er blevet beslaglagt.
0	AUTO	OL_MSG_ISP_TIMED_OUT	Afbrudt i forsøget på at forbinde til din ISP.
0	AUTO	MATTE	Mat
