#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\German.bin
#	File created on: 2025-05-10 16:24:53
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	GPS
0	AUTO	LAP	RUNDE
0	AUTO	N2O	Nitro
0	AUTO	RED	Rot
0	AUTO	BACK	Zurück
0	AUTO	BLUE	Blau
0	AUTO	COPS	Cops
0	AUTO	GOLD	Gold
0	AUTO	GREY	Grau
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Laden
0	AUTO	MALE	Männlich
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Pink
0	AUTO	SAVE	Speichern
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	E-Mail-Adresse der Eltern oder eines Erziehungsberechtigten:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Verbindet mit Lobby ...
0	AUTO	MISSING_PARTS_MARKER	Das Nitro-, Turbo- und Kompressor-Symbol kann nur verwendet werden, wenn dein Wagen bereits mit tunbaren Teilen dieser Kategorie ausgestattet ist.
0	AUTO	OL_GAMEROOM_FULL	Der Raum war voll, bevor du deine Auswahl getroffen hast.
0	AUTO	OLX_QUIT_STRING	Zurück zum Xbox Live-Hauptmenü
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Versetzt
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Symbole
0	AUTO	AUTODRIVE	Autodrive
0	AUTO	H_DEFAULTS	Standard
0	AUTO	OLX_CAR_SELECT_TITLE	Wagenauswahl
0	AUTO	OLX_ENTER_PASSCODE	Bitte Code für %s eingeben
0	AUTO	PR_RESTART_RACE	Rennen neu starten
0	AUTO	CONFIRM_START_NEW_CAREER	Wenn du eine neue Karierre startest, wird deine alte Karriere überschrieben. Möchtest du eine neue Karriere starten?
0	AUTO	OL_FIND_RESULTS_TITLE	Suchergebnisse
0	AUTO	MARKER_CATEGORY_DESC_MISC	Zu diesen Symbolen zählen Geldboni, Entlassungsscheine für den Knast, Extra-Verwarnungsgutscheine, Freigabe-Gutscheine und der Fahrzeugschein des gegnerischen Wagens, den du geschlagen hast.
0	017461C6	blacklist_pursuit_milestones_03_short	Kopfgeld
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Fluchen oder Anzüglichkeiten
0	AUTO	BUTTON_GAMEBREAKER	Speedbreaker
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Teil
0	AUTO	PAUSE_RESUME_FREE_ROAM	Freie Fahrt fortsetzen
0	AUTO	OPT_GAMEPLAY_TITLE	Gameplay
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Einheiten
0	AUTO	HUD_LB_BLOWNENGINE	Motorschaden
0	AUTO	CSF_SPORT	Sport
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Mautstellen-Zeitfahren
0	AUTO	CSF_TUNER	Tuner
