#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\English.bin
#	File created on: 2025-05-10 16:24:40
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	GPS
0	AUTO	LAP	LAP
0	AUTO	N2O	N2O
0	AUTO	RED	Red
0	AUTO	BACK	Back
0	AUTO	BLUE	Blue
0	AUTO	COPS	Cops
0	AUTO	DEMO	DEMO
0	AUTO	GOLD	Gold
0	AUTO	GREY	Grey
0	AUTO	LANG_SPANISH	ESPAOL
0	AUTO	LOAD	Load
0	AUTO	MALE	Male
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Pink
0	AUTO	SAVE	Save
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Email address of Parent or Guardian:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Connecting to lobby...
0	AUTO	MISSING_PARTS_MARKER	"The N2O, Turbo and Supercharger Marker can only be used if the car is already equipped with tunable versions of these parts."
0	AUTO	OL_GAMEROOM_FULL	The Game Room became full before you made your selection.
0	AUTO	OLX_QUIT_STRING	Quit to Xbox Live Main Menu
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Markers
0	AUTO	AUTODRIVE	Autodrive
0	AUTO	H_DEFAULTS	Defaults
0	AUTO	OLX_CAR_SELECT_TITLE	Car Select
0	AUTO	OLX_ENTER_PASSCODE	Please enter the pass code for %s
0	AUTO	PR_RESTART_RACE	Restart Race
0	AUTO	CONFIRM_START_NEW_CAREER	Starting a new career will overwrite your old career. Are you sure you want to start a new career?
0	AUTO	OL_FIND_RESULTS_TITLE	find results
0	AUTO	MARKER_CATEGORY_DESC_MISC	"These markers include cash bonuses, getting out of jail passes, extra impound strike markers, impound release markers and the pink slip for the rival car you just beat."
0	017461C6	blacklist_pursuit_milestones_03_short	Bounty
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Cursing or Lewdness
0	AUTO	BUTTON_GAMEBREAKER	Speedbreaker
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Item
0	AUTO	PAUSE_RESUME_FREE_ROAM	Resume Free Roam
0	AUTO	OPT_GAMEPLAY_TITLE	gameplay
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Units
0	AUTO	HUD_LB_BLOWNENGINE	Blown Engine
0	AUTO	CSF_SPORT	Sport
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Tollbooth Time Trial
0	AUTO	CSF_TUNER	Tuner
0	AUTO	HELP_BOUNTY	"Before you can challenge the next rival on the Blacklist, you must earn a minimum amount of bounty. You can earn bounty from completing milestone challenges, but if you need to increase this further you can use these locations as a sure way of getting into a pursuit. As always, you need to evade the cops before any bounty gets credited to you."
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	Your voice chat session has ended!
0	AUTO	PN_BODYSTRIPE_01	Body Stripe 1
0	AUTO	PN_BODYSTRIPE_02	Body Stripe 2
0	AUTO	PN_BODYSTRIPE_03	Body Stripe 3
0	AUTO	PN_BODYSTRIPE_04	Body Stripe 4
