#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Spanish.bin
#	File created on: 2025-05-10 16:25:50
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	a
0	AUTO	GPS	GPS
0	AUTO	LAP	Vuelta
0	AUTO	N2O	N2O
0	AUTO	RED	Rojo
0	AUTO	BACK	Atrás
0	AUTO	BLUE	Azul
0	AUTO	COPS	Polis
0	AUTO	GOLD	Dorado
0	AUTO	GREY	Gris
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Cargar
0	AUTO	MALE	Hombre
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Rosa
0	AUTO	SAVE	Guardar
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Dirección de correo electrónico de padres o tutor:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Conectando con punto de encuentro...
0	AUTO	MISSING_PARTS_MARKER	Los marcadores de nitroso, turbo, y supercargador sólo pueden ser usados si el coche ya tiene estas piezas instaladas.
0	AUTO	OL_GAMEROOM_FULL	La sala de juego se ha llenado antes de que hicieras tu selección.
0	AUTO	OLX_QUIT_STRING	Salir al Menú principal de Xbox Live
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Marcadores
0	AUTO	AUTODRIVE	Piloto automático
0	AUTO	H_DEFAULTS	Por defecto
0	AUTO	OLX_CAR_SELECT_TITLE	Selección de coche
0	AUTO	OLX_ENTER_PASSCODE	Introduce el código de acceso para %s
0	AUTO	PR_RESTART_RACE	Reiniciar carrera
0	AUTO	CONFIRM_START_NEW_CAREER	Al iniciar un nuevo modo carrera se sobrescribirá el antiguo. ¿Seguro que quieres iniciar un modo carrera nuevo?
0	AUTO	OL_FIND_RESULTS_TITLE	resultados
0	AUTO	MARKER_CATEGORY_DESC_MISC	Aquí encontrarás dinero, pases para salir de la cárcel, órdenes de embargo adicionales, retiradas de vehículo embargado o la tarjeta rosa del coche del rival al que has derrotado.
0	017461C6	blacklist_pursuit_milestones_03_short	Bolsa
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Blasfemias o lascivia
0	AUTO	BUTTON_GAMEBREAKER	Ralentización^del tiempo
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Objeto
