#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Finnish.bin
#	File created on: 2025-05-10 16:24:44
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	NOPEUDELLA
0	AUTO	GPS	GPS
0	AUTO	LAP	KIERROS
0	AUTO	N2O	Boosti
0	AUTO	RED	punainen
0	AUTO	BACK	Palaa
0	AUTO	BLUE	sininen
0	AUTO	COPS	Poliiseja
0	AUTO	GOLD	kulta
0	AUTO	GREY	Harmaa
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Lataa
0	AUTO	MALE	Mies
0	AUTO	PHIL	phils default string
0	AUTO	PINK	vaaleanpunainen
0	AUTO	SAVE	Tallenna
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Vanhemman tai huoltajan sähköpostiosoite:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Luodaan yhteys aulaan...
0	AUTO	MISSING_PARTS_MARKER	Voit käyttää boosti- ja ahdinkortteja vain, jos autossa on jo näiden osien parannuspakkaukset.
0	AUTO	OL_GAMEROOM_FULL	Pelihuone täyttyi ennen kuin ehdit tehdä valinnan.
0	AUTO	OLX_QUIT_STRING	Poistu Xbox Liven päävalikkoon
0	AUTO	PN_ROOF_18_CF_OFFSET	Taifuuni - reuna
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Kortit
0	AUTO	AUTODRIVE	Automaattiajo
0	AUTO	H_DEFAULTS	Oletukset
0	AUTO	OLX_CAR_SELECT_TITLE	Autot
0	AUTO	OLX_ENTER_PASSCODE	Anna pelin %s tunnuskoodi
0	AUTO	PR_RESTART_RACE	Aloita alusta
0	AUTO	CONFIRM_START_NEW_CAREER	Jos aloitat uuden uran, vanha ura poistetaan. Haluatko varmasti aloittaa uuden uran?
0	AUTO	OL_FIND_RESULTS_TITLE	Hakutulokset
0	AUTO	MARKER_CATEGORY_DESC_MISC	Yllätyskortit voivat olla käteisbonuksia, vapautuskortteja, lunastuskortteja tai vastustajilta voitettujen autojen rekisteriotteita.
0	017461C6	blacklist_pursuit_milestones_03_short	Palkkio
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Kiroilu tai rivo kielenkäyttö
0	AUTO	BUTTON_GAMEBREAKER	Hidastus
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Osa
0	AUTO	PAUSE_RESUME_FREE_ROAM	Jatka vapaata ajoa
0	AUTO	OPT_GAMEPLAY_TITLE	Peliasetukset
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Mittayksiköt
0	AUTO	HUD_LB_BLOWNENGINE	Moottori levisi
0	AUTO	CSF_SPORT	Sportti
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Tietullihaaste
0	AUTO	CSF_TUNER	Tuunaus
0	AUTO	HELP_BOUNTY	Ennen kuin voit haastaa seuraavan Blacklistin kuskin, sinun on kasvatettava päästäsi luvattua kiinniottopalkkiota. Palkkio kasvaa, kun suoritat virstanpylväshaasteita. Jos kuitenkin haluat kasvattaa palkkiota entisestään, voit siirtyä haastepaikoille ja hankkiutua takaa-ajoon. Palkkio lasketaan vasta, kun onnistut karistamaan poliisit kannoiltasi.
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	Puheyhteys lopetettiin.
0	AUTO	PN_BODYSTRIPE_01	Raitakori 1
0	AUTO	PN_BODYSTRIPE_02	Raitakori 2
0	AUTO	PN_BODYSTRIPE_03	Raitakori 3
0	AUTO	PN_BODYSTRIPE_04	Raitakori 4
0	AUTO	PN_BODYSTRIPE_05	Raitakori 5
0	AUTO	PN_BODYSTRIPE_06	Raitakori 6
0	AUTO	PN_BODYSTRIPE_07	Raitakori 7
0	AUTO	PN_BODYSTRIPE_08	Raitakori 8
0	AUTO	PN_BODYSTRIPE_09	Raitakori 9
0	AUTO	PN_BODYSTRIPE_10	Raitakori 10
0	AUTO	BEIGE	beige
0	AUTO	BLACK	musta
0	AUTO	BROWN	ruskea
0	AUTO	CHECK	Palauta
0	AUTO	PRP_PURSUIT_SPIKE_STRIPES_DODGED	Väistettyjä piikkimattoja
0	AUTO	OL_MSG_ALREADY_INVITED_PLAYER	Tälle pelaajalle on jo lähetetty kutsu.
0	AUTO	OL_MSG_ERROR_LOADING_NET_CONFIG	Valittua verkkoasetusta ladattaessa tapahtui virhe.
0	AUTO	CROSS_SELL_FRWL_VIDEO	From Russia With Love™
0	AUTO	OL_IS_ONLINE	Verkossa
0	02D749ED	helpscreen_text_onestopshop	Kauppoja on eri puolilla Rockportia. Niistä voi ostaa autoon uusia osia tai välineitä, jolla muokata autosta mieleisensä. Näet kauppojen sijainnit kartalta.
0	AUTO	GLOSS	Kiiltävä
0	AUTO	GREEN	vihreä
0	AUTO	PN_FLAME_01	Liekki 1
0	AUTO	PN_FLAME_02	Liekki 2
0	AUTO	PN_FLAME_03	Liekki 3
0	AUTO	PN_FLAME_04	Liekki 4
0	AUTO	PN_FLAME_05	Liekki 5
0	AUTO	PN_FLAME_06	Liekki 6
0	AUTO	PN_FLAME_07	Liekki 7
0	AUTO	PN_FLAME_08	Liekki 8
0	AUTO	PN_FLAME_09	Liekki 9
0	AUTO	PN_FLAME_10	Liekki 10
0	AUTO	PN_FLAME_11	Liekki 11
0	AUTO	PN_FLAME_12	Liekki 12
0	AUTO	IB_IMPOUND	Autosi on takavarikoitu.
0	AUTO	OL_MSG_ISP_TIMED_OUT	Yhteydenluonti ISP:hen keskeytettiin määräajan umpeuduttua.
0	AUTO	MATTE	Matta
0	AUTO	RAP_US_TITLE	SYYTTEET
0	AUTO	RAP_US_TOTAL	YHTEENSÄ
0	AUTO	RACETYPES_CIRCUIT	Rata
0	AUTO	OL_EA_LOGIN_USE_EXISTING_ACCOUNT	Käytä aiemmin luotua EA-tiliä
0	AUTO	Q3RQR	aqre
0	AUTO	BUTTON_ANALOG_LOOKBACK_DOWN	Katso taakse (alas)
0	AUTO	RETRY	Yritä uudelleen
0	AUTO	OLX_MSG_REMOVE_FRIEND_CONFIRM_VOICE	Jos haluat poistaa pelaajan %s ystävälistaltasi, sinun täytyy ensin sulkea nykyinen puheyhteys.
0	03C94B43	blacklist_rival_10_strength	Rikkomukset
0	AUTO	OL_USE_EXISTING_FORGOT_ACCOUNT_NAME	Unohdin EA-tilini nimen
0	AUTO	RAP_MAIN_CTS	> AIHEUTUNEET KULUT
0	AUTO	RAP_MAIN_TEP	> 5 PAHINTA TAKAA-AJOA
0	AUTO	LAN_MAIN_TITLE	Lähiverkko
0	AUTO	WHITE	valkoinen
0	040DEEAA	helpscreen_title_onestopshop	Kauppa
0	AUTO	STANDARD	Tavallinen
0	AUTO	REP_RIVAL_CHALLENGE	Blacklist-haaste
0	AUTO	DEBUG_OPTIONS_TITLE	DEBUG
0	AUTO	OL_PARENTAL_PERMISSION	Vanhempien suostumus
0	AUTO	MARKER_NAME_TRANSMISSION	Voimansiirtoparannukset
0	AUTO	CD_CHECK_OUT_CAREER_BACKROOM	Haluatko maksaa nämä osat ja niiden asennuksen korteillasi?
0	AUTO	OL_FEEDBACK_UNABLE_TO_SUBMIT	Palautteen lähettäminen ei onnistunut.
0	AUTO	CO_HOODS	Konepellit
0	AUTO	OL_HOST_OPTIONS	Isännöintiasetukset
0	AUTO	OPT_CONTROLLER	Komennot
0	04DF3B9C	blacklist_rival_06_challenge	Mingin haastajalta vaaditaan melkoisesti. Katso tarkemmin alta.
0	AUTO	OL_GAMERTAG_BLOCKED	Pelaajan %s viestit on estetty. Et enää saa viestejä, kutsuja tai puheyhteyspyyntöjä tältä pelaajalta.
0	AUTO	PRS_PERFECT_SHIFT_PERCENT	TÄYDELLISIÄ VAIHTOJA %:
0	AUTO	HIGHEST_SPEED_HEADER	Ennätys:
0	AUTO	ACH_HOSEUN_DS	Voita Ho Seun “Sonny”
0	AUTO	ACH_HOSEUN_HT	Voita Ho Seun ja vie hänen paikkansa Blacklist 15:llä.
0	AUTO	OL_PLAYER_STATS	Pelaajatilastot
0	AUTO	CHALLENGE_SERIES_DESC_36_HEADER	Tietullihaaste
0	AUTO	CO_PAINT	Väri
0	AUTO	CO_PARTS	Osat
0	AUTO	HUD_SHIFT_PERFECT	Täydellinen vaihto!
0	AUTO	OL_VOICE_CHAT_DISC_QUESTION	Haluatko katkaista puheyhteyden?
0	AUTO	OPT_VO_LOD	Tarkkuuden taso
0	AUTO	SMS_MESSAGE_101_SUBJECT	Lelliminen loppui
0	AUTO	CO_TIRES	Renkaat
0	AUTO	CO_TURBO	Turbo
0	AUTO	OL_CREATE_USER_ENTER_EMAIL	Sähköpostiosoite
0	AUTO	SUBTITLE_PSA_10	Olen Josie Maran ja esitän Miaa ^Need for Speed™ Most Wantedissa.
0	AUTO	SUBTITLE_PSA_20	Hurjastele vain pelissä, älä kaduilla.^Aja aina turvallisesti ja käytä turvavyötä.
0	AUTO	ON_HEADER_LES_THAN_10	Alle 10 %
0	AUTO	ON_HEADER_LES_THAN_15	Alle 15 %
0	AUTO	ON_HEADER_LES_THAN_20	Alle 20 %
0	AUTO	ON_HEADER_LES_THAN_25	Alle 25 %
0	AUTO	ON_HEADER_LES_THAN_50	Alle 50 %
0	AUTO	OL_READ_MESSAGES	Lue viestit
0	AUTO	RAP_TEP_BOUNTY	PALKKIO: %$d
0	AUTO	OL_LOBBY_JOIN	Liity peliin
0	AUTO	OL_MSG_LOGIN_CANNOT_CONNECT	Yhteyttä aulapalvelimelle ei saatu luotua tuntemattoman virheen vuoksi.
0	AUTO	ACH_JADE_DS	Voita Jade Barrett “Jewels”
0	AUTO	ACH_JADE_HT	Voita Jade Barrett ja vie hänen paikkansa Blacklist 15:llä.
0	06C78064	blacklist_pursuit_milestones_10_short	Ylinopeus
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	ON_RACESTART	Pelaajat ovat tehneet muutoksensa ja ovat valmiina peliin
0	AUTO	OL_MSG_ACCOUNT_LOGIN_BANNED	Tämä tili on asetettu porttikieltoon.
0	AUTO	ONLINE_PARENTAL_EMAIL_CONFIRM	Vahvista sähköpostiosoite:
0	AUTO	ACH_RONALD_DS	Voita Ronald McCrea “Ronnie”
0	AUTO	ACH_RONALD_HT	Voita Ronald McCrea ja vie hänen paikkansa Blacklist 15:llä.
0	AUTO	PLAYER_FUND_HEADER	Rahat:
0	AUTO	CHALLENGE_SERIES_DESC_20_HEADER	Pitkä takaa-ajo
0	AUTO	ON_CLASS_RESTRICT_COLON	Luokkarajoitukset:
0	AUTO	RAP_RECENT_VEHICLE	VIIMEISIN: %s
0	AUTO	QUIT_GAME	Haluatko varmasti lopettaa? Menetät kaikki tallentamattomat muutokset.
0	AUTO	PC_ACCEPT_TIMEOUT	Haluatko varmasti hyväksyä nämä muutokset?^Muutokset perutaan %d sekunnin kuluttua.
0	AUTO	SMS_MESSAGE_81_SUBJECT	Vasikka
0	AUTO	GAME_ROOM_TITLE	Huone luotiin
0	AUTO	LANG_ITALIAN	ITALIANO
0	07D3DC64	blacklist_rival_11_strength	Tietullikisat
0	AUTO	OL_INVITATION	Kutsu
0	AUTO	ACH_PIERRE_DS	Voita Eugene James “Earl”
0	AUTO	ACH_PIERRE_HT	Voita Eugene James ja vie hänen paikkansa Blacklist 15:llä.
0	AUTO	LAN_OL_LOBBY_REFRESH	Päivitä
0	AUTO	LANG_FINNISH	SUOMI
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Erikoisluvalla pääset osakaupan takahuoneeseen ja saat mittariparannuksen mihin tahansa autoon.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Erikoisluvalla pääset osakaupan takahuoneeseen ja saat boostiparannuksen mihin tahansa autoon.
0	AUTO	ON_XBLMESSAGE	You have a new Xbox Live message. Would you like to read it now?
0	AUTO	SCART_PACKAGE	Pakkaus
0	AUTO	OPT_PLAYER_SPLIT_TIME_TYPE	Aikaero
0	AUTO	HELP_RACE	Sinun on voitettava tietty määrä kisoja ennen kuin saat vastaasi seuraavan Blacklist-kuskin. Kisat vaihtelevat kuskin mukaan ja niihin voi kuulua ratakisoja, pyrähdyskisoja, pudotuskisoja, kiihdytyskisoja, tutkakisoja tai tietullikisoja. Kisoja yhdistää yksi sääntö: voitto tai ei mitään.
0	AUTO	QR_TITLE_ONLINE	Verkkopelin autot
0	AUTO	CHALLENGE_SERIES_DESC_17_HEADER	Tiesulkujen väistö
0	AUTO	OL_MSG_ERROR_ONE_OR_MORE_NET_CONFIG	Yksi tai useampi MEMORY CARD -paikan 1 memory card (muistikortilla) (PS2) olevista verkkoasetuksista on viallinen ja sitä ei voida käyttää.
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	OL_CREATE_USER_ACCOUNT_PASSWORD	Tilin salasana
0	AUTO	OPT_CREDITS	Tekijät
0	AUTO	RAP_CTS_CATEGORY	LUOKKA
0	AUTO	RAP_RS_UNSERVED_INFRACTIONS	SYYTTEET: %$d
0	AUTO	RAP_VD_OUTSTANDING_FINES	SAKOT: %$d
0	AUTO	SMS_MESSAGE_70_FROM	Mia
0	AUTO	GAMEMODE_CAREERMODE	Urapeli
0	AUTO	TRAFFIC_COLLISIONS	Kolareita
0	AUTO	CSF_SPORT_CARBON	Hiilikuitusportti
