#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Japanese.bin
#	File created on: 2025-05-10 16:25:17
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	GPS
0	AUTO	LAP	ラップ
0	AUTO	N2O	ニトロ
0	AUTO	RED	レッド
0	AUTO	BACK	戻る
0	AUTO	BLUE	ブルー
0	AUTO	COPS	警察
0	AUTO	DEMO	デモ
0	AUTO	GOLD	ゴールド
0	AUTO	GREY	グレー
0	AUTO	LANG_SPANISH	ESPAOL
0	AUTO	LOAD	ロード
0	AUTO	MALE	男性
0	AUTO	PHIL	phils のディフォルトストリング
0	AUTO	PINK	ピンク
0	AUTO	SAVE	セーブ
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	ご両親様または法定代理人のメールアドレス：
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	サーバーに接続中．．．
0	AUTO	MISSING_PARTS_MARKER	ニトロ、ターボ、スーパーチャージャーのマーカーは^車にチューニング可能なパーツが装備されていないと^使用できません。
0	AUTO	OL_GAMEROOM_FULL	このゲームルームはあなたが選択をする前に^定員に達しました。
0	AUTO	OLX_QUIT_STRING	終了してXbox Liveメインメニューに戻る
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	マーカー　
0	AUTO	AUTODRIVE	オートドライブ
0	AUTO	H_DEFAULTS	デフォルト
0	AUTO	OLX_CAR_SELECT_TITLE	カーセレクト
0	AUTO	OLX_ENTER_PASSCODE	%sの^パスワードを入力してください
0	AUTO	PR_RESTART_RACE	リスタートする
0	AUTO	CONFIRM_START_NEW_CAREER	新しいシナリオを始めると、古いシナリオに上書きしてしまいます、^新しいシナリオを始めてよろしいですか？
0	AUTO	OL_FIND_RESULTS_TITLE	結果を探す。
0	AUTO	MARKER_CATEGORY_DESC_MISC	このマーカーの中身は分からない。
0	017461C6	blacklist_pursuit_milestones_03_short	バウンティチャレンジ
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	悪口 / 下劣
0	AUTO	BUTTON_GAMEBREAKER	スピードブレイカー
0	AUTO	PAUSE_RESTART_DEMO	デモをリスタートする
0	AUTO	CS_ITEM	アイテム
0	AUTO	PAUSE_RESUME_FREE_ROAM	フリーランを続ける
0	AUTO	OPT_GAMEPLAY_TITLE	navigation
0	AUTO	NEEDS_LOCALIZATION	！ローカライゼーションが必要です！
0	AUTO	OPT_GAMEPLAY_UNITS	スピードメーター単位
0	AUTO	HUD_LB_BLOWNENGINE	エンジンブロー
0	AUTO	CSF_SPORT	スポーツ
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	トールブースタイムトライアル
0	AUTO	CSF_TUNER	チューナー
0	AUTO	HELP_BOUNTY	ブラックリストランカーと戦うには、ランカーが設定したバウンティを^稼ぐ必要がある。バウンティはマイルストンイベントでも稼げるが、^手っ取り早く稼ぎたいなら、ここが一番だ。^どのイベントも間違いなく追跡される。^ちゃんと逃げ切ってバウンティを上げろ。
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	ボイスチャットセッションが終了しました。
0	AUTO	PN_BODYSTRIPE_01	Body Stripe 1
