#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Dutch.bin
#	File created on: 2025-05-10 16:24:35
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	met
0	AUTO	GPS	GPS
0	AUTO	LAP	Ronde
0	AUTO	N2O	Nitro
0	AUTO	RED	Rood
0	AUTO	BACK	Terug
0	AUTO	BLUE	Bauw
0	AUTO	COPS	Politie
0	AUTO	GOLD	Goud
0	AUTO	GREY	Grijs
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Laden
0	AUTO	MALE	Man
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Roze
0	AUTO	SAVE	Opslaan
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	E-mailadres van ouder/voogd:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Verbinden met lobby...
0	AUTO	MISSING_PARTS_MARKER	De nitro-, turbo- en supercharger-kaarten kunnen alleen worden gebruikt als je wagen is uitgerust met onderdelen die je kunt afstellen.
0	AUTO	OL_GAMEROOM_FULL	De gameroom was al vol voordat je een keuze had gemaakt.
0	AUTO	OLX_QUIT_STRING	Terug naar Xbox Live-hoofdmenu
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Kaarten
0	AUTO	AUTODRIVE	Autom. rijden
0	AUTO	H_DEFAULTS	Standaardinstellingen
0	AUTO	OLX_CAR_SELECT_TITLE	Wagen kiezen
0	AUTO	OLX_ENTER_PASSCODE	Voer de code in voor %s
0	AUTO	PR_RESTART_RACE	Race herstarten
0	AUTO	CONFIRM_START_NEW_CAREER	Als je een nieuwe carrière start, overschrijf je je oude carrière. Weet je zeker dat je een nieuwe carrière wilt starten?
0	AUTO	OL_FIND_RESULTS_TITLE	resultaten zoeken
0	AUTO	MARKER_CATEGORY_DESC_MISC	Met deze kaarten kun je geld verdienen, uit de gevangenis komen, de inbeslagname van je wagen opheffen of de autopapieren van een verslagen rivaal overnemen.
0	017461C6	blacklist_pursuit_milestones_03_short	Premie
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Vloeken
0	AUTO	BUTTON_GAMEBREAKER	Snelheidsbeperker
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Item
0	AUTO	PAUSE_RESUME_FREE_ROAM	Volledige vrijheid hervatten
0	AUTO	OPT_GAMEPLAY_TITLE	gameplay
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Eenheden
0	AUTO	HUD_LB_BLOWNENGINE	Opgeblazen motor
0	AUTO	CSF_SPORT	Sport
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Tolhuis-tijdrit
0	AUTO	CSF_TUNER	Tuner
