#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Polish.bin
#	File created on: 2025-05-10 16:25:41
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	
0	AUTO	GPS	GPS
0	AUTO	LAP	Okrążenie
0	AUTO	N2O	N2O
0	AUTO	RED	Czerwony
0	AUTO	BACK	Wróć
0	AUTO	BLUE	Niebieski
0	AUTO	COPS	Gliny
0	AUTO	GOLD	złoty
0	AUTO	GREY	szary
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Wczytaj
0	AUTO	MALE	Mężczyzna
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Różowy
0	AUTO	SAVE	Zapisz
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Adres email rodzica lub opiekuna:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Łączenie z lobby...
0	AUTO	MISSING_PARTS_MARKER	Karty nitro, turbosprężąrki i sprężarki można wykorzystać tylko wtedy, gdy samochód jest wyposażony w części, których ustawienia można zmieniać.
0	AUTO	OL_GAMEROOM_FULL	Pokój gry zapełnił się, zanim dokonałeś wyboru.
0	AUTO	OLX_QUIT_STRING	Wyjdź do głównego menu Xbox Live
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Karty
0	AUTO	AUTODRIVE	Autopilot
0	AUTO	H_DEFAULTS	Domyślne
0	AUTO	OLX_CAR_SELECT_TITLE	Wybór auta
0	AUTO	OLX_ENTER_PASSCODE	Proszę podać kod dostępu do %s
0	AUTO	PR_RESTART_RACE	Powtórz wyścig
0	AUTO	CONFIRM_START_NEW_CAREER	Rozpoczęcie nowej kariery oznacza zastąpienie poprzedniej. Na pewno chcesz rozpocząć nową karierę?
0	AUTO	OL_FIND_RESULTS_TITLE	znajdź wyniki
0	AUTO	MARKER_CATEGORY_DESC_MISC	Te karty obejmują premie finansowe, przepustki umożliwiające wyjście z więzienia, karty konfiskaty i dowody rejestracyjne samochodów właśnie pokonanych rywali.
0	017461C6	blacklist_pursuit_milestones_03_short	Notowania
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Przeklinanie / Lubieżność
0	AUTO	BUTTON_GAMEBREAKER	Spowalniacz
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Przedmiot
0	AUTO	PAUSE_RESUME_FREE_ROAM	Kontynuuj jazdę dowolną
0	AUTO	OPT_GAMEPLAY_TITLE	gra
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Jednostki
0	AUTO	HUD_LB_BLOWNENGINE	Zatarty silnik
0	AUTO	CSF_SPORT	Sportowe
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Próba czasowa
0	AUTO	CSF_TUNER	Regulowane
0	AUTO	HELP_BOUNTY	Zanim będziesz mógł rzucić wyzwanie kolejnemu kierowcy z Czarnej Listy, musisz uzyskać pewien poziom notowań. Możesz tego dokonać poprzez próby kamieni milowych, ale jeśli będzie Ci zależeć na wysokich notowaniach, możesz sprowokować pościg. Będziesz musiał zgubić gliny, zanim wzrosną Twoje notowania.
