#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Brazilian.bin
#	File created on: 2025-06-15 20:23:12
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	GPS
0	AUTO	LAP	VOLTA
0	AUTO	N2O	NOS
0	AUTO	RED	Vermelho
0	AUTO	BACK	Voltar
0	AUTO	BLUE	Azul
0	AUTO	COPS	Policiais
0	AUTO	GOLD	Ouro
0	AUTO	GREY	Cinza
0	AUTO	LANG_SPANISH	ESPAOL
0	AUTO	LOAD	Carregar
0	AUTO	MALE	Male
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Rosa
0	AUTO	SAVE	Salvar
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Email address of Parent or Guardian:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Connecting to lobby...
0	AUTO	MISSING_PARTS_MARKER	As cartas de NOS, Turbo e Supercharger só podem ser usadas se o carro já está equipado com alguma das versões básicas.
0	AUTO	OL_GAMEROOM_FULL	The Game Room became full before you made your selection.
0	AUTO	OLX_QUIT_STRING	Quit to Xbox Live Main Menu
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon no Lado
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Carta
0	AUTO	AUTODRIVE	Autodrive
0	AUTO	H_DEFAULTS	Padrão
0	AUTO	OLX_CAR_SELECT_TITLE	Selecionar Carro
0	AUTO	OLX_ENTER_PASSCODE	Please enter the pass code for %s
0	AUTO	PR_RESTART_RACE	Reiniciar
0	AUTO	CONFIRM_START_NEW_CAREER	Começar uma nova carreira vai sobrescrever sua carreira antiga. Continuar?
0	AUTO	OL_FIND_RESULTS_TITLE	find results
0	AUTO	MARKER_CATEGORY_DESC_MISC	Essas cartas incluem bônus em dinheiro, passes para sair da prisão, cartões extras de ordem, cartões de liberação e os documentos do carro do rival que você acabou de vencer.
0	017461C6	blacklist_pursuit_milestones_03_short	Recompensa
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Cursing or Lewdness
0	AUTO	BUTTON_GAMEBREAKER	Speedbreaker
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Item
0	AUTO	PAUSE_RESUME_FREE_ROAM	Continuar
0	AUTO	OPT_GAMEPLAY_TITLE	gameplay
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Unidades
0	AUTO	HUD_LB_BLOWNENGINE	Motor Fundido!
0	AUTO	CSF_SPORT	Sport
0	01FA1D1D	0x01FA1D1D	Flatline
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Contra o Relógio
0	AUTO	CSF_TUNER	Tuner
0	AUTO	HELP_BOUNTY	Antes de desafiar o próximo rival na Blacklist, você deve ganhar uma quantidade mínima de recompensa. Você pode ganhar recompensa completando metas, mas se precisar aumentar ainda mais, pode usar esses locais como uma maneira certa de entrar em uma perseguição. Como sempre, você precisa escapar da polícia antes que qualquer recompensa seja creditada a você.
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	Your voice chat session has ended!
0	AUTO	PN_BODYSTRIPE_01	Listra 1
