#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Russian.bin
#	File created on: 2025-05-10 16:25:45
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	GPS
0	AUTO	LAP	КРУГ
0	AUTO	N2O	N2O
0	AUTO	RED	Красный
0	AUTO	BACK	Назад
0	AUTO	BLUE	Синий
0	AUTO	COPS	Копы
0	AUTO	DEMO	#N/A
0	AUTO	GOLD	Золотой
0	AUTO	GREY	Серый
0	AUTO	LANG_SPANISH	ИСПАНСКИЙ
0	AUTO	LOAD	Загрузка
0	AUTO	MALE	Муж.
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Розовый
0	AUTO	SAVE	Сохранить
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Электронный адрес родителя или опекуна:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Вход в конференцию...
0	AUTO	MISSING_PARTS_MARKER	Жетоны впрыска закиси азота, турбонаддува и нагнетателя можно использовать только в том случае, если машина оснащена регулируемыми вариантами соответствующих систем.
0	AUTO	OL_GAMEROOM_FULL	На канале не осталось свободных мест.
0	AUTO	OLX_QUIT_STRING	
0	AUTO	PN_ROOF_18_CF_OFFSET	Тайфун (смещенный)
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Жетоны
0	AUTO	AUTODRIVE	Автопилот
0	AUTO	H_DEFAULTS	Стандарт
0	AUTO	OLX_CAR_SELECT_TITLE	Выбор автомобиля
0	AUTO	OLX_ENTER_PASSCODE	Введите код доступа для '%s'
0	AUTO	PR_RESTART_RACE	Начать заново
0	AUTO	CONFIRM_START_NEW_CAREER	Если вы начнете новую карьеру, данные старой будет перезаписаны. Продолжить?
0	AUTO	OL_FIND_RESULTS_TITLE	поиск результатов
0	AUTO	MARKER_CATEGORY_DESC_MISC	В эту категорию входят жетоны, позволяющие решить проблемы с полицией, и денежные призы. А если вам повезет, вы можете получить автомобиль соперника!
0	017461C6	blacklist_pursuit_milestones_03_short	Рейтинг
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Сквернословие
0	AUTO	BUTTON_GAMEBREAKER	Ускорение времени
0	AUTO	PAUSE_RESTART_DEMO	Перезапуск
0	AUTO	CS_ITEM	Объект
0	AUTO	PAUSE_RESUME_FREE_ROAM	В город
0	AUTO	OPT_GAMEPLAY_TITLE	игровой процесс
0	AUTO	NEEDS_LOCALIZATION	! Требуется локализация !
0	AUTO	OPT_GAMEPLAY_UNITS	Единицы измерения
0	AUTO	HUD_LB_BLOWNENGINE	Двигатель заглох
0	AUTO	CSF_SPORT	Спорт
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Секундомер
0	AUTO	CSF_TUNER	Тюнинг
0	AUTO	HELP_BOUNTY	Чтобы схлестнуться с гонщиком из списка, нужно доказать свою лихость. Ее показателем является сумма награды, назначенной за твою поимку. Эта сумма растет, когда ты выполняешь условия пари, но если нужно срочно ее повысить, поезжай туда, где явно дежурят патрульные. И конечно, не попадись им, иначе все будет зря.
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	Разговор завершен!
0	AUTO	PN_BODYSTRIPE_01	Полосы (кузов) 1
