#	Labrune - D:\[Modding]\NFS\Languages\Czech.bin
#	File created on: 2025-06-15 20:21:22
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	00000474	0x00000474	@
0	0000AC49	0x0000AC49	GPS
0	0000BF9C	0x0000BF9C	KOLO
0	0000C62E	0x0000C62E	N2O
0	0000D99A	0x0000D99A	Öervená
0	001335F0	0x001335F0	Späè
0	00136707	0x00136707	Modrá
0	0013FF94	0x0013FF94	Poliâi
0	00163085	0x00163085	Zlatá
0	00163C76	0x00163C76	Sivá
0	0016E856	0x0016E856	ÂPANIELSKY
0	0018ECFF	0x0018ECFF	Naöítaè
0	00193F3E	0x00193F3E	Male
0	001B01CC	0x001B01CC	phils default string
0	001B06B1	0x001B06B1	Ruüová
0	001C8ACE	0x001C8ACE	Uloüiè
0	001D27DF	0x001D27DF	
0	0020747C	0x0020747C	Emailová adresa rodiöa alebo zástupcu:
0	0023E142	0x0023E142	Pripájanie na cez lobby...
0	003B3E83	0x003B3E83	N2O, Turbo a Supercharger znaöky môüu byè pouüité, iba ak je auto vybavené touto tuningovou súöiastkou.
0	005A8B22	0x005A8B22	Herná miestnosè sa zaplnila predtým, neü si spravil výber.
0	0066568A	0x0066568A	Odísè do Xbox Live Hlavného menu
0	009C5148	0x009C5148	Typhoon Offset
0	00A97902	0x00A97902	Mazda RX-7
0	00A97903	0x00A97903	Mazda RX-8
0	00C888DD	0x00C888DD	Znaöky
0	00CA0312	0x00CA0312	Autodrive
0	00CA369E	0x00CA369E	Âtandardné
0	00D5F627	0x00D5F627	Výber auta
0	00D87A00	0x00D87A00	Prosím, zadaj vstupný kód pre %s
0	00DC0C9F	0x00DC0C9F	Reâtart pretekov
0	00F89214	0x00F89214	Zaöatím novej kariéry stratíâ tú starú. Naozaj chceâ zaöaè novú kariéru?
0	012C6E4C	0x012C6E4C	Nájdi výsledky
0	015BCE87	0x015BCE87	Tieto znaöky obsahujú bonusové peniaze, výstupy z basy, extra Priepustky zo zadrüania, Priepustky zo zadrüania a tieü súperove auto, ktoré si práve porazil.
0	017461C6	0x017461C6	Prestíü
0	017B2522	0x017B2522	Výhraüka alebo Obtaüovanie
0	018AE810	0x018AE810	Speedbreaker
0	01A52DA5	0x01A52DA5	Reâtart dema
0	01B8CBE3	0x01B8CBE3	Poloüka
0	01BD185C	0x01BD185C	Pokraöovaè v potulovaní
0	01CCE8C2	0x01CCE8C2	hratelnost
0	01D829D6	0x01D829D6	! Potrebná lokalizácia !
0	01E19173	0x01E19173	Jednotky
0	01E66364	0x01E66364	Zhorel motor
0	01F0E2B2	0x01F0E2B2	Âport
0	020352FB	0x020352FB	Öasový Tollbooth test
0	0205B328	0x0205B328	Tuner
0	02135588	0x02135588	Predtým, neü zaöneâ súèaüiè s ¥alâím ölenom Öierneho Zoznamu, musíâ získaè uröitú prestíü. Prestíü môzeâ získavaè splnením výziev, alebo ak chceâ získavaè aj ¥alej viac prestíüe, vyskúâaj svoje âèastie v pretekoch a naháñaökách. Ako vüdy, musíâ policajtom zdrhnúè, inak sa ti nebude daè za öo prideliè prestíü.
0	0266BA2C	0x0266BA2C	Sekcia hlasového chatu ti skonöila!
0	027347A1	0x027347A1	Body Pruh 1
0	027347A2	0x027347A2	Body Pruh 2
0	027347A3	0x027347A3	Body Pruh 3
0	027347A4	0x027347A4	Body Pruh 4
0	027347A5	0x027347A5	Body Pruh 5
0	027347A6	0x027347A6	Body Pruh 6
0	027347A7	0x027347A7	Body Pruh 7
0	027347A8	0x027347A8	Body Pruh 8
0	027347A9	0x027347A9	Body Pruh 9
0	027347C1	0x027347C1	Body Pruh 10
0	027C3EBB	0x027C3EBB	Béüová
0	027FF2DC	0x027FF2DC	Öierna
0	02837B47	0x02837B47	Hnedá
0	028FEADD	0x028FEADD	Pridaè
0	0291C816	0x0291C816	Prekonaní jeükovia
0	02AD727F	0x02AD727F	Uü si tomuto hráöovi pozvanie poslal!
0	02B00AA1	0x02B00AA1	Nastala chyba pri naöítaní vybranej sieèovej konfigurácie.
0	02CCC448	0x02CCC448	Z Ruska s láskou
0	02D32A79	0x02D32A79	je online
0	02D749ED	0x02D749ED	Po celom Rockporte môüeâ nachádzaè mnoüstvo One Stop obchodov. Ak budeâ chcieè, môüeâ ich navâtíviè a zakúpiè si výkonnostné súöiastky podÏa üelania. Pozri na mapu mesta a zistiíâ, kde sa nachádzajú.
0	02DAAB07	0x02DAAB07	Sklenené
0	02DDC8F0	0x02DDC8F0	Zelená
0	02EDCD81	0x02EDCD81	Plameñ 1
0	02EDCD82	0x02EDCD82	Plameñ 2
0	02EDCD83	0x02EDCD83	Plameñ 3
0	02EDCD84	0x02EDCD84	Plameñ 4
0	02EDCD85	0x02EDCD85	Plameñ 5
0	02EDCD86	0x02EDCD86	Plameñ 6
0	02EDCD87	0x02EDCD87	Plameñ 7
0	02EDCD88	0x02EDCD88	Plameñ 8
0	02EDCD89	0x02EDCD89	Plameñ 9
0	02EDCDA1	0x02EDCDA1	Plameñ 10
0	02EDCDA2	0x02EDCDA2	Plameñ 11
0	02EDCDA3	0x02EDCDA3	Plameñ 12
0	02F6C885	0x02F6C885	Tvoje vozidlo bolo zadrüané.
0	033CE3D4	0x033CE3D4	Öakanie na pripojenie do ISP vyprâalo.
0	03414B3A	0x03414B3A	Maska
0	034B252A	0x034B252A	NEPOKUTOVANÉ PRIESTUPKY
0	034E6E0C	0x034E6E0C	CELKOM
0	034FA2C1	0x034FA2C1	Okruh
0	036E79B9	0x036E79B9	Pouüi existujúci EA úöet
0	0381F718	0x0381F718	súhlas
0	038A6E08	0x038A6E08	PohÏad dozadu (dole)
0	039DF715	0x039DF715	Znova
0	03B4C3DE	0x03B4C3DE	Musíâ ukonöiè túto hlasovú sekciu skôr, ako odstrániâ %s zo Zoznamu priateÏov.
0	03C94B43	0x03C94B43	Priestupky
0	03CD7C4C	0x03CD7C4C	Zabudol si meno EA úötu
