#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Swedish.bin
#	File created on: 2025-05-10 16:25:55
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	i
0	AUTO	GPS	GPS
0	AUTO	LAP	Varv
0	AUTO	N2O	Lustgas
0	AUTO	RED	Röd
0	AUTO	BACK	Tillbaka
0	AUTO	BLUE	Blå
0	AUTO	COPS	Poliser
0	AUTO	GOLD	Guld
0	AUTO	GREY	Grå
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Ladda
0	AUTO	MALE	Man
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Rosa
0	AUTO	SAVE	Spara
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	E-postadress till målsman eller förmyndare: 
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Ansluter till lobby...
0	AUTO	MISSING_PARTS_MARKER	Lustgas-, turbo- och kompressormarker kan enbart användas om bilen redan är utrustad med trimningsbara varianter av dessa delar.
0	AUTO	OL_GAMEROOM_FULL	Spelrummet blev fullt innan du gjorde ditt val.
0	AUTO	OLX_QUIT_STRING	Avsluta till Xbox Live-huvudmenyn
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Marker
0	AUTO	AUTODRIVE	Autokör
0	AUTO	H_DEFAULTS	Standard
0	AUTO	OLX_CAR_SELECT_TITLE	Välj bil
0	AUTO	OLX_ENTER_PASSCODE	Ange Lösenordskod för %s
0	AUTO	PR_RESTART_RACE	Starta om race
0	AUTO	CONFIRM_START_NEW_CAREER	Om du startar en ny karriär skriver du över den gamla karriären. Är du säker på att du vill starta en ny karriär?
0	AUTO	OL_FIND_RESULTS_TITLE	hitta resultat
0	AUTO	MARKER_CATEGORY_DESC_MISC	Markerna inkluderar pengabonusar, fängelsefrikort, borgenmarker, extra beslagsmarker och ägarbeviset till den nyligen besegrade rivalens bil.
0	017461C6	blacklist_pursuit_milestones_03_short	Belöning
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Svordomar eller oanständigheter
0	AUTO	BUTTON_GAMEBREAKER	Speedbreaker
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
0	AUTO	CS_ITEM	Föremål
0	AUTO	PAUSE_RESUME_FREE_ROAM	Återgå till fri körning
0	AUTO	OPT_GAMEPLAY_TITLE	spel
0	AUTO	NEEDS_LOCALIZATION	! Needs Localization !
0	AUTO	OPT_GAMEPLAY_UNITS	Enhet på hastighetsmätare
0	AUTO	HUD_LB_BLOWNENGINE	Motorras
0	AUTO	CSF_SPORT	Sport
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	Betalstationer på tid
0	AUTO	CSF_TUNER	Trim
0	AUTO	HELP_BOUNTY	Innan du kan utmana nästa Blacklist-rival måste du öka din belöning. Det gör du genom att klara milstolpsutmaningar. Om du vill ta det ytterliggare ett steg och kastas in i en jakt direkt kan du välja en av dessa platserna. Du måste som vanligt komma undan poliserna innan du får din belöning.
0	AUTO	OL_MESS_VOIP_CHAT_ENDED	Din röstchatt är avslutad!
0	AUTO	PN_BODYSTRIPE_01	Kaross-stripe 1
0	AUTO	PN_BODYSTRIPE_02	Kaross-stripe 2
0	AUTO	PN_BODYSTRIPE_03	Kaross-stripe 3
0	AUTO	PN_BODYSTRIPE_04	Kaross-stripe 4
0	AUTO	PN_BODYSTRIPE_05	Kaross-stripe 5
0	AUTO	PN_BODYSTRIPE_06	Kaross-stripe 6
0	AUTO	PN_BODYSTRIPE_07	Kaross-stripe 7
0	AUTO	PN_BODYSTRIPE_08	Kaross-stripe 8
0	AUTO	PN_BODYSTRIPE_09	Kaross-stripe 9
0	AUTO	PN_BODYSTRIPE_10	Kaross-stripe 10
0	AUTO	BEIGE	Beige
0	AUTO	BLACK	Svart
0	AUTO	BROWN	Brun
0	AUTO	CHECK	Lägg till
0	AUTO	PRP_PURSUIT_SPIKE_STRIPES_DODGED	Passerade spikmattor
0	AUTO	OL_MSG_ALREADY_INVITED_PLAYER	Du har redan skickat en inbjudan till denna spelare!
0	AUTO	OL_MSG_ERROR_LOADING_NET_CONFIG	Ett fel uppstod vid laddning av vald nätverkskonfiguration. 
0	AUTO	CROSS_SELL_FRWL_VIDEO	From Russia With Love™
0	AUTO	OL_IS_ONLINE	är online
0	02D749ED	helpscreen_text_onestopshop	Runtom i Rockport finns ett antal olika verkstäder. Här kan du köpa trimdelar eller utrustning som får din bil att bli helt unik. Kolla in världskartan för att hitta rätt.
0	AUTO	GLOSS	Glans
0	AUTO	GREEN	Grön
0	AUTO	PN_FLAME_01	Flamma 1
0	AUTO	PN_FLAME_02	Flamma 2
0	AUTO	PN_FLAME_03	Flamma 3
0	AUTO	PN_FLAME_04	Flamma 4
0	AUTO	PN_FLAME_05	Flamma 5
0	AUTO	PN_FLAME_06	Flamma 6
0	AUTO	PN_FLAME_07	Flamma 7
0	AUTO	PN_FLAME_08	Flamma 8
0	AUTO	PN_FLAME_09	Flamma 9
0	AUTO	PN_FLAME_10	Flamma 10
0	AUTO	PN_FLAME_11	Flamma 11
0	AUTO	PN_FLAME_12	Flamma 12
0	AUTO	IB_IMPOUND	Din bil har beslagtagits.
0	AUTO	OL_MSG_ISP_TIMED_OUT	Anslutningen till din ISP tog för lång tid.
0	AUTO	MATTE	Matt
0	AUTO	RAP_US_TITLE	OREGISTRERADE ÖVERTRÄDELSER
0	AUTO	RAP_US_TOTAL	TOTALT
0	AUTO	RACETYPES_CIRCUIT	Bana
0	AUTO	OL_EA_LOGIN_USE_EXISTING_ACCOUNT	Använd befintligt EA-konto
0	AUTO	Q3RQR	aqre
0	AUTO	BUTTON_ANALOG_LOOKBACK_DOWN	Titta bakåt (Ned)
0	AUTO	RETRY	Försök igen
0	AUTO	OLX_MSG_REMOVE_FRIEND_CONFIRM_VOICE	Du måste avsluta röstchatten för att kunna ta bort %s från din kompis lista.
0	03C94B43	blacklist_rival_10_strength	Överträdelser
0	AUTO	OL_USE_EXISTING_FORGOT_ACCOUNT_NAME	Glöm mitt EA-kontonamn
0	AUTO	RAP_MAIN_CTS	> KOSTNAD FÖR STATEN
0	AUTO	RAP_MAIN_TEP	> TOPP 5-SMITNINGAR
0	AUTO	LAN_MAIN_TITLE	LAN-huvudmeny
0	AUTO	WHITE	Vit
0	040DEEAA	helpscreen_title_onestopshop	Verkstad
0	AUTO	STANDARD	Standard
0	AUTO	REP_RIVAL_CHALLENGE	rivalutmaning
0	AUTO	DEBUG_OPTIONS_TITLE	DEBUG
0	AUTO	OL_PARENTAL_PERMISSION	målsmans tillstånd
0	AUTO	MARKER_NAME_TRANSMISSION	Unika växelspaksuppgraderingar
0	AUTO	CD_CHECK_OUT_CAREER_BACKROOM	Vill du använda dina marker för att köpa och sätta på de här föremålen på din bil?
0	AUTO	OL_FEEDBACK_UNABLE_TO_SUBMIT	Kan inte skicka återkoppling
0	AUTO	CO_HOODS	Motorhuvar
0	AUTO	OL_HOST_OPTIONS	Värdalternativ
0	AUTO	OPT_CONTROLLER	Kontroller
0	04DF3B9C	blacklist_rival_06_challenge	Sätt de här för att ta dig an Ming.
0	AUTO	OL_GAMERTAG_BLOCKED	%s har blockerats. Du kommer inte att kunna ta emot meddelanden, inbjudningar eller begäran om röstchatt från %s.
0	AUTO	PRS_PERFECT_SHIFT_PERCENT	PERFEKTA VÄXLINGAR %:
0	AUTO	HIGHEST_SPEED_HEADER	Rekord:
0	AUTO	ACH_HOSEUN_DS	Besegra Ho Seun “Sonny”
0	AUTO	ACH_HOSEUN_HT	Kör mot och besegra Ho Seun och ta hans plats i Blacklist 15.
0	AUTO	OL_PLAYER_STATS	Spelarstatistik
0	AUTO	CHALLENGE_SERIES_DESC_36_HEADER	Betalstationer på tid
0	AUTO	CO_PAINT	Lack
0	AUTO	CO_PARTS	Delar
0	AUTO	HUD_SHIFT_PERFECT	Perfekt växling!
0	AUTO	OL_VOICE_CHAT_DISC_QUESTION	Koppla ned röstchatt?
0	AUTO	OPT_VO_LOD	Detaljnivå
0	AUTO	SMS_MESSAGE_101_SUBJECT	Slut på leken.
0	AUTO	CO_TIRES	Däck
0	AUTO	CO_TURBO	Turbo
0	AUTO	OL_CREATE_USER_ENTER_EMAIL	E-postadress
0	AUTO	SUBTITLE_PSA_10	Hej, jag heter Josie Maran och jag spelar Mia i ^Need for Speed™ Most Wanted.
0	AUTO	SUBTITLE_PSA_20	Se till att du bara kör hårt och tufft i spelet. Kör ansvarsfullt i trafiken och glöm inte säkerhetsbältet.
0	AUTO	ON_HEADER_LES_THAN_10	Mindre än 10%
0	AUTO	ON_HEADER_LES_THAN_15	Mindre än 15%
0	AUTO	ON_HEADER_LES_THAN_20	Mindre än 20%
0	AUTO	ON_HEADER_LES_THAN_25	Mindre än 25%
0	AUTO	ON_HEADER_LES_THAN_50	Mindre än 50%
0	AUTO	OL_READ_MESSAGES	läs meddelanden
0	AUTO	RAP_TEP_BOUNTY	BELÖNING: %$d
0	AUTO	OL_LOBBY_JOIN	Delta i spelsession
0	AUTO	OL_MSG_LOGIN_CANNOT_CONNECT	Anslutningen till lobbyservern misslyckades. 
0	AUTO	ACH_JADE_DS	Besegra Jade Barrett “Jewels”
0	AUTO	ACH_JADE_HT	Kör mot och besegra Jade Barrett och ta hans plats i Blacklist 15.
0	06C78064	blacklist_pursuit_milestones_10_short	Böter för fortkörning
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	ON_RACESTART	Alla spelare hittade och låsta
0	AUTO	OL_MSG_ACCOUNT_LOGIN_BANNED	Detta konto är avstängt.
0	AUTO	ONLINE_PARENTAL_EMAIL_CONFIRM	Bekräfta e-postadress:
0	AUTO	ACH_RONALD_DS	Besegra Ronald McCrea “Ronnie”
0	AUTO	ACH_RONALD_HT	Kör mot och besegra Ronald McCrea för att ta hans plats i Blacklist 15.
0	AUTO	PLAYER_FUND_HEADER	Pengar:
