#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Chinese_zhs.bin
#	File created on: 2025-05-10 16:24:17
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	00000474	0x00000474	@
0	0000AC49	0x0000AC49	全球定位系统
0	0000BF9C	0x0000BF9C	圈
0	0000C62E	0x0000C62E	二氧化氮
0	0000D99A	0x0000D99A	所有区域
0	001335F0	0x001335F0	返回
0	00136707	0x00136707	蓝色
0	0013FF94	0x0013FF94	警察
0	00146104	0x00146104	DEMO
0	00163085	0x00163085	金色
0	00163C76	0x00163C76	灰色
0	0016E856	0x0016E856	西班牙语
0	0018ECFF	0x0018ECFF	读取
0	00193F3E	0x00193F3E	男性
0	001B01CC	0x001B01CC	phils默认字符串
0	001B06B1	0x001B06B1	粉色
0	001C8ACE	0x001C8ACE	保存
0	001D27DF	0x001D27DF	
0	0020747C	0x0020747C	家长或监护人的电子邮件地址：
0	0023E142	0x0023E142	正在连接大厅……
0	003B3E83	0x003B3E83	氮气加速系统，涡轮和增压器标记只能用于已装备好这些零件可调版本的赛车上。
0	005A8B22	0x005A8B22	在你选择前游戏房间已满。
0	0066568A	0x0066568A	退出回到Xbox Live主菜单
0	009C5148	0x009C5148	支线台风
0	00A97902	0x00A97902	Mazda RX-7
0	00A97903	0x00A97903	Mazda RX-8
0	00C888DD	0x00C888DD	标记
0	00CA0312	0x00CA0312	自动驾驶
0	00CA369E	0x00CA369E	默认
0	00D5F627	0x00D5F627	赛车选择
0	00D87A00	0x00D87A00	请为%s输入密码
0	00DC0C9F	0x00DC0C9F	重新开始比赛
0	00F89214	0x00F89214	开始新的职业生涯会覆盖旧的职业生涯。你确定你要开始新的职业生涯吗？
0	012C6E4C	0x012C6E4C	找到结果
0	015BCE87	0x015BCE87	这些标记包括现金奖励，出狱通行证，额外扣押警告标记，^扣押免^除标记和你刚击败的对手的粉色条子。
0	017461C6	0x017461C6	赏金
0	017B2522	0x017B2522	诅咒或淫秽
0	018AE810	0x018AE810	超速器
0	01A52DA5	0x01A52DA5	重新开始演示
0	01B8CBE3	0x01B8CBE3	道具
0	01BD185C	0x01BD185C	继续自由驾驶
0	01CCE8C2	0x01CCE8C2	游戏设置
0	01D829D6	0x01D829D6	！需要本地化！
0	01E19173	0x01E19173	单位
0	01E66364	0x01E66364	爆缸
0	01F0E2B2	0x01F0E2B2	运动
0	020352FB	0x020352FB	收费站计时赛
0	0205B328	0x0205B328	调谐器
0	02135588	0x02135588	在你挑战下一个黑名单对手之前，你必须挣得一定数量的赏金。你可以通^过完成里程碑挑战来获得赏金，但是如果你想增加更多，你可以使用这些^位置来进行一场追逐。像以往一样，你需要在获得赏金之前逃离警察。
0	0266BA2C	0x0266BA2C	你的语音聊天进程已经结束！
0	027347A1	0x027347A1	车身花纹1
0	027347A2	0x027347A2	车身花纹2
0	027347A3	0x027347A3	车身花纹3
0	027347A4	0x027347A4	车身花纹4
0	027347A5	0x027347A5	车身花纹5
0	027347A6	0x027347A6	车身花纹6
0	027347A7	0x027347A7	车身花纹7
0	027347A8	0x027347A8	车身花纹8
0	027347A9	0x027347A9	车身花纹9
0	027347C1	0x027347C1	车身花纹10
0	027C3EBB	0x027C3EBB	浅褐色
0	027FF2DC	0x027FF2DC	黑色
0	02837B47	0x02837B47	棕色
0	028FEADD	0x028FEADD	添加
0	0291C816	0x0291C816	躲避钉板
0	02AD727F	0x02AD727F	你已经对此玩家发送了邀请！
0	02B00AA1	0x02B00AA1	读取选择的网络配置时出现错误。
0	02CCC448	0x02CCC448	From Russia With Love (TM)
0	02D32A79	0x02D32A79	在线
0	02D749ED	0x02D749ED	在石港你会找到很多一站式商店。你可以到那里为你的赛车购买新性能的零件或依照你的喜好定制。查看地图找到他们的位置。
0	02DAAB07	0x02DAAB07	色泽
0	02DDC8F0	0x02DDC8F0	绿色
0	02EDCD81	0x02EDCD81	光泽1
0	02EDCD82	0x02EDCD82	光泽2
0	02EDCD83	0x02EDCD83	光泽3
0	02EDCD84	0x02EDCD84	光泽4
0	02EDCD85	0x02EDCD85	光泽5
0	02EDCD86	0x02EDCD86	光泽6
0	02EDCD87	0x02EDCD87	光泽7
0	02EDCD88	0x02EDCD88	光泽8
0	02EDCD89	0x02EDCD89	光泽9
0	02EDCDA1	0x02EDCDA1	光泽10
0	02EDCDA2	0x02EDCDA2	光泽11
0	02EDCDA3	0x02EDCDA3	光泽12
0	02F6C885	0x02F6C885	你的赛车被扣押了。
0	033CE3D4	0x033CE3D4	连接到你的ISP已等待超时。
0	03414B3A	0x03414B3A	马特
0	034B252A	0x034B252A	未指控违法行为
0	034E6E0C	0x034E6E0C	总数
0	034FA2C1	0x034FA2C1	绕圈赛赛道选择
0	036E79B9	0x036E79B9	使用已有EA帐户
0	0381F718	0x0381F718	aqre
0	038A6E08	0x038A6E08	向后看（下）
0	039DF715	0x039DF715	重试
0	03B4C3DE	0x03B4C3DE	你必须结束这个语音聊天进程才能从^你的好友列表中移除%s。
0	03C94B43	0x03C94B43	违法行为
0	03CD7C4C	0x03CD7C4C	忘记我的EA帐户名称
0	03F1F0CF	0x03F1F0CF	损坏花费
0	03F2372E	0x03F2372E	最多逃离追逐次数
0	03F6F2BF	0x03F6F2BF	局域网主菜单
0	03F9E820	0x03F9E820	白色
0	040DEEAA	0x040DEEAA	一站式商店
0	0440B490	0x0440B490	标准
0	045CFD65	0x045CFD65	对手挑战
0	0464D572	0x0464D572	调试
0	047C8718	0x047C8718	家长许可
0	047F128A	0x047F128A	独特的变速箱升级件
0	04810898	0x04810898	你想使用你的标记来购买并对你的赛车使用这些物品吗？
0	04984589	0x04984589	无法提交反馈
0	04D4A88D	0x04D4A88D	引擎盖
0	04D88D82	0x04D88D82	主机选项
0	04DC6DB5	0x04DC6DB5	控制
0	04DF3B9C	0x04DF3B9C	得到下面的数字来击败大明。
0	050185F4	0x050185F4	%s已经被阻止。你不会再从%s处接到信息，要求或语音聊天邀请了。
0	050B14E9	0x050B14E9	完美换档%:
0	0512E823	0x0512E823	最快速度：
0	05261B52	0x05261B52	击败侯贤“桑尼”
0	05261BD7	0x05261BD7	与侯贤比赛并击败他，占据他在黑名单前15名上的位置。
0	053D8734	0x053D8734	玩家数据
0	054C45DA	0x054C45DA	收费站计时赛
0	055DA70C	0x055DA70C	涂料
0	055DCE1A	0x055DCE1A	零件
0	0598B065	0x0598B065	完美换档！
0	05997667	0x05997667	你想现在中断语音聊天吗？
0	05A66554	0x05A66554	细节等级
0	05A84136	0x05A84136	放松对你的要求
0	05AA9137	0x05AA9137	轮胎
0	05B1255C	0x05B1255C	涡轮
0	05B2B70F	0x05B2B70F	电子邮件地址
0	05B5538E	0x05B5538E	嗨，我是约瑟马兰，我在 极品飞车:无间追踪 中扮演米娅。
0	05B553AF	0x05B553AF	确信你已经进行了游戏中所有的比赛－^系紧安全带在街道上安全负责地驾驶。
0	05C62011	0x05C62011	少于10%
0	05C62016	0x05C62016	少于15%
0	05C62032	0x05C62032	少于20%
0	05C62037	0x05C62037	少于25%
0	05C62095	0x05C62095	少于50%
0	0604E02C	0x0604E02C	阅读信息
0	060C058A	0x060C058A	赏金：%$d
0	063D57A0	0x063D57A0	加入游戏进程
