#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Czech_Frontend.bin
#	File created on: 2025-05-24 11:10:39
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	CELKOVÁ ČÁSTKA ZA OPRAVY
0	AUTO	MODE_ALL	Všechna auta
0	AUTO	CUST_VINYL_MOVE_LAYER	Posunout vrstvu Nahoru/Dolu
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	BLOK MOTORU
0	AUTO	CAR_SELECT_MUSTANGGT	Čtvrtá generace vozu Mustang má 4,6l motor s osmi válci. Tento vůz to, co si představíte, když slyšíte slovo mustang.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Toto vylepšení nahrazuje stávající součásti motoru silnějšími, se zvýšenou životností, což umožňuje dostat z motoru větší výkon a udržet vyšší otáčky.
0	AUTO	CUST_VISUAL_DECALS	POTISKY
0	AUTO	CUST_CUSTOMIZE	Upravit Projekt
0	AUTO	CODE_ENTRY_VALID	Gratulujeme! Váš kód byl přijat a vaše odměna byla odemknuta.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	BRZDOVÉ ČELISTI
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Máte v nákupním vozíku žetony, které nebyly zakoupeny. Chcete přesto odejít?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	STABILIZÁTORY
0	AUTO	CUST_QUICK_HANDLING_D3	Toto vylepšení využívá tvrdší pérování pro zajištění větší stability v přímé jízdě.
0	AUTO	CUST_QUICK_HANDLING_G3	Toto vylepšení využívá tvrdší pérování pro zajištění větší stability v přímé jízdě i v zatáčkách.
0	AUTO	CUST_QUICK_HANDLING_S3	Toto vylepšení využívá tvrdšího pérování k zajištění lepší ovladatelnosti vozu v zatáčkách ve vysokých rychlostech.
0	AUTO	CUST_REGION_REAR_TIRE	ZADNÍ PNEUMATIKA
0	AUTO	FE_STATS_BEST_SECTOR	NEJLEPŠÍ ÚZEMÍ
0	AUTO	CL_FREE_CAR_MARKER	ŽETON NA AUTO ZDARMA
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	DEFINOVAT ZÁVODY
0	AUTO	CUST_QUICK_BRAKE_DI3	Toto vylepšení zajistí, že bude dosažena maximální brzdná doba, ale umožní a doknce podpoří ztrátu trakce při zpomalování.
0	AUTO	CUST_BP_APPLY_CONFIRM	Zakoupení všech požadovaných dílů, které jsou potřeba, pokud chcete použít tento projekt, vás bude stát {0:d}. Chcete pokračovat?
0	AUTO	CUST_SLOT_BUSHING_KIT	SADA SILENT BLOKŮ
0	AUTO	FE_STATS_GAMES_PLAYED	POČ. ODEHRANÝCH HER
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUSOVÉ VOZY
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	VRSTVA {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	INFORMACE O BALÍČKU
0	AUTO	CUST_SLOT_NITROUS_DESC	N2O, vysoce vznětlivý plyn, může být vstřikován do válce v průběhu zážehu, což krátkodobě zvýší výkon.
0	AUTO	CUST_QUICK_MANAGEMENT_1	Toto vylepšení slouží k přeprogramování procesoru na maximální výkon.
0	AUTO	CUST_QUICK_MANAGEMENT_2	Toto vylepšení slouží k přeprogramování procesoru na maximální výkon.
0	AUTO	CS_HEADER_SPEED_EVENT	RYCHLOSTNÍ VÝZVY
0	AUTO	CUST_SLOT_HEADS_DESC	Úpravou ventilů v hlavě válců můžete docílit zvýšení přívodu vzduchu do motoru a odvodu výfukových plynů ven z motoru. Toto má za následek vyšší výkon.
0	AUTO	CUST_VINYL_ADDLAYER	PŘIDAT DALŠÍ VRSTVU
0	AUTO	CUST_CAT_SPEED_FORCED	Turbo, které zabírá již při nízkých otáčkách, vám poskytne užitečnou výkonovou charakteristiku a jedinečnou výhodu na závodní dráze či na silnici.
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	NEJVĚTŠÍ NÁSOBEK
0	AUTO	RACE_MODE_GRIP_MODE	REŽIM^GRIP
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	Dalším krokem je nadefinování jednotlivých závodů pro váš závodní den.
0	AUTO	FE_STATS_NUMBER_OF_RACES	POČET ZÁVOVDŮ
0	AUTO	CUST_CAT_DRIFT_DRIVETRAIN	Toto vylepšení zahrnuje zesílené komponenty přenášející sílu motoru na kola, jako je hnací hřídel, diferenciál a osy.
0	AUTO	FE_STATS_NUMBER_CAREER_GAMES	POČET HRY KARIÉRY
0	AUTO	RACE_DAY_ADD_EVENT	PŘIDAT ZÁVOD
0	AUTO	BLUEPRINT_NO_DLC_CONTENT	Tento projekt není kompatibilní s vaší verzí hry Need for Speed™ ProStreet, a proto nemůže být použit. Více informací o aktualizacích a novém obsahu hry najdete na webových stránkách NeedforSpeed.com.
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	CUST_PAINT_WHEELS	BARVA KOL
0	AUTO	CUST_BLUEPRINT_SET_ACTIVE	Nastavit jako Aktivní Projekt
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	CUST_ENGINE_MANAGEMENT_TITLE	NASTAVENÍ MOTORU
0	AUTO	HUBMAP_HEADING_WIN_REWARD	ODMĚNA ZA VÝHRU
0	AUTO	CUST_PAINT_BODY	LAK
0	AUTO	CUST_PAINT_RIMS	KOLA
0	AUTO	CUST_PAINT_TINT	FÓLIE
0	AUTO	FE_MATCHMAKING_ERROR_NONE	Nedošlo k žádné chybě.
0	AUTO	RACEDAY_CONFIRM_DELETE	Opravdu chcete odstranit tento závodní den? Vaše nastavení a vytvořené rekordy tohoto závodního dne budou ztraceny.
0	AUTO	MENU_TITLE_LANGUAGE_SELECT	VÝBĚR JAZYKA
0	AUTO	CUST_SLOT_BUSHINGS_DESC	Silent bloky vyrobené z tvrdších materiálů jako je uretan nebo hliník umožňují vašemu vozu zatáčet prudčeji s menším přetáčením.
0	AUTO	HUB_DIFFICULTY_2	STŘEDNÍ
0	AUTO	CUST_TUNE_SPEED_BRAKES	Opakovaným zastavováním vozidla se v brzdném systému vytváří nadbytečné teplo a po čase hrozí zvýšení brzdných drah. Větší brzdný systém pomáhá snižovat teploty a brzdy jsou konzistentní.
0	AUTO	FE_STATS_HIGHEST_TOP_SPEED	NEJVYŠŠÍ MAX. RYCHLOST
0	AUTO	CL_SELECT_PURCHASE_METHOD	Zvolte způsob nákupu
0	AUTO	CUST_SLOT_INTAKE_DESC	Čím více studeného vzduchu se motoru dostává, tím lépe pracuje. A čím je vzduch chladnější, tím větší výkon motor produkuje.
0	AUTO	LANG_SPANISH_NO_TRANSLATION	ESPAÑOL
0	AUTO	CUST_CAT_DRIFT_SUSPENSION	S důrazem kladeným na přetáčivost vozu byl dozadu umístěn velký stabilizátor, hliníkové silent bloky a odstraněn přední stabilizátor. To umožní snadnější přechod do driftu.
0	AUTO	DIALOG_MSG_CONFIRM_LEAVE_CARSELECT	Přejete si zavřít Obrazovku pro výběr auta a vrátit se zpět na Mapu kariéry?
0	AUTO	RACEDAY_SAVING_RACEDAY_PROG	Probíhá ukládání závodního dne...
0	AUTO	FE_STATS_HIGHEST_RATED_CAR_TUNER	NEJOCEŇOVANĚJŠÍ TUNER
0	AUTO	RACE_MODE_DESCRIPTION	Výběrem závodního režimu* ovlivníte typy závodů, ve kterých budete v tomto autě moci soutěžit.
0	AUTO	CUST_NO_WIND_TUNNEL_PARTS	Pro vstup do větrného tunelu musíte mít nainstalovány díly AutoSculpt!
0	AUTO	CUST_SLOT_INTAKEMANIFOLD_DESC	Čím větší je kapacita sání, tím více vzduchu se do motoru dostává. Čím více vzduchu proudí do motoru, tím lépe lze využít jeho potenciálu.
0	AUTO	FE_STATS_TOP_TOTAL_CHECKPOINT_SPEED	NEJVYŠŠÍ CELKOVÁ RYCHL. - KB*
0	AUTO	CUST_SLOT_FUEL_SYSTEM	PALIVOVÝ SYSTÉM
0	AUTO	PS2_P2START_MESSAGE	
0	AUTO	CAR_SELECT_MAZDASPEED3	Vybavena turbo motorem o objemu 2,3 l, výkonem 260+ koní a šestistupňovou převodovkou je Speed 3 moderní hatchback.
