#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Czech_InGame.bin
#	File created on: 2025-05-24 11:10:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Opustit závodní den
0	AUTO	HUD_BURNOUT_INCREDIBLE	Skvělé zahřátí pneumatik!
0	AUTO	HUD_DRIFT_DOMINATING	Ovládáte!
0	AUTO	HUD_DRIFT_KEEP_MOVING	POHYB!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	KONEC DRIFTU
0	AUTO	HUD_LOST_TRACTION	ZTRÁTA TAHU*
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	OPRAVENO
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	SKUPINA B
0	AUTO	HUD_MATCHUP	Závod proti
0	AUTO	HUD_ENGINE_BLOWN	VYBOUCHL MOTOR!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Opravit za žetony
0	AUTO	FE_POSTRACE_TOTAL_SPEED	CELKOVÁ RYCHLOST
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Oba hráči nemají k dispozici žádný vůz pro tento závod.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	NEJLEPŠÍ JÍZDA PO ZADNÍCH
0	AUTO	HUB_MARKERSELECT_PARTS	DÍLY
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	SKVĚLÝ ZAČÁTEK!
0	AUTO	HUD_DRIFT_FOLLOWER	Jste následující
0	AUTO	HUD_DAMAGE_HEAVY	TĚŽKÉ POŠKOZENÍ!
0	AUTO	HUD_DAMAGE_LIGHT	LEHKÉ POŠKOZENÍ
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Tento závod jste již absolvovali.
0	AUTO	HUD_DRIFT_POINTS_EARNED	B. NAPOČÍTÁNO:
0	AUTO	ON_HIDE_SETTINGS	Skrýt nastavení
0	AUTO	HUD_TOTALLED	AUTO ZNIČENO!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} @ {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Gratulujeme, vyhráli jste závodní den! Vyberte si prosím odměnu.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	Čas z 0 na 100
0	AUTO	HUB_SHADOW_LOCAL	MŮJ LOKÁLNÍ STÍN
0	AUTO	HUD_DRAG_TIME	ČAS DRAGU
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	BONUS ZA JÍZDU PO ZADNÍCH KOLECH
0	AUTO	HUB_ONLINE_LEADER	LÍDR
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Gratulujeme, vyhráli jste {1:s} STUPNĚ {0:d} pro váš {2:s}. ^
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Nejlepší jízda po zadních:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Pokoušíte se vstoupit do závodu s poškozeným autem. Chcete opravdu pokračovat?
0	AUTO	HUD_DRAG_EIGHTH_MILE	Čas 1/8 míle:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	SKUPINA A
0	AUTO	HUD_SECTOR_CLAIMED	^REKORD ÚZEMÍ POKOŘEN!^+{1:f.0} bodů
0	AUTO	HUD_DISTANCE_REMAINING	ZBÝVAJÍCÍ VZDÁLENOST:
0	AUTO	HUB_SCREEN_P1	H1
0	AUTO	HUB_SCREEN_P2	H2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	CELKOVÝ ČAS NA DOKONČENÍ SOUTĚŽE
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	ZMĚNIT AUTO
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	ZAČÁTEK BODOVANÉ ZÓNY!
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	Nemáte dostatek bodů pro ovládnutí tohoto závodního dne. Pokud tento závodní den nyní opustíte, budete mít při příštím vstupu do tohoto závodního dnu 0 bodů. Opravdu chcete pokračovat a opustit závodní den?
0	AUTO	ASSIST_LEVEL_KING_CAPS	KRÁL
0	AUTO	HUD_DRIFT_GREAT_DRIFT	SKVĚLÝ SMYK
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	Pokoušíte se opravit zničené auto. Budete muset použít žeton celkové opravy.
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	Závod probíhá
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	FINÁLE
0	AUTO	HUD_DRIFT_NICE_DRIFT	PĚKNÝ SMYK
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	Nemáte dostatek peněz na opravu poškození.
0	AUTO	HUD_NICE_WHEELIE	Pěkná jízda na zadních kolech!
0	AUTO	HUB_QUIT	UKONČIT
0	AUTO	HUB_RACE	ZÁVODY
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	Připravit
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	Zahřejte pneumatiky
