#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Danish_Frontend.bin
#	File created on: 2025-05-24 11:11:06
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	FE_STATS_TOTAL_REPAIR_COST	SAMLET BELØB BRUGT PÅ REPARATION
0	AUTO	MODE_ALL	Alle biler
0	AUTO	CUST_VINYL_MOVE_LAYER	Flyt hele laget op/ned
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	CUST_SLOT_ENGINE_BLOCK	MOTOR
0	AUTO	CAR_SELECT_MUSTANGGT	Med sin 4,6L v8-motor er det denne 4.-generations Mustang, de fleste tænker på, når de snakker om ponybiler.
0	AUTO	CUST_CAT_SPEED_INTERNALS	Denne opgradering erstatter dine oprindelige motordele med stærkere og mere holdbare dele, der giver motoren mere styrke og sætter den i stand til bedre at modstå et højt antal omdrejninger per minut.
0	AUTO	CUST_VISUAL_DECALS	MÆRKATER
0	AUTO	CUST_CUSTOMIZE	Tilpas den tekniske tegning
0	AUTO	CODE_ENTRY_VALID	Tillykke! Din kode er korrekt, og der er blevet låst op for din belønning.
0	AUTO	CUST_SLOT_BRAKE_CALIPERS	MÅLEPASSERE
0	AUTO	FE_MARKERMAN_EXIT_CONFIRM	Du har klip i din indkøbsvogn, som du endnu ikke har købt. Forlad butikken alligevel?
0	AUTO	CUST_SLOT_ANTI_ROLL_BARS	VALSERS MODVÆRDI
0	AUTO	CUST_QUICK_HANDLING_D3	Opgraderingen her benytter en sammensætning af stivere affjedringskomponenter, der gør bilens kørelinje mere lige.   ^
0	AUTO	CUST_QUICK_HANDLING_G3	Opgraderingen her benytter en sammensætning af stivere affjedringskomponenter, der gør bilens kørelinje mere lige.   ^
0	AUTO	CUST_QUICK_HANDLING_S3	Denne opgradering benytter en sammensætning af stivere affjedringskomponenter, der gør bilen mere stabil ved høje hastigheder både i sving og på lige strækninger.   ^
0	AUTO	CUST_REGION_REAR_TIRE	DÆK TIL BAGHJUL
0	AUTO	FE_STATS_BEST_SECTOR	BEDSTE SEKTOR
0	AUTO	CL_FREE_CAR_MARKER	GAVEKORT
0	AUTO	RACEDAY_DEFINE_RACE_EVENTS_TITLE	VÆLG LØB
0	AUTO	CUST_QUICK_BRAKE_DI3	Denne opgradering sørger for, at din bil har den bedste bremsetid, men både tillader og tilskynder dækkene til at miste trækkraften under nedbremsning.   ^
0	AUTO	CUST_BP_APPLY_CONFIRM	Det koster {0:d} at købe alle de dele, der er nødvendige for at kunne anvende denne tekniske tegning på din bil. Ønsker du at fortsætte?
0	AUTO	CUST_SLOT_BUSHING_KIT	BØSNINGSSÆT
0	AUTO	FE_STATS_GAMES_PLAYED	ANTAL SPIL SPILLET
0	AUTO	FE_CAR_SELECT_FILTER__BONUS_CARS	BONUSBILER
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	CUST_VINYL_LAYER_HEADER	LAG {0:d}
0	AUTO	CUST_PACKAGE_INFORMATION	PAKKEINFORMATION
0	AUTO	CUST_SLOT_NITROUS_DESC	Nitro, en yderst brændbar gasart, kan indføres i cylinderen under forbrændingen og udgøre en markant, men midlertidig krafttilførsel.
0	AUTO	CUST_QUICK_MANAGEMENT_1	Denne opgradering omprogrammerer motorcomputeren og øger ydelsen.   ^
0	AUTO	CUST_QUICK_MANAGEMENT_2	Denne opgradering omprogrammerer motorcomputeren og øger ydelsen.   ^
0	AUTO	CS_HEADER_SPEED_EVENT	FARTRÆS
0	AUTO	CUST_SLOT_HEADS_DESC	Ved at bruge ventiler på dit cylinderhoved, kan du øge indstrømningen af luft til motoren og få flere udstødningsgasser ud af motoren. Resultatet er flere hestekræfter.
0	AUTO	CUST_VINYL_ADDLAYER	TILFØJ NYT LAG
0	AUTO	CUST_CAT_SPEED_FORCED	En turbo med lille forsinkelse og hurtig opspoling giver dig en betragtelig styrke og en fordel, der er svær at konkurrere med både på banen og på gaden.
0	AUTO	FE_STATS_HIGHEST_MULTIPLIER	BEDSTE FORDOBLER
0	AUTO	RACE_MODE_GRIP_MODE	BANERÆS
0	AUTO	RACEDAY_DESC_DEFINE_RACE_EVENTS	Næste trin er at definere løbene til din løbsdag.
0	AUTO	FE_STATS_NUMBER_OF_RACES	ANTAL LØB
0	AUTO	CUST_CAT_DRIFT_DRIVETRAIN	Denne opgradering styrker de dele, der overfører motorkraft til hjulene, også kardanakslen, differentialerne og hjulakslerne.
0	AUTO	FE_STATS_NUMBER_CAREER_GAMES	ANTAL KARRIERESPIL
0	AUTO	RACE_DAY_ADD_EVENT	TILFØJ LØB
0	AUTO	BLUEPRINT_NO_DLC_CONTENT	Denne tekniske tegning er ikke kompatibel med din version af Need for Speed™ ProStreet og kan ikke bruges. Besøg NeedforSpeed.com, hvis du vil have mere information om opdateringer og nyt indhold til spillet.
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	CUST_PAINT_WHEELS	HJULMALING
0	AUTO	CUST_BLUEPRINT_SET_ACTIVE	Aktivér teknisk tegning
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	CUST_ENGINE_MANAGEMENT_TITLE	MOTORSTYRING
0	AUTO	HUBMAP_HEADING_WIN_REWARD	SEJRSPRÆMIE
0	AUTO	CUST_PAINT_BODY	MALING
0	AUTO	CUST_PAINT_RIMS	HJUL
0	AUTO	CUST_PAINT_TINT	TONEDE RUDER
0	AUTO	FE_MATCHMAKING_ERROR_NONE	Der opstod ingen fejl.
0	AUTO	RACEDAY_CONFIRM_DELETE	Er du sikker på, du vil slette denne løbsdag? Indstillingerne til løbsdagen vil gå tabt.
0	AUTO	MENU_TITLE_LANGUAGE_SELECT	VÆLG ET SPROG
0	AUTO	CUST_SLOT_BUSHINGS_DESC	Bøsninger lavet af stivere materiale såsom uretan eller aluminium vil gøre det muligt for din bil at dreje skarpere med mindre krængning.
0	AUTO	HUB_DIFFICULTY_2	MIDDEL
0	AUTO	CUST_TUNE_SPEED_BRAKES	Når en bil nedbremses mange gange, skaber det overophedning i bremsesystemet, hvilket kan resultere i, at bremselængden forøges. Et større bremsesystem hjælper med at holde temperaturen nede og nedbremsningerne jævne.^
0	AUTO	FE_STATS_HIGHEST_TOP_SPEED	HØJESTE TOPHASTIGHED
0	AUTO	CL_SELECT_PURCHASE_METHOD	Vælg betalingsmåde
0	AUTO	CUST_SLOT_INTAKE_DESC	Jo mere kold luft en motor modtager, jo bedre ydelse kan den præstere. Desuden vil en koldere luft resultere i mere kraft.
0	AUTO	LANG_SPANISH_NO_TRANSLATION	ESPAÑOL
0	AUTO	CUST_CAT_DRIFT_SUSPENSION	Med fokus på overstyring vil det store vippereduktionsophæng, bøsningerne af aluminium og fjernelsen af det forreste ophæng gør det meget lettere for din bil at køre sidelæns.
0	AUTO	DIALOG_MSG_CONFIRM_LEAVE_CARSELECT	Vil du forlade skærmen, hvor du vælger bil, og gå tilbage til kortet?
0	AUTO	RACEDAY_SAVING_RACEDAY_PROG	Gemmer løbsdag ...
0	AUTO	FE_STATS_HIGHEST_RATED_CAR_TUNER	BEDST VURDEREDE TUNERBIL
0	AUTO	RACE_MODE_DESCRIPTION	Ved at vælge din løbstype vælger du også, hvilke løb denne bil kan deltage i.
0	AUTO	CUST_NO_WIND_TUNNEL_PARTS	Du skal installere AutoSculpt-dele for bruge vindtunnellen!
0	AUTO	CUST_SLOT_INTAKEMANIFOLD_DESC	Jo højere kapicitet luftindsugningen har, jo mere luft vil motoren modtage på en gang. Med en stor og jævn indsugning vil motoren oftere være i stand til at opnå sin maksimale ydelse.
0	AUTO	FE_STATS_TOP_TOTAL_CHECKPOINT_SPEED	TOTAL TOPHAST. VED KONTROLPUNKT.
0	AUTO	CUST_SLOT_FUEL_SYSTEM	BRÆNDSTOFINDSPRØJTNING
0	AUTO	PS2_P2START_MESSAGE	
0	AUTO	CAR_SELECT_MAZDASPEED3	Med sin turbo 2,3L-motor, 260+hk, LSD og 6 gear er Speed 3 en tempofyldt lille sag.
0	AUTO	CUST_QUICK_DRIVETRAIN_DI3	Med denne opgradering får din bil et endnu hurtigere og mere præcist gearskifte, samtidig med at den sætter de komponenter, der overfører motorkraft til hjulene, på højde med en racerbils standard.   ^
0	AUTO	CAR_SELECT_INTEGRA	Kouki'en, med dens tempofyldte serie B-motor, er en utrolig populær bil blandt racerentusiaster på grund af god manøvrering og motorens mange indstillingsmuligheder.
0	AUTO	FE_HUBMAP_ETREE_CARS	BILER
0	AUTO	CUST_QUICK_ENGINEGROUP_1	Denne opgradering øger den samlede motorkraft.   ^
0	AUTO	CUST_QUICK_ENGINEGROUP_2	Opgraderingen her er i en særlig klasse og får motorkraften til at ligne en racerbils.   ^
0	AUTO	CUST_TUNE_SPEED_ENGINE	Noget af det vigtigste er at holde hastigheden igennem svingene, såvel som accelerationen ud af dem. Mere motorkraft øger muligheden for at skyde ud af svingene i høj fart.^
0	AUTO	GARAGE_REPAIR_CONFIRM	Er du sikker på, at du vil reparere denne bil?
0	AUTO	CAR_SELECT_S3	Denne 2.-generations S3 bliver ikke solgt i Nordamerika.
0	AUTO	CAR_SELECT_S4	Om end den er mindre vild end RS4´eren, har S4´eren også en 4,2l V8-motor.
0	AUTO	CAR_SELECT_TT	Andenudgaven af TT´en. Denne nye udgave har vundet flere priser som årets bil.
0	AUTO	CUST_ENGINE_NITROUS_GROUP	NITRO
0	AUTO	FE_STATS_DOWNLOADING_STATS	STATISTIK OVER DOWNLOAD
0	AUTO	CUST_QUICK_FORCED_D3	Trykladning, drag - niveau 3
0	AUTO	CUST_QUICK_FORCED_G3	Denne opgradering forøger mængden af luft, der presses ind i motoren, hvilket styrker den samlede motorkraft endnu mere og bringer bilen på højde med racerbiler.   ^
0	AUTO	CUST_QUICK_FORCED_S3	Denne opgradering forøger mængden af luft, der presses ind i motoren, hvilket styrker den samlede motorkraft endnu mere og bringer bilen på højde med racerbiler.   ^
0	AUTO	CUST_PAINT_GROUP_CANDY	LÆKKERIER
0	AUTO	CUST_PAINT_GROUP_GLOSS	HØJGLANS
0	AUTO	CUST_PAINT_GROUP_MATTE	MATTE
0	AUTO	CUST_DRIVETRAIN_GROUP	TRANSMISSION
0	AUTO	CUST_PAINT_GROUP_PEARL	PERLEMOR
0	AUTO	CUST_QUICK_MANAGEMENT_D3	Denne opgradering optimerer omprogrammeringen af motorcomputeren og øger ydelsen ved hurtig acceleration.   ^
0	AUTO	CUST_QUICK_MANAGEMENT_G3	Denne opgradering optimerer omprogrammeringen af motorcomputeren og øger ydelsen.^
0	AUTO	CUST_QUICK_MANAGEMENT_S3	Denne opgradering optimerer omprogrammeringen af motorcomputeren og øger ydelsen.   ^
0	AUTO	CUST_SLOT_CALIPERS_DESC	Målepassere med større eller flere stempler kan fordele overfladen fra bremseskiven til rotoren mere jævnt, hvilket giver større bremsekraft.
0	AUTO	MENU_SPLASH_START_PROMPT_XENON	Tryk på START for at fortsætte
0	AUTO	RACE_DAY_SLOT_ID	PLADS {0:d}
0	AUTO	CUST_SLOT_MUFFLERS	LYDPOTTER
0	AUTO	FE_MATCHMAKING_ERROR_GAME_JOIN_TIMEOUT	Det lykkedes ikke oprette forbindelse til spillet. Prøv venligst igen.
0	AUTO	COMMON_START	Start
