#	Labrune - D:\Games\NFS Pro Street\LANGUAGES\Danish_InGame.bin
#	File created on: 2025-05-24 11:11:43
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUB_REPAIR_EXITHUB	Forlad løbsdag
0	AUTO	HUD_BURNOUT_INCREDIBLE	Utroligt hjulspin!
0	AUTO	HUD_DRIFT_DOMINATING	Du styrer!
0	AUTO	HUD_DRIFT_KEEP_MOVING	FART PÅ!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT AFSLUTTET
0	AUTO	HUD_LOST_TRACTION	DU SAKKER BAGUD
0	AUTO	HUB_REPAIR_SCREEN_STATUS_REPAIRED	REPARERET
0	AUTO	FE_POSTRACE_CLASS_B_HEADER	GRUPPE B
0	AUTO	HUD_MATCHUP	Matchet med
0	AUTO	HUD_ENGINE_BLOWN	MOTOREN ER BRÆNDT SAMMEN!
0	AUTO	HUB_SCREEN_CAR_REPAIR_USE_MARKER	Reparer med klip
0	AUTO	FE_POSTRACE_TOTAL_SPEED	SAMLET FART
0	AUTO	HUB_SPLITSCREEN_EVENT_NOCARS_BOTH	Ingen spillere har biler til at køre dette løb.
0	AUTO	HUB_MARKERSELECT_BONUS	BONUS
0	AUTO	FE_POSTRACE_TABLE_HEADER_BEST_WHEELIE	BEDSTE WHEELIE
0	AUTO	HUB_MARKERSELECT_PARTS	DELE
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFEKT START!
0	AUTO	HUD_DRIFT_FOLLOWER	Du er forfølgeren
0	AUTO	HUD_DAMAGE_HEAVY	ALVORLIG SKADE!
0	AUTO	HUD_DAMAGE_LIGHT	MINDRE SKADE!
0	AUTO	HUB_SPLITSCREEN_EVENT_PLAYED	Du har allerede kørt dette løb.
0	AUTO	HUD_DRIFT_POINTS_EARNED	POINT TJENT
0	AUTO	ON_HIDE_SETTINGS	Skjul indstillinger
0	AUTO	HUD_TOTALLED	TOTALSKADET!
0	AUTO	DRAG_RESULTS_DISPLAY_FORMAT	{0:s} - {1:s}
0	AUTO	HUB_MARKERSELECT_WONCONGRATS	Tillykke, du vandt løbsdagen! Vælg en af følgende belønninger.
0	AUTO	FE_POSTRACE_ZERO_TO_HUNDRED	TID -  0 TIL 100
0	AUTO	HUB_SHADOW_LOCAL	MIN LOKALE SKYGGEBIL
0	AUTO	HUD_DRAG_TIME	TID
0	AUTO	FE_POSTRACE_WHEELIE_BONUS	LÆNGDEBONUS, WHEELIE
0	AUTO	HUB_ONLINE_LEADER	FØRERBIL
0	AUTO	HUB_MARKERSELECT_CONGRATS_PART_2	Præmie: {1:s} på niveau {0:d} til din {2:s}.
0	AUTO	FE_POSTRACE_BEST_WHEELIE	Bedste Wheelie:
0	AUTO	FE_HUB_DIALOG_DAMAGED_CAR_FOR_EVENT_CONFIRM	Du er ved at deltage i et løb med en beskadiget bil. Er du sikker på, at du vil fortsætte?
0	AUTO	HUD_DRAG_EIGHTH_MILE	1/8 mil - Tid:
0	AUTO	FE_POSTRACE_CLASS_A_HEADER	GRUPPE A
0	AUTO	HUD_SECTOR_CLAIMED	^NY REKORD I SEKTOR !^+{1:f.0} point
0	AUTO	HUD_DISTANCE_REMAINING	RESTERENDE DISTANCE:
0	AUTO	HUB_SCREEN_P1	S1
0	AUTO	HUB_SCREEN_P2	S2
0	AUTO	FE_TOTAL_TIME_TO_COMPLETE	TID FOR AT FULDFØRE KONKURRENCEN
0	AUTO	HUB_SPLITSCREEN_CARREPAIR_CONFIRM_SWITCH_BUTTON	SKIFT
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	DU ER NU I POINTZONEN!
0	AUTO	HUB_RETIRE_NOTWON_CONFIRM	Du har ikke fået point nok til at dominere løbsdagen. Hvis du forlader den, vil du starte med 0 point, næste gang du spiller løbsdagen. Vil du fortsætte og forlade løbsdagen?
0	AUTO	ASSIST_LEVEL_KING_CAPS	KONGE
0	AUTO	HUD_DRIFT_GREAT_DRIFT	LÆKKER DRIFT
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_TOTAL_REPAIR_MARKERS	Du forsøger at reparere en totalskadet bil. Du bliver nødt til at bruge et reparationsklip til totalskader.
0	AUTO	ONLINE_ROOM_STATUS_RACE_IN_PROGRESS	Løbet er i gang
0	AUTO	FE_POSTRACE_TABLE_HEADER_FINAL	TOTAL
0	AUTO	HUD_DRIFT_NICE_DRIFT	GOD DRIFT
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOMONEY	Du har ikke penge nok til at reparere skaden på din bil.
0	AUTO	HUD_NICE_WHEELIE	Fed wheelie!
0	AUTO	HUB_QUIT	AFSLUT
0	AUTO	HUB_RACE	LØB
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES1	Gør dig klar til at
0	AUTO	HUD_PREPARE_TO_HEAT_TIRES2	varme dækkene op
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_CASH	Du forsøger at reparere en bil uden at have nogen klip tilbage. Du kan stadig bruge kontanter.
0	AUTO	HUB_SCREEN_CAR_REPAIR_CAREER_ONLY_MARKERS	Du forsøger at reparere en bil uden at have nok penge. Du kan i stedet bruge et af dine klip.
0	AUTO	FE_POSTRACE_ZERO_TO_SIXTY	TID PÅ 0 TIL 60
0	AUTO	HUB_RACE_MODE_PRACTICE	Træning
0	AUTO	HUD_ROUND_MATCHUP	RUNDE {0:d} UD AF {1:d}
0	AUTO	HUD_BURNOUT_GOOD	Flot hjulspin!
0	AUTO	HUD_BURNOUT_WEAK	Svagt hjulspin^^
0	AUTO	GAMEPLAY_DRAG_FALSESTART	TYVSTART!
0	AUTO	HUD_ONLINE_HURRY_UP	SKYND DIG!
0	AUTO	HUD_CHECKPOINT	KONTROLPUNKT:
0	AUTO	FE_HUB_DIALOG_CONFIRM_REPAIR_NOTOTALED	Du kan ikke reparere en totalskadet bil, når du deltager i en løbsdag.
0	AUTO	HUD_REACHED_75_GRIP_BONUS	75 % bedre vejgreb
0	AUTO	FE_POSTRACE_FINISH_TIME	Sluttid:
0	AUTO	HUD_LAUNCHED_PERFECT	Perfekt start!
0	AUTO	PR_MATCHUP_CLASS_B_TITLE	RESULTATER GRUPPE B
0	AUTO	HUD_NEXT_CHECKPOINT_MILES	Næste kontrolpunkt^{0:s} mil
0	AUTO	HUD_DRIFT_RACE_OVER	LØBET ER FORBI!
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	Er du sikker på, at du vil genstarte løbet?
0	AUTO	HUD_FINISH_FIRST	DU BLEV NR. 1!
0	AUTO	DAMAGE_DIALOG_REPAIR_WITH_MARKER	BRUG KLIP
0	AUTO	HUD_FINISH_THIRD	DU SLUTTEDE PÅ TREDJEPLADSEN!
0	AUTO	FE_STATISTICS_LABEL	Statistik
0	AUTO	SHADOW_UPLOAD_SUCCESS_TEXT	Upload er gennemført
0	AUTO	FE_POSTRACE_TARGET_TIME	Banerekord:
0	AUTO	FE_PR_CONFIRM_RESTART	Er du sikker på, at du vil genstarte løbet?
0	AUTO	FE_PAUSE_CONFIRM_EXIT	Hvis du forlader løbet nu, vil du miste alle dine fremskridt i løbet. Er du sikker på, at du vil fortsætte?
0	AUTO	FE_POSTRACE_DAMAGE_TOTALED	Totalskadet
0	AUTO	HUD_BEST_LAP_TIME_LOST	BEDSTE OMGANGSTID TABT!
0	AUTO	HUB_EXIT_AFTER_REPAIRSCREEN_CONFIRM	Er du sikker på, at du vil afslutte?
0	AUTO	MENU_PAUSE_TITLE	PAUSE
0	AUTO	HUB_REPAIRALL_NOMONEY	Du har ikke penge nok. Du skal bruge mindst {0:d} til reparationerne.
0	AUTO	FE_POSTRACE_TABLE_HEADER_INTERIM	HIDTIL BEDSTE
0	AUTO	HUB_SHADOW_SERVER_SAME_CLUB	Skyggebiler fra samme klub
0	AUTO	HUB_SHADOW_SERVER_SAME_TIER	Skyggebiler fra samme niveau
0	AUTO	PR_MATCHUP_RESULTS_FINAL_TITLE	RESULTATER SIDSTE OMGANG
0	AUTO	HUB_TRACKPREVIEW_YOUR_CURRENT	Nuværende
0	AUTO	HUD_DRAG_0_TO_60	Tid - fra 0 til 60:
0	AUTO	FE_POSTRACE_AVERAGE_SPEED	GENNEMSNITSFART
0	AUTO	FE_POSTRACE_DAMAGE_HEAVY	Større skade
0	AUTO	FE_POSTRACE_DAMAGE_LIGHT	Mindre skade
0	AUTO	HUB_REPAIRALL_INFO	Du har skader på biler, der skal repareres, før du forlader løbsdagen. Ellers vil de blive placeret i din garage indtil næste reparation.
0	AUTO	HUD_SHIFTED_PERFECT	Perfekt gearskifte!
0	AUTO	FE_POSTRACE_DAMAGE_STATE	BILENS TILSTAND
0	AUTO	DDAY_OPP_01	Eddie Cargo
0	AUTO	DDAY_OPP_02	Benny Gold
0	AUTO	DDAY_OPP_03	Samantha Cross
0	AUTO	DDAY_OPP_04	Bill Vein
0	AUTO	DDAY_OPP_05	Mark Mann
0	AUTO	DDAY_OPP_06	Roger Sole
0	AUTO	DDAY_OPP_07	Wilson Wong
0	AUTO	SHADOW_WAITING_FOR_LEADERBOARD_DATA	Venter på data til ranglisten
0	AUTO	HUB_REPAIR_SCREEN_STATUS_TOTALED	TOTALSKADET
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	Vender tilbage til løbsdagen om:
0	AUTO	HUB_ONLINE_NEXT_EVENT	NÆSTE LØB
0	AUTO	HUB_TRACKPREVIEW_TOP_FRIEND	Bedst placerede ven
0	AUTO	HUD_COMPLETE	AFSLUTTET:
0	AUTO	FE_POSTRACE_TOTALED	TOTALSKADET
0	AUTO	HUD_WHEELIE_DISTANCE	LÆNGDE PÅ WHEELIE
0	AUTO	FE_HUB_DIALOG_TOTALED_CAR_FOR_EVENT	Din bil blev totalskadet og kan ikke længere bruges i denne type løb.
0	AUTO	FE_POSTRACE_REACTION_TIME	REAKTIONSTID
0	AUTO	ONLINE_ROOM_STATUS_OPEN	Åben
0	AUTO	HUD_BURNOUT_MAX	Maksimalt vejgreb!!
0	AUTO	HUB_MARKERSELECT_CONGRATS_FREE_TOTALREPAIR	Du har vundet et gratis reparationsklip til totalskader fra Progressive Insurance.
0	AUTO	HUD_GO	KØR!
0	AUTO	HUD_VS	MOD
0	AUTO	HUD_OVERHEADTING	KØLEREN KOGER!
0	AUTO	HUB_REPAIR_SCREEN_STATUS_DAMAGED	SKADET
0	AUTO	DAMAGE_DIALOG_TITLE	REPARER DIN BIL
0	AUTO	HUD_SYMBOL_MINUS	-
0	AUTO	HUD_POSITION	PLACERING:
0	AUTO	HUD_OPPONENT_BLEW_THEIR_ENGINE	^{0:s}^BRÆNDTE SIN MOTOR SAMMEN
0	AUTO	HUD_DRAG_0_TO_100	Tid - fra 0 til 100:
0	AUTO	HUB_RACE_MODE_NORMAL	KØR
0	AUTO	FE_POSTRACE_FALSE_START	TYVSTART
0	AUTO	HUB_SCREEN_NO_TOTAL_REPAIR_MARKERS_AVAILABLE	Beklager, du har ingen reparationsklip til totalskader tilbage.
0	AUTO	HUB_QUIT_MESSAGE	Er du sikker på, at du vil forlade løbsdagen? Næste gang du spiller løbsdagen, vil du starte forfra med 0 point. Vil du fortsætte og forlade forlade løbsdagen?
0	AUTO	FE_POSTRACE_DISCONNECTED	FORBINDELSEN ER AFBRUDT
0	AUTO	HUB_SCREEN_NO_MARKERS_AVAILABLE	Beklager, du har ikke nogen klip tilbage.
0	AUTO	FE_POSTRACE_SIXTY_FEET_TIME	TID, 60 FOD
0	AUTO	ONLINE_ROOM_STATUS_LOCKED	Låst
0	AUTO	HUB_EXIT_CAREER	FORLAD KARRIEREN
0	AUTO	HUB_RACE_MODE_SHADOW	Kør mod skyggebil
0	AUTO	HUD_DRIFT_SPUN_OUT	DU ER GLEDET RUNDT!
0	AUTO	HUB_EXIT_CAREER_CONFIRM	Er du sikker på, at du vil forlade karrieren? Hvis du har autosave slået fra vil alle de fremskridt, der ikke er gemt, blive tabt.
0	AUTO	HUD_NEXT_CHECKPOINT_METERS	Næste kontrolpunkt^{0:f.0} meter
0	AUTO	FE_POSTRACE_BEST_TIME	Bedste tid:
0	AUTO	HUD_DRIFT_AMAZING_DRIFT	FANTASTISK DRIFT!
0	AUTO	FE_TOP_SPEED_REACHED	TOPHASTIGHED OPNÅET I KONKURRENCE
0	AUTO	HUD_LAP_TIME	OMGANGSTID:
0	AUTO	HUD_CAR_MATCHUP	{0:s} - {1:f.0} hk
0	AUTO	ONLINE_ROOM_STATUS_WAITING_FOR_PLAYERS	Venter på spillere
0	AUTO	PRACTICE_BEST_LAP	BEDSTE OMGANG
0	AUTO	HUB_SHADOW_SERVER_10_UP	Spredningen på ranglisten
0	AUTO	FE_POSTRACE_TIME_DIFFERENCE_FORMAT	{0:s} {0:d}
